Geo Point,Geo Shape,cdparcadas,type_culture,surface,entretien,collectivite,insee
"43.660538762166425,1.4139433531953898","{""coordinates"": [[[[1.413110202192447, 43.660711278162985], [1.413170760506217, 43.66071934110604], [1.413679333993128, 43.660783090149685], [1.414170976173592, 43.660845751471435], [1.414641838162749, 43.66090445845701], [1.415039845355255, 43.66095500156773], [1.415398844969699, 43.66099955013672], [1.415562727217061, 43.66102075132354], [1.415565378366026, 43.661017933925365], [1.415973779432416, 43.660540065340136], [1.415741338771516, 43.66050939909489], [1.415349890157525, 43.660456072873735], [1.415078076256306, 43.660419803176765], [1.414672301379455, 43.66036635761873], [1.414248340968918, 43.66030897947741], [1.414218430775356, 43.66030495064569], [1.412215667360473, 43.660040512866594], [1.412038500840303, 43.660553950474466], [1.413110202192447, 43.660711278162985]]]], ""type"": ""MultiPolygon""}",3155529BB0035,ENTRETIEN,18593,RAVT,VT,31555
"43.65996444073369,1.414848202165685","{""coordinates"": [[[[1.41370556637138, 43.6599688313964], [1.413740102741179, 43.659970856878], [1.414221308876915, 43.66003438146431], [1.414716820274297, 43.66009991128586], [1.415181096247656, 43.66016234646964], [1.415598571080856, 43.660217777928885], [1.415914599005209, 43.66026008190051], [1.416184410040546, 43.66029358374591], [1.416403184237088, 43.66003894019041], [1.416194693955442, 43.66001257801214], [1.415707032314562, 43.65994522653828], [1.415182841898714, 43.65988041359537], [1.414727704523346, 43.659817106148886], [1.414255588205163, 43.65975555188407], [1.413767891688472, 43.65969102919753], [1.413125423025796, 43.65960632151769], [1.413079898798035, 43.659600274185046], [1.412654636283738, 43.65954382467095], [1.412204055016166, 43.659484734158525], [1.412224839227658, 43.65953955309135], [1.413162446383388, 43.659651527159035], [1.413305638885946, 43.659666448767176], [1.413794725660479, 43.6597338929888], [1.41370556637138, 43.6599688313964]]]], ""type"": ""MultiPolygon""}",3155529BB0037,ENTRETIEN,11026,RAVT,VT,31555
"43.66152977517287,1.414269285723226","{""coordinates"": [[[[1.413464283694211, 43.661542973571414], [1.413914351688268, 43.66159772900409], [1.414545243997556, 43.661673823830505], [1.414957608474777, 43.661723537620496], [1.415128784166108, 43.66152529505307], [1.414972680694899, 43.66150699592238], [1.414575939858628, 43.66145835505638], [1.414138875073011, 43.66140560066203], [1.413522274602336, 43.661332457811916], [1.413468433670524, 43.661526923703775], [1.413464283694211, 43.661542973571414]]]], ""type"": ""MultiPolygon""}",3155529BB0071,ENTRETIEN,3035,RAVT,VT,31555
"43.66101996992099,1.4142737620695578","{""coordinates"": [[[[1.413237221600473, 43.661066647308516], [1.413914830176675, 43.66114548205101], [1.414400037785555, 43.66120336038401], [1.414847484736725, 43.66125903773537], [1.415124525015758, 43.66129440546275], [1.415307951222168, 43.66131576487705], [1.415562727217061, 43.66102075132354], [1.415398844969699, 43.66099955013672], [1.415039845355255, 43.66095500156773], [1.414641838162749, 43.66090445845701], [1.414170976173592, 43.660845751471435], [1.413679333993128, 43.660783090149685], [1.413170760506217, 43.66071934110604], [1.413110202192447, 43.660711278162985], [1.413098224465051, 43.66094141235918], [1.413237221600473, 43.661066647308516]]]], ""type"": ""MultiPolygon""}",3155529BB0090,ENTRETIEN,6234,RAVT,VT,31555
"43.64249437366455,1.4132156888149934","{""coordinates"": [[[[1.412939682156117, 43.64297276361589], [1.413137359893859, 43.6429951907452], [1.413813889019799, 43.64187575120541], [1.413776392782917, 43.64185747008373], [1.413705320290849, 43.64181999111673], [1.413666561925763, 43.641798860529576], [1.413665276516042, 43.641797904862216], [1.413551400848445, 43.64191618865851], [1.413489198199402, 43.64197907347006], [1.413338312982747, 43.64213206456067], [1.41319007750065, 43.64228223628247], [1.412595660137302, 43.642893322082536], [1.412567910416813, 43.642918642770134], [1.412552007501607, 43.64293554326121], [1.412628769983075, 43.642942792109075], [1.412939682156117, 43.64297276361589]]]], ""type"": ""MultiPolygon""}",3155529BM0014,BIO,4253,RAVT,VT,31555
"43.62308210352869,1.4028469904659868","{""coordinates"": [[[[1.402323454125044, 43.62345120154447], [1.403292170512887, 43.623551908933145], [1.403931914736473, 43.62361867684386], [1.403540427188347, 43.62350097147978], [1.403090602799822, 43.62336575252197], [1.403460480944123, 43.62278219703891], [1.403023464448781, 43.62266127567223], [1.402385216617722, 43.622583160440904], [1.402359700964339, 43.62279866857836], [1.402352204930847, 43.62286199751865], [1.402347419508913, 43.62300103964508], [1.402347100132312, 43.62302185231565], [1.402345367184977, 43.62304927660146], [1.402339537064898, 43.623172226049626], [1.402334458352917, 43.623246927767255], [1.40233252612136, 43.623287595385136], [1.40232946006474, 43.62331690074862], [1.402324917331782, 43.62335754669966], [1.402325978067447, 43.62337269434029], [1.402325818374553, 43.623383100674154], [1.402325170978014, 43.62342472408969], [1.402323685583867, 43.623436066357236], [1.402323454125044, 43.62345120154447]]]], ""type"": ""MultiPolygon""}",3155529BS0062,BIO,7533,RAVT,VT,31555
"43.66158413108612,1.4068030277819754","{""coordinates"": [[[[1.406689725406293, 43.661541341472244], [1.406696275677656, 43.661562392473975], [1.406729278848317, 43.66157030438985], [1.40676182570555, 43.66158538299243], [1.406774763115365, 43.6616094782726], [1.406871929705235, 43.66162634685033], [1.406888924078772, 43.66157721799889], [1.406689725406293, 43.661541341472244]]]], ""type"": ""MultiPolygon""}",3155529CE0004,JACHERE,69,RAVT,VT,31555
"43.638057269884676,1.4121762004896217","{""coordinates"": [[[[1.411313199167187, 43.63796297125467], [1.412750194976305, 43.63846195457119], [1.412767025503805, 43.63846871581116], [1.412818882140417, 43.638418189960674], [1.412997170632799, 43.638244466868294], [1.412997402280595, 43.63824423418659], [1.413073906570123, 43.63816845468411], [1.411551438192721, 43.63763660791269], [1.411466330773429, 43.63774850255234], [1.411313199167187, 43.63796297125467]]]], ""type"": ""MultiPolygon""}",3155529BY0035,BIO,5455,RAVT,VT,31555
"43.63629696562733,1.4108614295302202","{""coordinates"": [[[[1.409885097708149, 43.63613661666508], [1.410304878908931, 43.636283862315565], [1.410316733379025, 43.63627544425312], [1.411171696916914, 43.63658613946937], [1.411794911990987, 43.63680410730925], [1.411862414228068, 43.63666982859589], [1.411401689934068, 43.63637135289879], [1.41120666464608, 43.63619528045739], [1.410281484725023, 43.635860750773936], [1.410260433509985, 43.63587382444702], [1.409885097708149, 43.63613661666508]]]], ""type"": ""MultiPolygon""}",3155529BY0040,BIO,5569,RAVT,VT,31555
"43.64810539403255,1.4061509576580624","{""coordinates"": [[[[1.406523801426907, 43.648791979500366], [1.406627736109414, 43.648811754187584], [1.406604546438144, 43.648794533895014], [1.406600197800523, 43.648789250874586], [1.406589134785953, 43.648780215041995], [1.406570017212174, 43.64875262079425], [1.406557519180393, 43.64871845784025], [1.406545515630816, 43.648653076395895], [1.406534772816019, 43.64858959739176], [1.406515078920159, 43.64851563706218], [1.406495042244848, 43.64846343591279], [1.406473593232223, 43.64841879162043], [1.406459658264037, 43.648393130412366], [1.406423273999982, 43.648312618738125], [1.40632636942758, 43.64808359809322], [1.406325259135811, 43.64807128928345], [1.406330623969855, 43.64806092595031], [1.406338544885767, 43.64805436798625], [1.406349029268863, 43.648050668452576], [1.406362132541925, 43.648046045354164], [1.406375187682247, 43.64804426091029], [1.406388226809766, 43.64804342148371], [1.406398639662549, 43.64804445255854], [1.406423377023851, 43.64804560174745], [1.406563872939319, 43.648060001687995], [1.406757644490505, 43.64808335251966], [1.406879903053753, 43.648097601713474], [1.406928060347201, 43.64810083597772], [1.406993137769592, 43.6481051530461], [1.40701385126549, 43.648113839216954], [1.407017011172203, 43.648077911427215], [1.407076886057835, 43.647914249904126], [1.407065200189412, 43.64791178800234], [1.406772845956077, 43.64786019013164], [1.406742822181143, 43.64803119441623], [1.406495631047161, 43.64800740477002], [1.406463060382832, 43.648007136138084], [1.40640049844239, 43.648008515857434], [1.406330135252443, 43.64800888423802], [1.40628712834389, 43.64800947643252], [1.406232455241975, 43.648006189937156], [1.406192147442856, 43.64800112804198], [1.406160965733908, 43.64799519622246], [1.406097397230518, 43.64797764271593], [1.406068882627219, 43.647967946857854], [1.406039114694829, 43.647955403405426], [1.406001624441129, 43.64793617286694], [1.405983633682571, 43.647919940508665], [1.405966953044843, 43.64790371899894], [1.405951613280241, 43.64788467124307], [1.405940154468706, 43.647867545838906], [1.405938956631968, 43.64786091445603], [1.405933981593295, 43.64784573466911], [1.405932926880258, 43.647829642060046], [1.405934467692433, 43.6478145160538], [1.405944351305388, 43.64776539896864], [1.405887131119248, 43.64775830525106], [1.405855926151605, 43.64775426530584], [1.405781216398513, 43.64794950165724], [1.405555146598171, 43.64790885172695], [1.40547318663432, 43.64815133455012], [1.405464915068404, 43.64818059677775], [1.405703913970885, 43.6482279751184], [1.406100099072114, 43.64830597329763], [1.406410588918999, 43.648364343927035], [1.406468556885435, 43.648490655847986], [1.406483498670453, 43.64853524650974], [1.406494520067399, 43.648580751809334], [1.406501907140382, 43.64860824929983], [1.406509135127591, 43.64864615483197], [1.406514886615966, 43.64869540089835], [1.406520613428353, 43.648745591862614], [1.406523801426907, 43.648791979500366]]]], ""type"": ""MultiPolygon""}",3155529CC0012,BIO,3549,RAVT,VT,31555
