Geo Point,Geo Shape,lib_voie,motdir,no,commune,insee,nb_places,coord_x,coord_y
"43.60101520144644,1.474009358947551","{""coordinates"": [[1.474009358947551, 43.60101520144644]], ""type"": ""MultiPoint""}",AV DE CASTRES,CASTRES (AV DE CASTRES),48,TOULOUSE,31555,4,1.473526,43.600889
"43.574856761386215,1.476623361897596","{""coordinates"": [[1.476623361897596, 43.574856761386215]], ""type"": ""MultiPoint""}",RUE JACQUELINE AURIOL,AURIOL (RUE JACQUELINE AURIOL),7,TOULOUSE,31555,12,1.476575,43.574943
"43.656476933547424,1.3668629275936093","{""coordinates"": [[1.366862927593609, 43.656476933547424]], ""type"": ""MultiPoint""}",BD HENRI ZIEGLER,ZIEGLER (BD HENRI ZIEGLER),3,BLAGNAC,31069,2,1.366923,43.656464
"43.60056921129919,1.4181877911627707","{""coordinates"": [[1.418187791162771, 43.60056921129919]], ""type"": ""MultiPoint""}",RUE DES BRAVES,BRAVES (RUE DES BRAVES),33,TOULOUSE,31555,4,1.418224,43.600517
"43.60011756741226,1.406647530329809","{""coordinates"": [[1.406647530329809, 43.60011756741226]], ""type"": ""MultiPoint""}",RUE THOMAS DUPUY,DUPUY (RUE THOMAS DUPUY),17,TOULOUSE,31555,18,1.406648,43.600118
"43.61321095875041,1.4615422931451925","{""coordinates"": [[1.461542293145192, 43.61321095875041]], ""type"": ""MultiPoint""}",RUE LEON JOUHAUX,JOUHAUX (RUE LEON JOUHAUX),,TOULOUSE,31555,4,1.461534,43.613247
"43.62457098930847,1.4957890994907859","{""coordinates"": [[1.495789099490786, 43.62457098930847]], ""type"": ""MultiPoint""}",AV GALILEE,GALILEE (AV GALILEE),,BALMA,31044,8,1.4958,43.624601
"43.60232049664018,1.4051381620508847","{""coordinates"": [[1.405138162050885, 43.60232049664018]], ""type"": ""MultiPoint""}",RUE JACQUES CASSAN,CASSAN (RUE JACQUES CASSAN),,TOULOUSE,31555,8,1.405138,43.60232
"43.60270030615573,1.4068685592902532","{""coordinates"": [[1.406868559290253, 43.60270030615573]], ""type"": ""MultiPoint""}",RUE THOMAS DUPUY,DUPUY (RUE THOMAS DUPUY),,TOULOUSE,31555,4,1.406869,43.6027
"43.6569372988583,1.4833639062295076","{""coordinates"": [[1.483363906229508, 43.6569372988583]], ""type"": ""MultiPoint""}",RUE DU PIC DU MIDI,MIDI - 0006 RUE DU PIC DU MIDI,6,L'UNION,31561,4,1.483364,43.656937
"43.638920233871424,1.4604499749578261","{""coordinates"": [[1.460449974957826, 43.638920233871424]], ""type"": ""MultiPoint""}",RUE HENRI EBELOT,EBELOT (RUE HENRI EBELOT),35,TOULOUSE,31555,2,1.46045,43.63892
"43.64642697279044,1.554534153199408","{""coordinates"": [[1.554534153199408, 43.64642697279044]], ""type"": ""MultiPoint""}",RTE DE CASTELMAUROU,CASTELMAUROU (RTE DE CASTELMAUROU),1,BEAUPUY,31053,4,1.554534,43.646427
"43.711331293055714,1.3920463561417806","{""coordinates"": [[1.392046356141781, 43.711331293055714]], ""type"": ""MultiPoint""}",RTE DE L HERS,HERS (RTE DE L HERS),,LESPINASSE,31293,6,1.392046,43.711331
"43.610589323371556,1.3363350859442666","{""coordinates"": [[1.336335085944267, 43.610589323371556]], ""type"": ""MultiPoint""}",ALL DE LIMOGNE,LIMOGNE (ALL DE LIMOGNE),,COLOMIERS,31149,8,1.336335,43.610589
"43.60323866422806,1.44212629718072","{""coordinates"": [[1.44212629718072, 43.60323866422806]], ""type"": ""MultiPoint""}",RUE LEON GAMBETTA,GAMBETTA (RUE LEON GAMBETTA),50,TOULOUSE,31555,4,1.442126,43.603239
"43.58013041288574,1.4118979512236844","{""coordinates"": [[1.411897951223684, 43.58013041288574]], ""type"": ""MultiPoint""}",RUE DU LOT,LOT (RUE DU LOT),37,TOULOUSE,31555,10,1.411898,43.58013
"43.59862616087577,1.427269459396931","{""coordinates"": [[1.427269459396931, 43.59862616087577]], ""type"": ""MultiPoint""}",RUE ADOLPHE COLL,COLL (RUE ADOLPHE COLL),13,TOULOUSE,31555,4,1.427269,43.598626
"43.587521921334236,1.4302025629218456","{""coordinates"": [[1.430202562921846, 43.587521921334236]], ""type"": ""MultiPoint""}",AV DE MURET,MURET (AV DE MURET),181,TOULOUSE,31555,6,1.430203,43.587522
"43.592174509224385,1.4340826198057544","{""coordinates"": [[1.434082619805754, 43.592174509224385]], ""type"": ""MultiPoint""}",AV DE MURET,MURET (AV DE MURET),273,TOULOUSE,31555,4,1.434083,43.592175
"43.60000387629122,1.4491717198183238","{""coordinates"": [[1.449171719818324, 43.60000387629122]], ""type"": ""MultiPoint""}",PL SAINT ETIENNE,ETIENNE (PL SAINT ETIENNE),12,TOULOUSE,31555,4,1.449172,43.600004
"43.537171033998106,1.346177054451075","{""coordinates"": [[1.346177054451075, 43.537171033998106]], ""type"": ""MultiPoint""}",PL DE LA REPUBLIQUE,REPUBLIQUE (PL DE LA REPUBLIQUE),,CUGNAUX,31157,8,1.346177,43.537171
"43.61424208101052,1.4379226315359062","{""coordinates"": [[1.437922631535906, 43.61424208101052]], ""type"": ""MultiPoint""}",AV HONORE SERRES,SERRES (AV HONORE SERRES),32T,TOULOUSE,31555,6,1.437923,43.614242
"43.61213466325834,1.4235133374201057","{""coordinates"": [[1.423513337420106, 43.61213466325834]], ""type"": ""MultiPoint""}",BD DE L EMBOUCHURE,EMBOUCHURE (BD DE L EMBOUCHURE),95,TOULOUSE,31555,10,1.423513,43.612135
"43.61497271265154,1.4330704463239592","{""coordinates"": [[1.433070446323959, 43.61497271265154]], ""type"": ""MultiPoint""}",BD DE L EMBOUCHURE,EMBOUCHURE (BD DE L EMBOUCHURE),23,TOULOUSE,31555,10,1.43307,43.614973
"43.63655661326749,1.443852838584153","{""coordinates"": [[1.443852838584153, 43.63655661326749]], ""type"": ""MultiPoint""}",CHE D AUDIBERT,AUDIBERT (CHE D AUDIBERT),1,TOULOUSE,31555,10,1.443853,43.636557
"43.57471881306029,1.4241038650014703","{""coordinates"": [[1.42410386500147, 43.57471881306029]], ""type"": ""MultiPoint""}",RTE D ESPAGNE,ESPAGNE (RTE D ESPAGNE),65,TOULOUSE,31555,4,1.424104,43.574719
"43.6087175157813,1.3318000158105465","{""coordinates"": [[1.331800015810547, 43.6087175157813]], ""type"": ""MultiPoint""}",PL DES FETES,FETES - 0006 PL DES FETES,6,COLOMIERS,31149,8,1.3318,43.608718
"43.61025180931626,1.3332321020786442","{""coordinates"": [[1.333232102078644, 43.61025180931626]], ""type"": ""MultiPoint""}",ALL D OCCITANIE,OCCITANIE (ALL D OCCITANIE),,COLOMIERS,31149,6,1.333283,43.61023
"43.524190496224904,1.3421748092961048","{""coordinates"": [[1.342174809296105, 43.524190496224904]], ""type"": ""MultiPoint""}",RUE DE LA REPUBLIQUE,REPUBLIQUE - 0008B RUE DE LA REPUBLIQUE,8B,VILLENEUVE-TOLOSANE,31588,6,1.342175,43.52419
"43.58373145307886,1.4707462415970443","{""coordinates"": [[1.470746241597044, 43.58373145307886]], ""type"": ""MultiPoint""}",AV PAUL LANGEVIN,LANGEVIN (AV PAUL LANGEVIN),1,TOULOUSE,31555,2,1.470746,43.583731
"43.61154720504294,1.4145913800635068","{""coordinates"": [[1.414591380063507, 43.61154720504294]], ""type"": ""MultiPoint""}",RTE DE BLAGNAC,BLAGNAC (RTE DE BLAGNAC),15,TOULOUSE,31555,4,1.414591,43.611547
"43.614366449061706,1.4110127054674768","{""coordinates"": [[1.411012705467477, 43.614366449061706]], ""type"": ""MultiPoint""}",RTE DE BLAGNAC,BLAGNAC (RTE DE BLAGNAC),63,TOULOUSE,31555,8,1.411013,43.614366
"43.6148452100155,1.4105042332181459","{""coordinates"": [[1.410504233218146, 43.6148452100155]], ""type"": ""MultiPoint""}",RTE DE BLAGNAC,BLAGNAC (RTE DE BLAGNAC),69,TOULOUSE,31555,6,1.410504,43.614845
"43.59416613563739,1.4902748246238642","{""coordinates"": [[1.490274824623864, 43.59416613563739]], ""type"": ""MultiPoint""}",AV DE CASTRES,CASTRES (AV DE CASTRES),265,TOULOUSE,31555,4,1.490275,43.594166
"43.59465905008958,1.4092419468624495","{""coordinates"": [[1.40924194686245, 43.59465905008958]], ""type"": ""MultiPoint""}",RUE ELLA MAILLART,MAILLART (RUE ELLA MAILLART),5,TOULOUSE,31555,8,1.409242,43.594659
"43.5873427794348,1.4613683626677236","{""coordinates"": [[1.461368362667724, 43.5873427794348]], ""type"": ""MultiPoint""}",AV ANTOINE DE ST EXUPERY,EXUPERY (AV ANTOINE DE ST EXUPERY),4,TOULOUSE,31555,2,1.461368,43.587343
"43.5371495695429,1.3446791827635671","{""coordinates"": [[1.344679182763567, 43.5371495695429]], ""type"": ""MultiPoint""}",PL DE LA MAIRIE,MAIRIE (PL DE LA MAIRIE),,CUGNAUX,31157,6,1.344679,43.53715
"43.61628990707412,1.2401179985687454","{""coordinates"": [[1.240117998568745, 43.61628990707412]], ""type"": ""MultiPoint""}",RUE DE LA MAIRIE,MAIRIE - 0007B RUE DE LA MAIRIE,7B,BRAX,31088,6,1.240118,43.61629
"43.61629583621564,1.2394826830561478","{""coordinates"": [[1.239482683056148, 43.61629583621564]], ""type"": ""MultiPoint""}",RUE DE LA MAIRIE,MAIRIE (RUE DE LA MAIRIE),,BRAX,31088,6,1.239483,43.616296
"43.598958647321275,1.431520117459836","{""coordinates"": [[1.431520117459836, 43.598958647321275]], ""type"": ""MultiPoint""}",RUE RECLUSANE,RECLUSANE (RUE RECLUSANE),55 bi,TOULOUSE,31555,4,1.43152,43.598959
"43.59887726975941,1.4319788900045864","{""coordinates"": [[1.431978890004586, 43.59887726975941]], ""type"": ""MultiPoint""}",RUE RECLUSANE,RECLUSANE (RUE RECLUSANE),37,TOULOUSE,31555,2,1.431979,43.598877
"43.60084602264829,1.4289387265273492","{""coordinates"": [[1.428938726527349, 43.60084602264829]], ""type"": ""MultiPoint""}",ALL CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),76,TOULOUSE,31555,10,1.428939,43.600846
"43.59837978298414,1.4306399300997912","{""coordinates"": [[1.430639930099791, 43.59837978298414]], ""type"": ""MultiPoint""}",ALL CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),58,TOULOUSE,31555,4,1.43064,43.59838
"43.59690054976047,1.4313332595574435","{""coordinates"": [[1.431333259557444, 43.59690054976047]], ""type"": ""MultiPoint""}",ALL CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),57,TOULOUSE,31555,8,1.431264,43.596904
"43.59615988796332,1.4318362279819707","{""coordinates"": [[1.431836227981971, 43.59615988796332]], ""type"": ""MultiPoint""}",ALLEES CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),49,TOULOUSE,31555,17,1.431637,43.596504
"43.579540402984875,1.4591751910491941","{""coordinates"": [[1.459175191049194, 43.579540402984875]], ""type"": ""MultiPoint""}",AV ALBERT BEDOUCE,BEDOUCE (AV ALBERT BEDOUCE),70B,TOULOUSE,31555,16,1.459175,43.57954
"43.60596145578,1.4412584032787932","{""coordinates"": [[1.441258403278793, 43.60596145578]], ""type"": ""MultiPoint""}",LOIS (RUE DES LOIS),LOIS (RUE DES LOIS),15,TOULOUSE,31555,10,1.441258,43.605961
"43.598196431389276,1.4508072088481407","{""coordinates"": [[1.450807208848141, 43.598196431389276]], ""type"": ""MultiPoint""}",RUE SAINTE ANNE,ANNE (RUE SAINTE ANNE),1,TOULOUSE,31555,12,1.450807,43.598196
"43.6042246387608,1.412930357161148","{""coordinates"": [[1.412930357161148, 43.6042246387608]], ""type"": ""MultiPoint""}",RUE ANTONIO VIVALDI,VIVALDI (RUE ANTONIO VIVALDI),11,TOULOUSE,31555,6,1.41293,43.604225
"43.60417910672257,1.4351730675218273","{""coordinates"": [[1.435173067521827, 43.60417910672257]], ""type"": ""MultiPoint""}",RUE DE LA BOULE,BOULE (RUE DE LA BOULE),1,TOULOUSE,31555,8,1.435173,43.604179
"43.629306963264,1.4327425705447414","{""coordinates"": [[1.432742570544741, 43.629306963264]], ""type"": ""MultiPoint""}",AV DES ETATS UNIS,UNIS (AV DES ETATS UNIS),47,TOULOUSE,31555,4,1.432743,43.629307
"43.629258704086546,1.4329745636011961","{""coordinates"": [[1.432974563601196, 43.629258704086546]], ""type"": ""MultiPoint""}",AV DES ETATS UNIS,UNIS (AV DES ETATS UNIS),48B,TOULOUSE,31555,6,1.432975,43.629259
"43.60000315289652,1.4553438336003073","{""coordinates"": [[1.455343833600307, 43.60000315289652]], ""type"": ""MultiPoint""}",RUE DE LA CHARITE,CHARITE (RUE DE LA CHARITE),2,TOULOUSE,31555,10,1.455344,43.600003
"43.587650065536565,1.4184708292939805","{""coordinates"": [[1.41847082929398, 43.587650065536565]], ""type"": ""MultiPoint""}",RUE VESTREPAIN,VESTREPAIN (RUE VESTREPAIN),94,TOULOUSE,31555,10,1.418471,43.58765
"43.73830444705303,1.3717059294904588","{""coordinates"": [[1.371705929490459, 43.73830444705303]], ""type"": ""MultiPoint""}",D20,D20 (D20),,SAINT-JORY,31490,8,1.371706,43.738304
"43.59238308732672,1.4433902078903573","{""coordinates"": [[1.443390207890357, 43.59238308732672]], ""type"": ""MultiPoint""}",ALL PAUL FEUGA,FEUGA (ALL PAUL FEUGA),2B,TOULOUSE,31555,6,1.44339,43.592383
"43.58709674925375,1.4257484417604611","{""coordinates"": [[1.425748441760461, 43.58709674925375]], ""type"": ""MultiPoint""}",BD DEODAT DE SEVERAC,SEVERAC (BD DEODAT DE SEVERAC),26,TOULOUSE,31555,18,1.425748,43.587097
"43.63443533483931,1.4634461383235138","{""coordinates"": [[1.463446138323514, 43.63443533483931]], ""type"": ""MultiPoint""}",RTE D ALBI,ALBI (RTE D ALBI),109,TOULOUSE,31555,2,1.463446,43.634435
"43.63765871276772,1.4641193778757668","{""coordinates"": [[1.464119377875767, 43.63765871276772]], ""type"": ""MultiPoint""}",RTE D ALBI,ALBI (RTE D ALBI),147,TOULOUSE,31555,4,1.464119,43.637659
"43.66113991450682,1.4316968519794149","{""coordinates"": [[1.431696851979415, 43.66113991450682]], ""type"": ""MultiPoint""}",AV DE FRONTON,FRONTON - 0408 AV DE FRONTON,408,TOULOUSE,31555,6,1.431697,43.66114
"43.647934961939285,1.4329142830567112","{""coordinates"": [[1.432914283056711, 43.647934961939285]], ""type"": ""MultiPoint""}",AV DE FRONTON,FRONTON (AV DE FRONTON),235,TOULOUSE,31555,4,1.432914,43.647935
"43.64011971203512,1.451804377619679","{""coordinates"": [[1.451804377619679, 43.64011971203512]], ""type"": ""MultiPoint""}",AV MAURICE BOURGES MAUNOURY,MAUNOURY (AV MAURICE BOURGES MAUNOURY),61,TOULOUSE,31555,8,1.451804,43.64012
"43.67940635508855,1.4259243141529663","{""coordinates"": [[1.425924314152966, 43.67940635508855]], ""type"": ""MultiPoint""}",CHE DES BOURDETTES,BOURDETTES (CHE DES BOURDETTES),,FONBEAUZARD,31186,6,1.425924,43.679406
"43.64100649458614,1.3822066782774753","{""coordinates"": [[1.382206678277475, 43.64100649458614]], ""type"": ""MultiPoint""}",AV DU GENERAL DE GAULLE,GAULLE (AV DU GENERAL DE GAULLE),,BLAGNAC,31069,6,1.382207,43.641006
"43.59989431656487,1.4630433169926842","{""coordinates"": [[1.463043316992684, 43.59989431656487]], ""type"": ""MultiPoint""}",RUE DOMINIQUE DE PERIGNON,PERIGNON (RUE DOMINIQUE DE PERIGNON),1,TOULOUSE,31555,4,1.463043,43.599894
"43.59484232077178,1.444236506998236","{""coordinates"": [[1.444236506998236, 43.59484232077178]], ""type"": ""MultiPoint""}",PL DU SALIN,SALIN (PL DU SALIN),24,TOULOUSE,31555,10,1.444237,43.594842
"43.57614599827123,1.4735060531879036","{""coordinates"": [[1.473506053187904, 43.57614599827123]], ""type"": ""MultiPoint""}",RUE VALENTINA TERECHKOVA,TERECHKOVA (RUE VALENTINA TERECHKOVA),7,TOULOUSE,31555,22,1.473506,43.576146
"43.58366353458054,1.4508812414949606","{""coordinates"": [[1.450881241494961, 43.58366353458054]], ""type"": ""MultiPoint""}",AV CRAMPEL,CRAMPEL (AV CRAMPEL),4,TOULOUSE,31555,10,1.450881,43.583664
"43.586355160752824,1.457123068365621","{""coordinates"": [[1.457123068365621, 43.586355160752824]], ""type"": ""MultiPoint""}",AV CRAMPEL,CRAMPEL (AV CRAMPEL),59,TOULOUSE,31555,6,1.457123,43.586355
"43.593221470410526,1.4345258072822793","{""coordinates"": [[1.434525807282279, 43.593221470410526]], ""type"": ""MultiPoint""}",PL DU FER A CHEVAL,CHEVAL (PL DU FER A CHEVAL),9,TOULOUSE,31555,8,1.434526,43.593221
"43.59457828116502,1.435669073162968","{""coordinates"": [[1.435669073162968, 43.59457828116502]], ""type"": ""MultiPoint""}",COURS DILLON,DILLON (COURS DILLON),4,TOULOUSE,31555,6,1.435669,43.594578
"43.57411360374899,1.4621803024824438","{""coordinates"": [[1.462180302482444, 43.57411360374899]], ""type"": ""MultiPoint""}",RUE EMILE GUYOU,GUYOU (RUE EMILE GUYOU),15,TOULOUSE,31555,4,1.46218,43.574114
"43.5733605264449,1.4613784735185111","{""coordinates"": [[1.461378473518511, 43.5733605264449]], ""type"": ""MultiPoint""}",RUE EMILE GUYOU,GUYOU (RUE EMILE GUYOU),9,TOULOUSE,31555,4,1.461378,43.573361
"43.60560042140771,1.4473164461318644","{""coordinates"": [[1.447316446131864, 43.60560042140771]], ""type"": ""MultiPoint""}",RUE VICTOR HUGO,HUGO (RUE VICTOR HUGO),2,TOULOUSE,31555,8,1.447316,43.6056
"43.60715136091916,1.4469833141033592","{""coordinates"": [[1.446983314103359, 43.60715136091916]], ""type"": ""MultiPoint""}",PL VICTOR HUGO,HUGO (PL VICTOR HUGO),28,TOULOUSE,31555,4,1.446914,43.607149
"43.604004629331506,1.4436245859040995","{""coordinates"": [[1.443624585904099, 43.604004629331506]], ""type"": ""MultiPoint""}",PL DU CAPITOLE,CAPITOLE (PL DU CAPITOLE),3,TOULOUSE,31555,14,1.443625,43.604005
"43.60824911764567,1.3393133786067366","{""coordinates"": [[1.339313378606737, 43.60824911764567]], ""type"": ""MultiPoint""}",PL DE LA BASCULE,BASCULE - 0017 PL DE LA BASCULE,17,COLOMIERS,31149,4,1.339313,43.608249
"43.65354050850393,1.31929790897759","{""coordinates"": [[1.31929790897759, 43.65354050850393]], ""type"": ""MultiPoint""}",CHE DES AMBRITS,AMBRITS (CHE DES AMBRITS),,CORNEBARIEU,31150,6,1.319298,43.653541
"43.608597506122095,1.4202306149981514","{""coordinates"": [[1.420230614998151, 43.608597506122095]], ""type"": ""MultiPoint""}",RUE FRANCOIS RABELAIS,RABELAIS (RUE FRANCOIS RABELAIS),1,TOULOUSE,31555,4,1.420231,43.608598
"43.59621400990349,1.423206552017555","{""coordinates"": [[1.423206552017555, 43.59621400990349]], ""type"": ""MultiPoint""}",PL DE LA PATTE D OIE,OIE (PL DE LA PATTE D OIE),9,TOULOUSE,31555,8,1.423207,43.596214
"43.605741259121785,1.4379779130855088","{""coordinates"": [[1.437977913085509, 43.605741259121785]], ""type"": ""MultiPoint""}",RUE VALADE,VALADE (RUE VALADE),31,TOULOUSE,31555,8,1.437978,43.605741
