Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.642598996966775,1.4415510075861269","{""coordinates"": [[1.441551007586127, 43.642598996966775]], ""type"": ""MultiPoint""}",BOULODROME RIGAL (PARC RAPHAEL),STADE GEORGES RIGAL,31200,Toulouse Nord,3.3,non,1,EXTERIEUR,,2 RUE RAPHAEL,TOULOUSE,oui,,,
"43.5780569953852,1.384476989990223","{""coordinates"": [[1.384476989990223, 43.5780569953852]], ""type"": ""MultiPoint""}",BOULODROME DES PRADETTES,,31100,Toulouse Ouest,6.2,oui,2,TERRAIN EXTERIEUR/CLUB HOUSE,Equipement isolé,6 RUE FERDINAND DE LESSEPS,,,oui,,
"43.65432899357891,1.4182739992536897","{""coordinates"": [[1.41827399925369, 43.65432899357891]], ""type"": ""MultiPoint""}",QUILLODROME DE SESQIERES,,31200,Toulouse Nord,3.2,oui,1,EXTERIEUR QUILLODROME,BASE DE SPORTS ET DE LOISIRS DE SESQUIERES,CHEMIN DU PONT DE RUPE,,,,,
"43.61085900195397,1.4795320071104006","{""coordinates"": [[1.479532007110401, 43.61085900195397]], ""type"": ""MultiPoint""}",BOULODROME COUVERT SOUPETARD,,31500,Toulouse Est,4.2,,1,EXTERIEUR/COUVERT,Equipement isolé,1 ALL LEON BOURGEOIS,TOULOUSE,oui,oui,,
"43.58522299474437,1.42126099174365","{""coordinates"": [[1.42126099174365, 43.58522299474437]], ""type"": ""MultiPoint""}",BOULODROME FONTAINE LESTANG,,31100,Toulouse Rive Gauche,2.3,oui,1,EXTERIEUR,Equipement isolé,RUE JACQUES GAMELIN,,,,,
"43.57880099624652,1.4158780019119284","{""coordinates"": [[1.415878001911928, 43.57880099624652]], ""type"": ""MultiPoint""}",BOULODROME JOYEUSE PETANQUE,,31100,Toulouse Rive Gauche,2.3,oui,1,EXTERIEUR,Equipement isolé,RUE DE l'UKRAINE,TOULOUSE,,,,
"43.61549399702475,1.4558980048620043","{""coordinates"": [[1.455898004862004, 43.61549399702475]], ""type"": ""MultiPoint""}",BOULODROME BONNEFOY RAYNAL,,31500,Toulouse Est,4.1,oui,1,EXTERIEUR,Equipement isolé,"Allée Monsonego-Sandler Myriam, Gabriel, Arié et Jonathan",TOULOUSE,,,,
"43.58730900267753,1.4630609961317875","{""coordinates"": [[1.463060996131788, 43.58730900267753]], ""type"": ""MultiPoint""}",BOULODROME PONT DES DEMOISELLES,,31400,Toulouse Sud Est,5.1,non,1,,Equipement isolé,PL ROGER ARNAUD,TOULOUSE,oui,non,,
"43.605355994649805,1.4119180012956818","{""coordinates"": [[1.411918001295682, 43.605355994649805]], ""type"": ""MultiPoint""}",BOULODROME FONTAINE,,31300,Toulouse Rive Gauche,2.4,oui,1,EXTERIEUR,Equipement isolé,Avenue Francis de Pressense,TOULOUSE,,,,
"43.59435100362471,1.4526439984731179","{""coordinates"": [[1.452643998473118, 43.59435100362471]], ""type"": ""MultiPoint""}",BOULODROME DU GRAND ROND,,31400,Toulouse Sud Est,5.3,oui,1,EXTERIEUR,Equipement isolé,ESP ALAIN SAVARY,TOULOUSE,,,,
"43.59508891533176,1.4359318360666669","{""coordinates"": [[1.435931836066667, 43.59508891533176]], ""type"": ""MultiPoint""}",BOULODROME DE LA DIGUE FER A CHEVAL,,31300,Toulouse Rive Gauche,2.1,oui,1,,Equipement isolé,Cours Dillon,TOULOUSE,oui,oui,,
"43.562219193797546,1.3965061876766716","{""coordinates"": [[1.396506187676672, 43.562219193797546]], ""type"": ""MultiPoint""}",BOULODROME PAUL GAUGUIN,,31100,Toulouse Ouest,6.3,oui,1,,Equipement isolé,,,,,,
"43.64623399292777,1.432007004674747","{""coordinates"": [[1.432007004674747, 43.64623399292777]], ""type"": ""MultiPoint""}",BOULODROME LALANDE CIMETIERE,,31200,Toulouse Nord,3.2,oui,1,EXTERIEUR,Equipement isolé,Esplanade Claude Cornac,TOULOUSE,,,,
"43.55695233433253,1.381878965743322","{""coordinates"": [[1.381878965743322, 43.55695233433253]], ""type"": ""MultiPoint""}",BOULODROME JEAN DANIEL,,31100,Toulouse Ouest,6.4,oui,2,COUVERT/EXTERIEUR,Equipement isolé,Rue du Cimetière Saint Simon,TOULOUSE,,,,
"43.57573499660309,1.4549390078465199","{""coordinates"": [[1.45493900784652, 43.57573499660309]], ""type"": ""MultiPoint""}",BOULODROME COUVERT LEON VIALA,,31400,Toulouse Sud Est,5.2,non,2,COUVERT/EXTERIEUR,Equipement isolé,42 AV DE RANGUEIL,,oui,oui,,
"43.612621000547044,1.4635140007342446","{""coordinates"": [[1.463514000734245, 43.612621000547044]], ""type"": ""MultiPoint""}",BOULODROME JOLIMONT,,31500,Toulouse Est,,non,2,TERRAIN EXTERIEUR/CLUB HOUSE,Equipement isolé,19 RUE JOHANNES KEPLER,TOULOUSE,oui,oui,,
