Geo Point,Geo Shape,nom_equipement,eq_gestionnaire,eq_telephone,numero,lib_off,id_secteur_postal,eq_ville,eq_secteur,eq_quartier,eq_site_web
"43.55705720244656,1.4194470287619534","{""coordinates"": [[1.419447028761953, 43.55705720244656]], ""type"": ""MultiPoint""}",GARE AUX MORILLES,Structure commerciale,05 61 72 19 40,7,CHE DES SILOS,31100,TOULOUSE,2,2.2,http://www.gareauxmorilles.com
"43.59822030462972,1.434274004528577","{""coordinates"": [[1.434274004528577, 43.59822030462972]], ""type"": ""MultiPoint""}",LE CARSON CITY,Structure commerciale,05 61 42 02 22,3,PL OLIVIER,31300,TOULOUSE,2,2.1,http://www.restaurant-carsoncity.com
"43.60521888902204,1.4579919509936314","{""coordinates"": [[1.457991950993631, 43.60521888902204]], ""type"": ""MultiPoint""}",LES METS'TISSES,Structure commerciale,05 61 20 52 20,1,RUE DENIS PAPIN,31500,TOULOUSE,4,4.2,http://www.lesmetstisses.fr
"43.60557180183225,1.4554309899932718","{""coordinates"": [[1.455430989993272, 43.60557180183225]], ""type"": ""MultiPoint""}",REST'O JAZZ,Structure commerciale,05 61 57 96 95,8,RUE AMELIE,31000,TOULOUSE,1,1.3,http://www.restojazz.com/
"43.605951064645126,1.448124470939907","{""coordinates"": [[1.448124470939907, 43.605951064645126]], ""type"": ""MultiPoint""}",CAFE ROCK LE DAUPHIN,Structure commerciale,05 61 21 92 18,3,BD DE STRASBOURG,31000,TOULOUSE,1,1.1,
"43.597008401438885,1.4325337614795208","{""coordinates"": [[1.432533761479521, 43.597008401438885]], ""type"": ""MultiPoint""}",ERICH COFFEE,Structure commerciale,05 61 42 04 27,9,RUE JOSEPH VIE,31300,TOULOUSE,2,2.1,
"43.57929389830171,1.4500526191688836","{""coordinates"": [[1.450052619168884, 43.57929389830171]], ""type"": ""MultiPoint""}",FAIRFIELD CAFE,Structure commerciale,05 61 53 45 82,110,AV JULES JULIEN,31400,TOULOUSE,5,5.3,
"43.594778233244455,1.4135777934605485","{""coordinates"": [[1.413577793460548, 43.594778233244455]], ""type"": ""MultiPoint""}",L'AVENUE,Structure commerciale,05 61 42 63 34,100,AV DE LOMBEZ,31300,TOULOUSE,2,2.4,http://www.publavenue.fr
"43.58532433587174,1.4286353510821586","{""coordinates"": [[1.428635351082159, 43.58532433587174]], ""type"": ""MultiPoint""}",EL BARRIO LATINO,Structure commerciale,05 61 59 00 58,144,AV DE MURET,31300,TOULOUSE,2,2.2,http://www.barrio-latino-toulouse.com
"43.60544647433055,1.4554837113221963","{""coordinates"": [[1.455483711322196, 43.60544647433055]], ""type"": ""MultiPoint""}",LA DYNAMO,Structure commerciale,,6,RUE AMELIE,31000,TOULOUSE,1,1.3,
