Geo Point,Geo Shape,id,equipement
"43.60191669365471,1.447437387560599","{""coordinates"": [[1.447437387560599, 43.60191669365471]], ""type"": ""MultiPoint""}",1,"Auberge des Trois-Anges, 13 place Saint-Georges"
"43.63251526782563,1.421848011651579","{""coordinates"": [[1.421848011651579, 43.63251526782563]], ""type"": ""MultiPoint""}",12,Port des hydrocarbures
"43.599447235109885,1.456753162212179","{""coordinates"": [[1.456753162212179, 43.599447235109885]], ""type"": ""MultiPoint""}",16,Archives du canal
"43.5963163756008,1.456632906783613","{""coordinates"": [[1.456632906783613, 43.5963163756008]], ""type"": ""MultiPoint""}",20,Port Saint-Sauveur
"43.58888261152542,1.458553490952551","{""coordinates"": [[1.458553490952551, 43.58888261152542]], ""type"": ""MultiPoint""}",25,Cale couverte
"43.58865122337501,1.459896746397773","{""coordinates"": [[1.459896746397773, 43.58865122337501]], ""type"": ""MultiPoint""}",26,Garage à flot
"43.64525808984465,1.422438989790795","{""coordinates"": [[1.422438989790795, 43.64525808984465]], ""type"": ""MultiPoint""}",27,Port des péniches de Ginestous
"43.613612170426464,1.451106633545677","{""coordinates"": [[1.451106633545677, 43.613612170426464]], ""type"": ""MultiPoint""}",36,Moulin sur l’écluse de Matabiau
"43.64650768599269,1.423101999747353","{""coordinates"": [[1.423101999747353, 43.64650768599269]], ""type"": ""MultiPoint""}",40,Ecluse de Lalande et maison éclusière
"43.610533816158785,1.41898618172506","{""coordinates"": [[1.41898618172506, 43.610533816158785]], ""type"": ""MultiPoint""}",43,Ecluse des Ponts-Jumeaux
"43.5743039172542,1.469174422338686","{""coordinates"": [[1.469174422338686, 43.5743039172542]], ""type"": ""MultiPoint""}",45,Pont-canal des Herbettes
"43.59986649887636,1.456469727707469","{""coordinates"": [[1.456469727707469, 43.59986649887636]], ""type"": ""MultiPoint""}",48,Le lavoir du port Saint-Etienne
"43.609304225904474,1.453999012627156","{""coordinates"": [[1.453999012627156, 43.609304225904474]], ""type"": ""MultiPoint""}",5,Statue de Pierre-Paul Riquet
"43.57512344167501,1.468093206459373","{""coordinates"": [[1.468093206459373, 43.57512344167501]], ""type"": ""MultiPoint""}",55,Passerelle des Herbettes
