Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.58442464816649,1.4214250937168897","{""coordinates"": [[1.42142509371689, 43.58442464816649]], ""type"": ""MultiPoint""}",MODULES DE FITNESS PARC FONTAINE LESTANG,,31100,Toulouse Rive Gauche,2.3,oui,-9999,,Equipement isolé,,,,,Coulée Verte des Amidonniers,
"43.580983194499964,1.4154608157113024","{""coordinates"": [[1.415460815711302, 43.580983194499964]], ""type"": ""MultiPoint""}",MODULES DE FITNESS PARC DE LAFAOURETTE,,31100,Toulouse Rive Gauche,2.3,oui,6,,Equipement isolé,,,,,,
"43.65424093289056,1.4174794030000553","{""coordinates"": [[1.417479403000055, 43.65424093289056]], ""type"": ""MultiPoint""}",MODULES DE FITNESS LAC DE SESQUIERES,,31200,Toulouse Nord,3.2,oui,5,,BASE DE SPORTS ET DE LOISIRS DE SESQUIERES,,,,,,
"43.57789992010964,1.4360564897570935","{""coordinates"": [[1.436056489757094, 43.57789992010964]], ""type"": ""MultiPoint""}",MODULES DE FITNESS BERGES DE LA GORONNE,,31400,Toulouse Sud Est,5.3,oui,-9999,Parcours forme et Fitness,Equipement isolé,,,,,,
"43.60183855559536,1.4634372902278787","{""coordinates"": [[1.463437290227879, 43.60183855559536]], ""type"": ""MultiPoint""}",MODULES DE FITNESS JARDIN SACARIN,Jardin Sacarin,31500,Toulouse Est,4.3,non,-9999,,Equipement isolé,Rue Firmin Larroque,TOULOUSE,oui,non,,
"43.62348056698087,1.4799918893499207","{""coordinates"": [[1.479991889349921, 43.62348056698087]], ""type"": ""MultiPoint""}",Modules de fitness Zone verte des Argoulets,,31500,Toulouse Est,4.2,oui,-9999,Parcours forme et Fitness,Equipement isolé,,,,,,
"43.57978112052944,1.442306052864739","{""coordinates"": [[1.442306052864739, 43.57978112052944]], ""type"": ""MultiPoint""}",MODULES FITNESS AIRE DE METRO D'EMPALOT,Aire de Métro Empalot,31400,Toulouse Sud Est,5.3,oui,-9999,,Equipement isolé,,,,,,
"43.55107266129409,1.3888508760095215","{""coordinates"": [[1.388850876009522, 43.55107266129409]], ""type"": ""MultiPoint""}",AIRE DE FITNESS THEATRE DE VERDURE DE TIBAOUS,,31100,Toulouse Ouest,6.4,oui,5,,Equipement isolé,37 Rue Dhuoda,TOULOUSE,,,AIRE DE FITNESS,
"43.562143006052764,1.3987789995694333","{""coordinates"": [[1.398778999569433, 43.562143006052764]], ""type"": ""MultiPoint""}",FITNESS PARK PAUL GAUGUIN,,31100,Toulouse Ouest,6.3,oui,5,,Equipement isolé,Rue Paul Gauguin,TOULOUSE,,,,
"43.58467088135343,1.4235312002747311","{""coordinates"": [[1.423531200274731, 43.58467088135343]], ""type"": ""MultiPoint""}",AIRE DE FITNESS  JARDIN MAURICE BECANE,,31300,Toulouse Rive Gauche,2.2,oui,4,,,,,,,,
"43.6056045243907,1.4259512623544361","{""coordinates"": [[1.425951262354436, 43.6056045243907]], ""type"": ""MultiPoint""}",FITNESS BAZACLE,,31000,Toulouse Centre,1.2,oui,-9999,,,,TOULOUSE,,,,
"43.58040104329764,1.4082274513902546","{""coordinates"": [[1.408227451390255, 43.58040104329764]], ""type"": ""MultiPoint""}",MODULES DE FITNESS PETIT BOIS DE BAGATELLE,,31100,Toulouse Rive Gauche,2.3,oui,-9999,Parcours forme et Fitness,Equipement isolé,,,,,,
"43.59942489382088,1.4029334783664358","{""coordinates"": [[1.402933478366436, 43.59942489382088]], ""type"": ""MultiPoint""}",MODULES DE FITNESS JARDIN DU BARRY,,31300,Toulouse Rive Gauche,2.4,oui,-9999,,Equipement isolé,,,,,,
"43.618629842214766,1.465094222074215","{""coordinates"": [[1.465094222074215, 43.618629842214766]], ""type"": ""MultiPoint""}",MODULES DE FITNESS PIERRE ROUS,,31500,Toulouse Est,4.1,oui,-9999,Parcours forme et Fitness,Equipement isolé,,,,,,
"43.607426912678484,1.4166652144253122","{""coordinates"": [[1.416665214425312, 43.607426912678484]], ""type"": ""MultiPoint""}",MODULES DE FITNESS LA COULEE VERTE DES AMIDONNIERS,,31000,Toulouse Centre,1.2,oui,-9999,Parcours forme et Fitness,Equipement isolé,,,,,,
"43.58496191925336,1.4392812935727266","{""coordinates"": [[1.439281293572727, 43.58496191925336]], ""type"": ""MultiPoint""}",MODULES DE FITNESS  BERGES DE LA GARONNE,Berges de Garonne,31400,Toulouse Sud Est,5.3,oui,-9999,,Equipement isolé,Boulevard du Maréchal Juin,TOULOUSE,,,,
"43.606813860719114,1.471924357287276","{""coordinates"": [[1.471924357287276, 43.606813860719114]], ""type"": ""MultiPoint""}",MODULES DE FITNESS JARDIN DE LA COQUILLE,,31500,Toulouse Est,4.2,oui,-9999,Parcours sportif/Santé,Equipement isolé,Rue Claude Auge,TOULOUSE,,,,
"43.59602334546336,1.4372002731029412","{""coordinates"": [[1.437200273102941, 43.59602334546336]], ""type"": ""MultiPoint""}",FITNESSE PRAIRIE DES FILTRES,,31300,Toulouse Rive Gauche,2.1,oui,-9999,,Equipement isolé,,,oui,,,
