Geo Point,Geo Shape,eq_nom_equipement,eq_gestionnaire,x,y,numero,lib_off,id_secteur_postal,eq_ville,eq_bibliotheque,eq_musee,eq_cinema,eq_galerie_lieu_exposition,eq_conf_reception,eq_nta,eq_enseignement,eq_salle_de_spectacle,eq_centre_culturel,eq_ca_mjc_mq,eq_cafe_concert,eq_studio_dans_musique,eq_secteur,eq_quartier
"43.634331691790614,1.4364954645667827","{""coordinates"": [[1.436495464566783, 43.634331691790614]], ""type"": ""MultiPoint""}",ANNEXE DU CRR BARRIERE DE PARIS - ZAC LA VACHE,Mairie de Toulouse - DGA Culture,1573840,2271643,4,RUE MARGUERITE DURAS,31200,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,3,3.1
"43.57451027596898,1.4545078212318372","{""coordinates"": [[1.454507821231837, 43.57451027596898]], ""type"": ""MultiPoint""}",ANNEXE DU CRR RANGUEIL - JULES JULIEN,Mairie de Toulouse - DGA Culture,1575171,2264971,9,AV DES ECOLES JULES JULIEN,31400,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,5,5.2
"43.62384501195241,1.461400040640703","{""coordinates"": [[1.461400040640703, 43.62384501195241]], ""type"": ""MultiPoint""}",ARCHIVES MUNICIPALES TOULOUSE,Mairie de Toulouse - DGA Culture,1575828,2270441,2,RUE DES ARCHIVES,31500,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,4,4.1
"43.61818868557008,1.3995123107919034","{""coordinates"": [[1.399512310791903, 43.61818868557008]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE ANCELY,Mairie de Toulouse - DGA Culture,1570822,2269906,2,ALL DU VELAY,31300,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,6,6.1
"43.5938466024526,1.4659338368926393","{""coordinates"": [[1.465933836892639, 43.5938466024526]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE COTE PAVEE,Mairie de Toulouse - DGA Culture,1576133,2267102,125,AV JEAN RIEUX,31500,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,4,4.3
"43.63588213585073,1.4641951480765887","{""coordinates"": [[1.464195148076589, 43.63588213585073]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE CROIX DAURADE,Mairie de Toulouse - DGA Culture,1576078,2271774,122,RTE D ALBI,31200,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,3,3.3
"43.60730817013732,1.4432706696541147","{""coordinates"": [[1.443270669654115, 43.60730817013732]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE D'ETUDE ET DU PATRIMOINE -  PERIGORD,Mairie de Toulouse - DGA Culture,1574331,2268631,1,RUE DE PERIGORD,31000,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,1,1.1
"43.638239597039956,1.4439068285677228","{""coordinates"": [[1.443906828567723, 43.638239597039956]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE LES IZARDS,Mairie de Toulouse - DGA Culture,1574446,2272066,,PL MICOULAUD,31200,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,3,3.3
"43.60236381366186,1.4673673834393073","{""coordinates"": [[1.467367383439307, 43.60236381366186]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE PINEL,Mairie de Toulouse - DGA Culture,1576266,2268046,7,PL MARIUS PINEL,31500,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,4,4.2
"43.59849168931289,1.4537644430596899","{""coordinates"": [[1.45376444305969, 43.59849168931289]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE POUR TOUS - VASE,Association,1575160,2267636,15,RUE DES VASES,31000,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,1,1.3
"43.5837161243945,1.4834517561900495","{""coordinates"": [[1.48345175619005, 43.5837161243945]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE POUR TOUS -SHRADER,Association,1577527,2265951,15,IMP FRANZ SCHRADER,31500,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,5,5.1
"43.574870208885514,1.4639464323059583","{""coordinates"": [[1.463946432305958, 43.574870208885514]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE RANGUEIL,Mairie de Toulouse - DGA Culture,1575934,2264997,19,RUE CLAUDE DE FORBIN,31400,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,5,5.2
"43.619352491601475,1.4667920223885853","{""coordinates"": [[1.466792022388585, 43.619352491601475]], ""type"": ""MultiPoint""}",BIBLIOTHEQUE ROSERAIE,Mairie de Toulouse - DGA Culture,1576254,2269934,170,RUE DE PERIOLE,31500,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,4,4.1
"43.616367637400685,1.4394958105860225","{""coordinates"": [[1.439495810586022, 43.616367637400685]], ""type"": ""MultiPoint""}",CAFE THEATRE LE 57,Structure commerciale,1574045,2269643,57,BD DES MINIMES,31200,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,3,3.1
"43.607184496549685,1.4421092656115413","{""coordinates"": [[1.442109265611541, 43.607184496549685]], ""type"": ""MultiPoint""}",CAVE POESIE,Association,1574237,2268619,71,RUE DU TAUR,31000,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,1,1.1
"43.62399026034344,1.4386564666671822","{""coordinates"": [[1.438656466667182, 43.62399026034344]], ""type"": ""MultiPoint""}",CENTRE CULTUREL - THEATRE DES MAZADES,Mairie de Toulouse - DGA Culture,1573993,2270491,10,AV DES MAZADES,31200,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,Yes,3,3.1
"43.6200175492092,1.4351273861094815","{""coordinates"": [[1.435127386109482, 43.6200175492092]], ""type"": ""MultiPoint""}",CENTRE CULTUREL DES MINIMES,Association,1573700,2270055,6,RUE DU CAILLOU GRIS,31200,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,Yes,3,3.1
"43.57945908152348,1.4118334444956246","{""coordinates"": [[1.411833444495625, 43.57945908152348]], ""type"": ""MultiPoint""}",CENTRE CULTUREL HENRI DESBALS,Mairie de Toulouse - DGA Culture,1571735,2265585,128,RUE HENRI DESBALS,31100,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,2,2.3
"43.610834310966425,1.4370602249869047","{""coordinates"": [[1.437060224986905, 43.610834310966425]], ""type"": ""MultiPoint""}",LE CACTUS,Structure commerciale,1573837,2269032,13,BD LASCROSSES,31000,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,1,1.1
"43.62833944150006,1.4347404500178733","{""coordinates"": [[1.434740450017873, 43.62833944150006]], ""type"": ""MultiPoint""}",ETPA - ECOLE DE PHOTOGRAPHIE,Structure commerciale,1573686,2270980,7,RUE EUGENE LABICHE,31200,TOULOUSE,F,F,F,F,No,F,F,F,F,No,F,No,3,3.1
