COLL_NOM,COLL_SIRET,EQUIP_UID,EQUIP_THEME,EQUIP_CODE,EQUIP_TYPE,EQUIP_NOM,ADR_NUMERO,ADR_NOMVOIE,ADR_CODEPOSTAL,ADR_COMMUNE,EQUIP_OUVERTURE,ADR_CLE_INTEROP,ERP_ID,ERP_TYPE,ERP_CATEGORIE,EQUIP_LAT,EQUIP_LONG,EQUIP_TEL,EQUIP_EMAIL,EQUIP_WEB,EQUIP_GEOPOINT
SYNDICAT MIXTE DECOSET,2.53103E+13,31584-10040200-013,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DE VILLEMUR,99999,ZA Pechnauqié,31340,VILLEMUR,"09:30-12:00,13:30-18:00; Th off",,,,,43.8419,1.499,05 62 89 03 41,,http://www.decoset.fr/,"43.8419,1.499"
SYNDICAT MIXTE DECOSET,2.53103E+13,31157-10040200-015,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DE CUGNAUX,99999,Route de Portet (RD24),31270,CUGNAUX,"Mo-Sa 08:00-12:00,13:00-18:00; Su 09:00-12:00",,,,,43.532,1.36749,05 62 89 03 41,,http://www.decoset.fr/,"43.532,1.36749"
SYNDICAT MIXTE DECOSET,2.53103E+13,31069-10040200-014,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DE BLAGNAC,20,rue des Orfèvres - ZA de Fontgrasse,31700,BLAGNAC,"Apr-Sep Mo-Th 08:30-12:00,13:30-19:00; Apr-Sep Tu off; Apr-Sep Fr 08:30-12:00,13:30-18:00; Apr-Sep Sa 09:00-18:00; Apr-Sep Su 09:00-13:00; Oct-Mar Mo 09:00-12:00,14:00-19:00; Oct-Mar We-Fr 09:00-12:00,14:00-18:00; Oct-Mar Su 10:00-13:00",,,,,43.6461,1.38253,05 62 89 03 41,,http://www.decoset.fr/,"43.6461,1.38253"
SYNDICAT MIXTE DECOSET,2.53103E+13,31555-10040200-019,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DE MONLONG,15,rue Paul Rocaché,31100,TOULOUSE,"Tu-Sa 09:00-12:00,14:00-18:00; Su 09:00-12:00",,,,,43.5553,1.39821,05 62 89 03 41,,http://www.decoset.fr/,"43.5553,1.39821"
SYNDICAT MIXTE DECOSET,2.53103E+13,31561-10040200-007,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DE L'UNION,99999,Rue d'Ariane,31240,L'UNION,"Tu-Fr 09:30-12:00,13:30-18:00; Sa,Su 09:30-18:00",,,,,43.6393562,1.5012549,05 62 89 03 41,,http://www.decoset.fr/,"43.6393562,1.5012549"
SYNDICAT MIXTE DECOSET,2.53103E+13,31446-10040200-010,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DE RAMONVILLE,40,Avenue de Suisse,31520,RAMONVILLE,"Mo-Fr 09:30-12:30,13:30-18:00; Th off; Sa,Su 09:30-17:00",,,,,43.5365189,1.4728204,05 62 89 03 41,,http://www.decoset.fr/,"43.5365189,1.4728204"
SYNDICAT MIXTE DECOSET,2.53103E+13,31150-10040200-002,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DE CORNEBARRIEU,99999,Chemin Saint James,31700,CORNEBARRIEU,"Mo-Fr 09:30-12:00,13:30-18:00; Th off; Sa,Su 10:00-18:00",,,,,43.6615625,1.3250868,05 62 89 03 41,,http://www.decoset.fr/,"43.6615625,1.3250868"
SYNDICAT MIXTE DECOSET,2.53103E+13,31555-10040200-017,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DES COSMONAUTES,,"rue des Cosmonautes, ZI de Montaudran",31400,TOULOUSE,"Tu-Sa 09:00-12:00,14:00-18:00",,,,,43.5634,1.49581,05 62 89 03 41,,http://www.decoset.fr/,"43.5634,1.49581"
SYNDICAT MIXTE DECOSET,2.53103E+13,31232-10040200-005,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DE GRENADE,99999,Route de Saint Cézert,31330,GRENADE,"09:30-12:00,13:30-18:00; Tu off",,,,,43.7648,1.23821,05 62 89 03 41,,http://www.decoset.fr/,"43.7648,1.23821"
SYNDICAT MIXTE DECOSET,2.53103E+13,31424-10040200-009,Autre équipement,10040200,déchèterie,DÉCHÈTERIE DE PLAISANCE DU TOUCH,99999,Rue du Docteur Charcot,31830,PLAISANCE DU TOUCH,08:30-18:30; Tu off,,,,,43.5923535,1.2997547,05 62 89 03 41,,http://www.decoset.fr/,"43.5923535,1.2997547"
