Geo Point,Geo Shape,index,ecole,rne,num,libelle,codsti,codpos,tel,secteur_action_scolaire,mails,eclair
"43.609294361879726,1.4213673590325802","{""coordinates"": [[1.42136735903258, 43.609294361879726]], ""type"": ""MultiPoint""}",1,Amidonniers,0312088B,123,ALL DE BRIENNE,1190413,31000,05 61 21 68 40,C. EST,ce.0312088b@ac-toulouse.fr,
"43.582953380898694,1.426397386846141","{""coordinates"": [[1.426397386846141, 43.582953380898694]], ""type"": ""MultiPoint""}",5,Becanne Maurice,0311025W,85,AV DE MURET,4848046,31300,05 61 42 92 92,C. OUEST,ce.0311025w@ac-toulouse.fr,
"43.55966160414483,1.3782664852986075","{""coordinates"": [[1.378266485298608, 43.55966160414483]], ""type"": ""MultiPoint""}",7,Bert Paul,0312402T,4,CHE DE LIFFARD,4112006,31100,05 61 07 57 25,OUEST,ce.0312402t@ac-toulouse.fr,
"43.666578416253934,1.4353928353555863","{""coordinates"": [[1.435392835355586, 43.666578416253934]], ""type"": ""MultiPoint""}",27,Dortis,0312977Te,17,CHE DE DORTIS,2390457,31200,05 34 24 50 27,NORD,ce.0312977t@ac-toulouse.fr,
"43.6073150794179,1.4302078049341966","{""coordinates"": [[1.430207804934197, 43.6073150794179]], ""type"": ""MultiPoint""}",33,Falguière,0310916C,2,RUE D ARTAGNAN,297654,31000,05 61 21 37 46,C. EST,ce.0310916c@ac-toulouse.fr,
"43.56628623047719,1.402456714352285","{""coordinates"": [[1.402456714352285, 43.56628623047719]], ""type"": ""MultiPoint""}",47,Hugo Victor,0312196U,3,IMP THEODORE RICHARD,5886403,31100,05 61 40 25 32,OUEST,ce.0312196u@ac-toulouse.fr,REP+
"43.57402264602246,1.4537768623671756","{""coordinates"": [[1.453776862367176, 43.57402264602246]], ""type"": ""MultiPoint""}",52,Julien Jules,0312273C,11,AV DES ECOLES JULES JULIEN,2518456,31400,05 61 52 45 88,SUD EST,ce.0312273c@ac-toulouse.fr,
"43.5790048760853,1.38522999813037","{""coordinates"": [[1.38522999813037, 43.5790048760853]], ""type"": ""MultiPoint""}",60,Lesseps Ferdinand De,0312143L,31,CHE DES PRADETTES,5561651,31100,05 61 40 57 83,OUEST,ce.0312143l@ac-toulouse.fr,
"43.5957845199208,1.478268707510161","{""coordinates"": [[1.478268707510161, 43.5957845199208]], ""type"": ""MultiPoint""}",63,Macé Jean,0312154Y,1,CHE DE DUROUX,2496011,31500,05 61 20 26 58,C. EST,ce.0312154y@ac-toulouse.fr,
"43.574761756152604,1.4242663284537722","{""coordinates"": [[1.424266328453772, 43.574761756152604]], ""type"": ""MultiPoint""}",76,Oustalous (Les),0311024V,65,RTE D ESPAGNE,2624010,31100,05 61 44 92 81,C. OUEST,ce.0311024v@ac-toulouse.fr,
"43.655130680213034,1.4338207617938117","{""coordinates"": [[1.433820761793812, 43.655130680213034]], ""type"": ""MultiPoint""}",86,Saliège Jules-Géraud (ex Alphand),0312892Ae,3,RUE LISE MEITNER,115256,31200,05 62 84 32 30,NORD,ce.0312892a@ac-toulouse.fr,
"43.616662650295616,1.4087937595927955","{""coordinates"": [[1.408793759592796, 43.616662650295616]], ""type"": ""MultiPoint""}",88,Sept Deniers,0312080T,110,RTE DE BLAGNAC,912031,31200,05 61 57 02 85,NORD,ce.0312080t@ac-toulouse.fr,
"43.60734743702237,1.4774426331317432","{""coordinates"": [[1.477442633131743, 43.60734743702237]], ""type"": ""MultiPoint""}",90,Soupetard,0312174V,37,RUE DE LA SOLIDARITE,6649612,31500,05 61 80 88 78,C. EST,ce.0312174v@ac-toulouse.fr,
"43.57222203342783,1.3944346904385843","{""coordinates"": [[1.394434690438584, 43.57222203342783]], ""type"": ""MultiPoint""}",94,Triolet Elsa,0312107X,0004B,RUE EMILE PELLETIER,8371018,31100,05 61 40 97 12,OUEST,ce.0312107x@ac-toulouse.fr,REP+
"43.58950038909314,1.4273715729535663","{""coordinates"": [[1.427371572953566, 43.58950038909314]], ""type"": ""MultiPoint""}",6,Benezet,0310162H,37,RUE BENEZET,771228,31300,05 61 42 33 75,C. OUEST,ce.0310162h@ac-toulouse.fr,
"43.5881463506393,1.4209031460946615","{""coordinates"": [[1.420903146094662, 43.5881463506393]], ""type"": ""MultiPoint""}",8,Billières Etienne,0312272B,56,RUE JACQUES GAMELIN,3056060,31100,05 61 40 29 81,C. OUEST,ce.0312272b@ac-toulouse.fr,REP+
"43.600667239802526,1.4853836459814171","{""coordinates"": [[1.485383645981417, 43.600667239802526]], ""type"": ""MultiPoint""}",17,Château de l'Hers,0312598F,8,RUE CLAUDIUS ROUGENET,8425213,31500,05 61 34 94 68,C. EST,ce.0312598f@ac-toulouse.fr,
"43.65416498570646,1.4397614994425634","{""coordinates"": [[1.439761499442563, 43.65416498570646]], ""type"": ""MultiPoint""}",26,De Gouges Olympe,0312722Re,12,RUE VIRGINIA WOOLF,9000113,31200,05 61 47 87 14,NORD,ce.0312722r@ac-toulouse.fr,
"43.5605838901044,1.399135226687609","{""coordinates"": [[1.399135226687609, 43.5605838901044]], ""type"": ""MultiPoint""}",28,Dottin Paul,0311305A,10,RUE DU RECTEUR DOTTIN,8346726,31100,05 61 40 25 68,OUEST,ce.0311305a@ac-toulouse.fr,REP+
"43.56726854652503,1.3721829014981912","{""coordinates"": [[1.372182901498191, 43.56726854652503]], ""type"": ""MultiPoint""}",44,Guilhermy,0312870Be,7,RUE DE LAS BRUGUES,8432120,31100,05 34 61 72 33,OUEST,ce.0312870b@ac-toulouse.fr,
"43.58906920122396,1.4513890379267853","{""coordinates"": [[1.451389037926785, 43.58906920122396]], ""type"": ""MultiPoint""}",50,Jaurès Jean,0312294A,21,AV FRIZAC,2992030,31400,05 61 52 83 06,SUD EST,ce.0312294a@ac-toulouse.fr,
"43.61384525336196,1.467802769909187","{""coordinates"": [[1.467802769909187, 43.61384525336196]], ""type"": ""MultiPoint""}",51,Jolimont,0312173U,14,AV HENRI GUILLAUMET,3372803,31500,05 61 48 76 06,C. EST,ce.0312173u@ac-toulouse.fr,
"43.61747026278543,1.4716814453125806","{""coordinates"": [[1.471681445312581, 43.61747026278543]], ""type"": ""MultiPoint""}",53,Juncasse (La),0312156A,133,RUE LOUIS PLANA,5433652,31500,05 61 48 72 82,C. EST,ce.0312156a@ac-toulouse.fr,
"43.59767677435284,1.4348681555087908","{""coordinates"": [[1.434868155508791, 43.59767677435284]], ""type"": ""MultiPoint""}",59,Lespinasse,0311021S,3,RUE DU CHAIREDON,1596855,31300,05 61 42 86 31,C. OUEST,ce.0311021s@ac-toulouse.fr,
"43.56688179688049,1.4973506381348523","{""coordinates"": [[1.497350638134852, 43.56688179688049]], ""type"": ""MultiPoint""}",64,Mailhos Georges,0312975Re,2,RUE CLAIRE ROMAN,8441700,31400,05 34 24 50 14,SUD EST,ce.0312975r@ac-toulouse.fr,
"43.62999998539322,1.449192003737622","{""coordinates"": [[1.449192003737622, 43.62999998539322]], ""type"": ""MultiPoint""}",65,Maourine (La),0312673M,13,AV M BOURGES MAUNOURY,8439231,31100,05 61 99 94 10,NORD,ce.0312673m@ac-toulouse.fr,
"43.64001046118509,1.4502018738196638","{""coordinates"": [[1.450201873819664, 43.64001046118509]], ""type"": ""MultiPoint""}",73,Niboul,0312871Ce,8,RUE ARRIA LY,9000173,31200,05 34 30 65 40,NORD,ce.0312871c@ac-toulouse.fr,
"43.61083050154388,1.4415691787176668","{""coordinates"": [[1.441569178717667, 43.61083050154388]], ""type"": ""MultiPoint""}",74,Nord,0310952S,13,BD D ARCOLE,233624,31000,05 61 21 46 71,C. EST,ce.0310952s@ac-toulouse.fr,
"43.59547619192455,1.4244299087286878","{""coordinates"": [[1.424429908728688, 43.59547619192455]], ""type"": ""MultiPoint""}",80,Patte d'Oie,0312197V,44,RUE DU TCHAD,6793649,31300,05 34 24 55 61,C. OUEST,ce.0312197v@ac-toulouse.fr,
