Geo Point,Geo Shape,nom,num,adresse,cp,gestion,ages,email,telephone,oid,site_internet
"43.57888378229038,1.4415938945331561","{""coordinates"": [[1.441593894533156, 43.57888378229038]], ""type"": ""MultiPoint""}",EMPALOT,40,40 av. Jean Moulin,31400,Municipale,Jun-99,,05-61-25-57-46,35,
"43.579476797726315,1.4118266842809364","{""coordinates"": [[1.411826684280936, 43.579476797726315]], ""type"": ""MultiPoint""}",HENRI DESBALS,128,128 rue H. Desbals,31100,Municipale,Jun-99,ludotheque.h.desbals.6-99@mairie-toulouse.fr,05-36-25-25-92,41,
"43.63148607588989,1.4327788080009731","{""coordinates"": [[1.432778808000973, 43.63148607588989]], ""type"": ""MultiPoint""}",LUDOKID,12,12 rue Clouet,31200,Associative,0-99,ludokid@alliancesetcultures.org,05-61-13-35-96,38,http://www.alliancesetcultures.org/
"43.59109197315933,1.4196057465575518","{""coordinates"": [[1.419605746557552, 43.59109197315933]], ""type"": ""MultiPoint""}",ARENES,150,150 Bd Deodat de Severac,31000,Associative,0-99,ludotheque.arenes@associationallee.fr,06-68-48-31-10,45,http://www.alliancesetcultures.org/
"43.58122882340352,1.400021460479452","{""coordinates"": [[1.400021460479452, 43.58122882340352]], ""type"": ""MultiPoint""}",MUP,14,14 Chemin du Mirail,31000,Associative,0-99,espacejeux.mup@alliancesetcultures.org,05-61-76-56-30,46,http://www.alliancesetcultures.org/
"43.57838764573983,1.441315608748393","{""coordinates"": [[1.441315608748393, 43.57838764573983]], ""type"": ""MultiPoint""}",JEAN MOULIN,42,42 av. Jean Moulin,31400,Municipale,0-9,ludotheque.j.moulin@mairie-toulouse.fr,05-36-25-20-99,48,
"43.57080090508397,1.4031774632024279","{""coordinates"": [[1.403177463202428, 43.57080090508397]], ""type"": ""MultiPoint""}",REYNERIE,5,5 rue de Kiev,31100,CAF Municipale,0-99,ludotheque@caftoulouse.fr,05-34-60-83-96,33,
"43.61008626205261,1.4488194487323378","{""coordinates"": [[1.448819448732338, 43.61008626205261]], ""type"": ""MultiPoint""}",CENTRE SOCIAL RAYMOND IV,4,4 rue de l'Orient,31000,Associative,0-6,ludotheque.toulouse@croix-rouge.fr,05-61-99-24-69,37,
"43.617924570827014,1.4072175524649717","{""coordinates"": [[1.407217552464972, 43.617924570827014]], ""type"": ""MultiPoint""}",LUDOGARONNE,7,7 ch. de la Garonne,31200,Associative,0-99,ludogaronne@alliancesetcultures.org,09-50-08-31-20,43,http://alliancesetcultures.ouvaton.org/
"43.60380393916388,1.4532852895663904","{""coordinates"": [[1.45328528956639, 43.60380393916388]], ""type"": ""MultiPoint""}",LES LUDOTINES,8,8 impasse St Aubin,31000,Associative,0-99,ludotines@gmail.com,05-62-72-03-98,44,http://www.lesludotines.com/
"43.574882911691844,1.4639489047599519","{""coordinates"": [[1.463948904759952, 43.574882911691844]], ""type"": ""MultiPoint""}",ARC-EN-CIEL,19,19 rue Claude Forbin,31400,Associative,0-99,ludotheque.rangueil@gmail.com,05-61-32-92-87,34,https://www.facebook.com/Ludoth%C3%A8que-de-Rangueil-127779840638450/
"43.60050364445598,1.4740523611027334","{""coordinates"": [[1.474052361102733, 43.60050364445598]], ""type"": ""MultiPoint""}",LUDOMONDE,42,42 rue H. Achiary,31500,Associative,0-99,ludomonde@alejm.org,05-61-34-12-58,39,http://www.alejm.org/
"43.66510841598673,1.3851888573112339","{""coordinates"": [[1.385188857311234, 43.66510841598673]], ""type"": ""MultiPoint""}",TOUS EN JEU,45,45 rue des Mimosas,31046,Associative,0-99,contact@tousenjeu.com,06-18-61-58-91 - 05-61-63-93-11,40,
"43.57942352133251,1.411392267577317","{""coordinates"": [[1.411392267577317, 43.57942352133251]], ""type"": ""MultiPoint""}",HENRI DESBALS,117,117 rue H. Desbals,31100,Municipale,0-9,ludotheque.h.desbals.0-9@mairie-toulouse.fr,05-36-25-21-65,36,
"43.56536908075651,1.4021483089619329","{""coordinates"": [[1.402148308961933, 43.56536908075651]], ""type"": ""MultiPoint""}",CLAUDE NOUGARO,3,3 imp. Francois Foulquier,31100,Municipale,0-9,ludotheque.c.nougaro@mairie-toulouse.fr,05-61-22-38-93,42,
"43.636498673034765,1.462763928589888","{""coordinates"": [[1.462763928589888, 43.636498673034765]], ""type"": ""MultiPoint""}","1,2,3 LUDO",7,7 rue Francis Lopez,31200,Associative,0-99,ludo.123soleil@gmail.com,07-82-83-68-75,47,https://www.123-soleil.org/
