Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.56535940630329,1.415996853897757","{""coordinates"": [[1.415996853897757, 43.56535940630329]], ""type"": ""MultiPoint""}",GYMNASE MAURICE DREUIL,COMPLEXE SPORTIF DE GIRONIS,31100,Toulouse Ouest,6.4,non,5,SALLE MULTISPORTS/SALLE TENNIS TABLE/SALLE DE DANSE/SALLE DANSE/SALLE REUNION,COMPLEXE SPORTIF GIRONIS,RUE DE GIRONIS,TOULOUSE,,,,
"43.57031805235783,1.4845248840805412","{""coordinates"": [[1.484524884080541, 43.57031805235783]], ""type"": ""MultiPoint""}",GYMNASE COMPLEXE MONTAUDRAN,Complexe sportif de Montaudran aerospace,31400,Toulouse Sud Est,5.1,non,1,,,,,oui,oui,,
"43.56968999959139,1.3446959998122752","{""coordinates"": [[1.344695999812275, 43.56968999959139]], ""type"": ""MultiPoint""}",GYMNASE DE LA RAMEE,,31170,,,non,1,ROLLER/HOCKEY,BASE DE SPORTS ET DE LOISIRS DE LA RAMEE,CHEMIN DE LARRAMET,,,,,
"43.59875900287681,1.4139149993906857","{""coordinates"": [[1.413914999390686, 43.59875900287681]], ""type"": ""MultiPoint""}",GYMNASE PIERRE MONTANE,COMPLEXE SPORTIF MONTANE,31300,Toulouse Rive Gauche,2.4,,2,Salle multisports / SALLE REUNION,COMPLEXE SPORTIF MONTANE,AVENUE RAYMOND BADIOU,,oui,oui,,
"43.58779299761168,1.4021390007020154","{""coordinates"": [[1.402139000702015, 43.58779299761168]], ""type"": ""MultiPoint""}",GYMNASE DE LA CEPIERE,Complexe sportif de la Cépière,31100,Toulouse Rive Gauche,2.4,,1,,COMPLEXE SPORTIF DE LA CEPIERE,ROUTE DE SAINT SIMON,,oui,oui,,
"43.58111699520464,1.4017709983808695","{""coordinates"": [[1.401770998380869, 43.58111699520464]], ""type"": ""MultiPoint""}",NOUVEAU GYMNASE DU MIRAIL,COMPLEXE SPORTIF DU MIRAIL,31100,Toulouse Ouest,6.3,,3,Mur d'escalade/SALLE DE BOXE/SALLE MULTISPORTS/,COMPLEXE SPORTIF DU MIRAIL,RUE FERDINAND LAULANIE,,oui,oui,,
"43.59304899276541,1.489608998239834","{""coordinates"": [[1.489608998239834, 43.59304899276541]], ""type"": ""MultiPoint""}",GYMNASE DU CHATYEAU DE L'HERS,COMPLEXE SPORTIF DU CHÂTEAU DE L'HERS,31500,Toulouse Est,4.3,,2,1 GRANDE SALLE / 1 PETITE SALLE,COMPLEXE SPORTIF DU CHÂTEAU DE L'HERS,CHEMIN DE LIMAYRAC,,oui,oui,,
"43.58659200508045,1.3983960043162091","{""coordinates"": [[1.398396004316209, 43.58659200508045]], ""type"": ""MultiPoint""}",GYMNASE MARCEL CERDAN,COMPLEXE SPORTIF MARCEL CERDAN,31100,Toulouse Ouest,6.2,non,3,1 SALLE MULTISPORTS/2 SALLES SPORTIVES,COMPLEXE SPORTIF MARCEL CERDAN,CHEMIN DE LA CEPIERE,,,oui,,
"43.57382500126881,1.4645009932480673","{""coordinates"": [[1.464500993248067, 43.57382500126881]], ""type"": ""MultiPoint""}",GYMNASE COSEC RANGUEIL,COMPLEXE SPORTIF RANGUEIL,31400,Toulouse Sud Est,5.2,,2,SALLE D'AGRES/SALLE MULTISPORTS,COMPLEXE SPORTIF RANGUEIL,CHEMIN DU CANAL,,oui,oui,,
"43.579268996366466,1.409460994097041","{""coordinates"": [[1.409460994097041, 43.579268996366466]], ""type"": ""MultiPoint""}",HALLE DE BAGATELLE,GYMNASE,31100,Toulouse Rive Gauche,2.3,,2,SALLE MULTISPORTS/MUR ESCALADE,COMPLEXE SPORTIF BAGATELLE,IMPASSE BACHAGA BOUALAM,TOULOUSE,oui,oui,,
"43.62454999769471,1.436168994047259","{""coordinates"": [[1.436168994047259, 43.62454999769471]], ""type"": ""MultiPoint""}",GYMNASE ARNAUNE,COMPLEXE SPORTIF DES MINIMES,31200,Toulouse Nord,3.1,non,2,1 GRANDE SALLE / 1 PETITE SALLE,COMPLEXE SPORTIF DES MINIMES,AVENUE FREDERIC ESTEBE,,non,oui,,
"43.57769599953534,1.4153190048522928","{""coordinates"": [[1.415319004852293, 43.57769599953534]], ""type"": ""MultiPoint""}",GYMNASE DE LA FAOURETTE,Complexe sportif de la Faourette,31100,Toulouse Rive Gauche,2.3,,4,SALLE DE BOXE/DOJO/SALLE  DE DANSE/SALLE OMNISPORTS,COMPLEXE SPORTIF DE LA FAOURETTE,RUE PAUL LAMBERT,TOULOUSE,oui,oui,,
"43.57375499637328,1.4553699985479442","{""coordinates"": [[1.455369998547944, 43.57375499637328]], ""type"": ""MultiPoint""}",GYMNASE JEAN MOULIN,Complexe sportif Jean Moulin,31400,Toulouse Sud Est,5.2,,2,Salle multisports / mur d'escalade,COMPLEXE SPORTIF JEAN MOULIN,AVENUE DES ECOLES JULES JULIEN,,oui,oui,,
"43.6070360047441,1.4543860028086293","{""coordinates"": [[1.454386002808629, 43.6070360047441]], ""type"": ""MultiPoint""}",SALLE OMNISPORTS BÂTIMENT A LEO LAGRANGE,,31000,Toulouse Centre,1.3,,1,,COMPLEXE SPORTIF LEO LAGRANGE,RUE DES SEPT TROUBADOURS,,oui,oui,,
"43.60227100382394,1.4394630082680975","{""coordinates"": [[1.439463008268097, 43.60227100382394]], ""type"": ""MultiPoint""}",GYMNASE BARADA,,31000,Toulouse Centre,1.1,,1,SALLE EQUIPEE D'UNE ROCHELLE,Equipement isolé,1 Rue Malbec,TOULOUSE,oui,oui,,
"43.62758199975896,1.440404004409012","{""coordinates"": [[1.440404004409012, 43.62758199975896]], ""type"": ""MultiPoint""}",GYMNASE LYCEE TOULOUSE LAUTREC,,31200,Toulouse Nord,3.1,,1,,COMPLEXE SPORTIF TOULOUSE LAUTREC,IMPASSE BARTHE,,oui,oui,,
"43.59787399796426,1.4545779964412944","{""coordinates"": [[1.454577996441294, 43.59787399796426]], ""type"": ""MultiPoint""}",GYMNASE CALVINHAC,,31000,Toulouse Centre,1.3,non,2,1 SALLE GYMNASTIQUE/1 SALLE JUDO,Equipement isolé,5 Rue Jacques Labatut,TOULOUSE,oui,oui,,
"43.56939416358134,1.4048504333046608","{""coordinates"": [[1.404850433304661, 43.56939416358134]], ""type"": ""MultiPoint""}",COMPLEXE SPORTIF REYNERIE,,31100,Toulouse Ouest,6.3,non,3,GYMNASE/SALLE ARTS MARTIAUX/SALLE MULTISPORTS,COMPLEXE SPORTIF REYNERIE,RUE LOUISE MICHEL,,,,,
