Geo Point,Geo Shape,eq_nom_equipement,numero,lib_off,id_secteur_postal,eq_ville,eq_telephone,eq_gestionnaire,eq_secteur,eq_quartier,eq_site_web
"43.57451027596898,1.4545078212318372","{""coordinates"": [[1.454507821231837, 43.57451027596898]], ""type"": ""MultiPoint""}",ANNEXE DU CRR RANGUEIL - JULES JULIEN,9,AV DES ECOLES JULES JULIEN,31400,TOULOUSE,05 61 55 42 50,Mairie de Toulouse - DGA Culture,5,5.2,www.conservatoirerayonnementregional.toulouse.fr
"43.61139548276987,1.4466355547044323","{""coordinates"": [[1.446635554704432, 43.61139548276987]], ""type"": ""MultiPoint""}",CICC - SAMBA RESILLE,38,RUE ROQUELAINE,31000,TOULOUSE,05 34 41 62 16,Association,1,1.3,www.samba-resille.org
"43.60710584021074,1.4422847183037093","{""coordinates"": [[1.442284718303709, 43.60710584021074]], ""type"": ""MultiPoint""}",ESAV,56,RUE DU TAUR,31000,TOULOUSE,05 61 50 44 46,Association,1,1.1,http://w3.esav.univ-tlse2.fr/esav/
"43.610149608571476,1.4443628115698741","{""coordinates"": [[1.444362811569874, 43.610149608571476]], ""type"": ""MultiPoint""}",GALERIE INGRES - CRDP,68,BD DE STRASBOURG,31000,TOULOUSE,05 61 99 48 48,Association,1,1.3,http://www.cndp.fr/crdp-toulouse/spip.php?rubrique2727#top
"43.59537746741279,1.4430794308128416","{""coordinates"": [[1.443079430812842, 43.59537746741279]], ""type"": ""MultiPoint""}",INSTITUT CATHOLIQUE DE TOULOUSE - ESPACE MUSEOGRAPHIQUE BACCRABERE - SALLE TOLOSA,31,RUE DE LA FONDERIE,31000,TOULOUSE,05 61 36 81 12,Autre institution publique,1,1.1,www.ict-toulouse.fr
"43.623741599315146,1.4767070405811002","{""coordinates"": [[1.4767070405811, 43.623741599315146]], ""type"": ""MultiPoint""}",LE LIDO - CENTRE DES ARTS DU CIRQUE,14,RUE DE GAILLAC,31500,TOULOUSE,05 61 11 16  10,Mairie de Toulouse - DGA Culture,4,4.2,www.circolido.fr
"43.599788689978475,1.43441958867104","{""coordinates"": [[1.43441958867104, 43.599788689978475]], ""type"": ""MultiPoint""}",LES ATELIERS MUSICAUX,1,RUE QUILMERY,31300,TOULOUSE,561592942,Association,2,2.1,www.ateliers.musicaux.free.fr
"43.616906270724506,1.4561477819358317","{""coordinates"": [[1.456147781935832, 43.616906270724506]], ""type"": ""MultiPoint""}",LIEU COMMUN / PLAN 9,25,RUE D ARMAGNAC,31500,TOULOUSE,05 61 23 80 57,Association,4,4.1,www.lieu-commun.fr
"43.604078929691504,1.435461666133191","{""coordinates"": [[1.435461666133191, 43.604078929691504]], ""type"": ""MultiPoint""}",AUDITORIUM SAINT - PIERRE DES CUISINES,12,PL SAINT PIERRE,31000,TOULOUSE,05 61 22 3105,Mairie de Toulouse - DGA Culture,1,1.1,www.conservatoire.mairie-toulouse.fr
"43.60326351980178,1.438406176259181","{""coordinates"": [[1.438406176259181, 43.60326351980178]], ""type"": ""MultiPoint""}",CONSERVATOIRE A RAYONNEMENT REGIONAL (CRR) - ESPACE VARESE,17,RUE LARREY,31000,TOULOUSE,05 61 22 28 61,Mairie de Toulouse - DGA Culture,1,1.1,www.conservatoirerayonnementregional.toulouse.fr
"43.616852402226506,1.4083573601617272","{""coordinates"": [[1.408357360161727, 43.616852402226506]], ""type"": ""MultiPoint""}",ESPACE JOB,105,RTE DE BLAGNAC,31200,TOULOUSE,05 34 43 24 91,Mairie de Toulouse - DGA Culture,3,3.2,www.cultures.toulouse.fr
"43.60062579710514,1.4397371866308595","{""coordinates"": [[1.439737186630859, 43.60062579710514]], ""type"": ""MultiPoint""}",INSTITUT SUPERIEUR DES ARTS DE TOULOUSE - ISDAT,5,QU DE LA DAURADE,31000,TOULOUSE,05 31 47 12 11,Structure mixte,1,1.1,www.esna-toulouse.org
"43.613115478981214,1.4413259685472881","{""coordinates"": [[1.441325968547288, 43.613115478981214]], ""type"": ""MultiPoint""}",INSTITUTO CERVANTES,31,RUE DES CHALETS,31000,TOULOUSE,05 61 62 80 72,Association,1,1.3,www.toulouse.cervantes.es/fr
"43.61305058804898,1.4365202572306273","{""coordinates"": [[1.436520257230627, 43.61305058804898]], ""type"": ""MultiPoint""}",MUSIC'HALLE,23,RUE DANIELLE CASANOVA,31000,TOULOUSE,05 61 21 12 25,Association,1,1.2,www.music-halle.com
"43.634331691790614,1.4364954645667827","{""coordinates"": [[1.436495464566783, 43.634331691790614]], ""type"": ""MultiPoint""}",ANNEXE DU CRR BARRIERE DE PARIS - ZAC LA VACHE,4,RUE MARGUERITE DURAS,31200,TOULOUSE,05 61 47 14 71,Mairie de Toulouse - DGA Culture,3,3.1,www.conservatoirerayonementregional.toulouse.fr
"43.597736090293616,1.4417434184865172","{""coordinates"": [[1.441743418486517, 43.597736090293616]], ""type"": ""MultiPoint""}",CONSERVATOIRE OCCITAN,5,RUE DU PONT DE TOUNIS,31000,TOULOUSE,05 34 51 28 38,Association,1,1.1,www.conservatoire-occitan.org
"43.60400215736915,1.4498092740986945","{""coordinates"": [[1.449809274098695, 43.60400215736915]], ""type"": ""MultiPoint""}",THEATRE NATIONAL DE TOULOUSE (TNT),1,RUE PIERRE BAUDIS,31000,TOULOUSE,05 34 45 05 00,Structure mixte,1,1.1,www.tnt-cite.com
"43.564651960551224,1.4106708931568634","{""coordinates"": [[1.410670893156863, 43.564651960551224]], ""type"": ""MultiPoint""}",ANNEXE DU CRR LA FOURGUETTE,6,PL DES GLIERES,31100,TOULOUSE,05 34 61 21 54,Mairie de Toulouse - DGA Culture,6,6.4,www.conservatoirerayonnementregional.toulouse.fr
"43.59742331816946,1.4292777238182253","{""coordinates"": [[1.429277723818225, 43.59742331816946]], ""type"": ""MultiPoint""}",CENTRE DE DEVELOPPEMENT CHOREGRAPHIQUE (CDC),5,AV ETIENNE BILLIERES,31300,TOULOUSE,05 61 59 98 78,Association,2,2.1,www.cdctoulouse.com
"43.604078929691504,1.435461666133191","{""coordinates"": [[1.435461666133191, 43.604078929691504]], ""type"": ""MultiPoint""}",ESPACE DANSE DU CONSERVATOIRE DE TOULOUSE,12,PL SAINT PIERRE,31000,TOULOUSE,05 62 27 67 78,Mairie de Toulouse - DGA Culture,1,1.1,www.conservatoire.mairie-toulouse.fr
"43.62833944150006,1.4347404500178733","{""coordinates"": [[1.434740450017873, 43.62833944150006]], ""type"": ""MultiPoint""}",ETPA - ECOLE DE PHOTOGRAPHIE,7,RUE EUGENE LABICHE,31200,TOULOUSE,05 34 40 12 00,Structure commerciale,3,3.1,http://www.etpa.com/access.html
"43.57770544549503,1.4041272610723938","{""coordinates"": [[1.404127261072394, 43.57770544549503]], ""type"": ""MultiPoint""}",LA FABRIQUE,5,ALL ANTONIO MACHADO,31100,TOULOUSE,05 61 50 43 98,Association,6,6.3,www.ciam-univ-toulouse2.fr
"43.559888173399486,1.377543570969093","{""coordinates"": [[1.377543570969093, 43.559888173399486]], ""type"": ""MultiPoint""}",ANNEXE DU CRR SAINT-SIMON,7,RUE DARBOUSSIER,31100,TOULOUSE,,Mairie de Toulouse - DGA Culture,6,6.4,www.conservatoirerayonnementregionale.toulouse.fr
"43.59931284530559,1.4358439508159624","{""coordinates"": [[1.435843950815962, 43.59931284530559]], ""type"": ""MultiPoint""}",GALERIE PASSAGE A L'ART,5,GRANDE-RUE SAINT NICOLAS,31300,TOULOUSE,06 64 21 26 80,Association,2,2.1,www.passagealart.com
"43.600699547098415,1.4432038330853345","{""coordinates"": [[1.443203833085335, 43.600699547098415]], ""type"": ""MultiPoint""}",MAISON DE L'OCCITANIE,11,RUE MALCOUSINAT,31000,TOULOUSE,05 61 22 13 31,Association,1,1.1,www.ostaldoccitania.net
