Geo Point,Geo Shape,nom,type,adresse,code postal,jours_de_tenue,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche
"43.610868509501394,1.4390095895185502","{""coordinates"": [[1.43900958951855, 43.610868509501394]], ""type"": ""MultiPoint""}",ARNAUD BERNARD,Alimentaire Producteurs,Place Arnaud-Bernard,31000,le samedi,,,,,,07h00 - 13h30,
"43.61128792911529,1.43880231108668","{""coordinates"": [[1.43880231108668, 43.61128792911529]], ""type"": ""MultiPoint""}",ARNAUD BERNARD – MARCHÉ AUX LIVRES,Livres,Place Arnaud-Bernard,31000,le jeudi,,,,07h00 – 18h00,,,
"43.636576461751844,1.4640707672374307","{""coordinates"": [[1.464070767237431, 43.636576461751844]], ""type"": ""MultiPoint""}",CROIX DAURADE,Alimentaire,Route d'Albi,31200,Mercredi,,,7h00 à 14h00,,,,
"43.60205867729801,1.447776472752249","{""coordinates"": [[1.447776472752249, 43.60205867729801]], ""type"": ""MultiPoint""}",SAINT GEORGES,Alimentaire,Place Saint Georges,31000,du mardi au samedi,,07h00 - 13h30,07h00 - 13h30,15h00 - 20h00,07h00 - 13h30,07h00 - 13h30,
"43.6193093388688,1.454913056171002","{""coordinates"": [[1.454913056171002, 43.6193093388688]], ""type"": ""MultiPoint""}",BETEILLE,Alimentaire,Place Jean-Bories,31500,le mardi,,07h00 - 13h30,,,,,
"43.57085099789382,1.4024709974677934","{""coordinates"": [[1.402470997467793, 43.57085099789382]], ""type"": ""MultiPoint""}",REYNERIE,Alimentaire et forain,Place Abbal,31100,le jeudi,,,,07h00 – 14h00,,,
"43.557014526256495,1.3805160570909516","{""coordinates"": [[1.380516057090952, 43.557014526256495]], ""type"": ""MultiPoint""}",SAINT SIMON,Alimentaire,Place de l'Eglise Saint-Simon,31100,le mercredi,,,07h00 - 13h30,,,,
"43.59763676390806,1.4302721965918916","{""coordinates"": [[1.430272196591892, 43.59763676390806]], ""type"": ""MultiPoint""}",MARCHÉ AUX LIVRES ST-CYPRIEN,Livres,Place Roguet,31300,le lundi,08h00 – 19h00,,,,,,
"43.59469358583376,1.4441731506075521","{""coordinates"": [[1.444173150607552, 43.59469358583376]], ""type"": ""MultiPoint""}",SALIN,Alimentaire Producteurs,Place du Salin,31000,"le mardi , vendredi et samedi",,07h00 - 13h30,,,07h00 - 13h30,07h00 - 13h30,
"43.60345349903292,1.455918842317512","{""coordinates"": [[1.455918842317512, 43.60345349903292]], ""type"": ""MultiPoint""}",BROCANTE SAINT AUBIN,Brocante,Bvd Michelet,31000,le samedi,,,,,,07h00 - 13h30,
"43.578512970950996,1.440961459945324","{""coordinates"": [[1.440961459945324, 43.578512970950996]], ""type"": ""MultiPoint""}",EMPALOT,Alimentaire et forain,Place A. Viadieu,31400,Mercredi,,,07h00-13h30,,,,
"43.614690854456896,1.421359122390123","{""coordinates"": [[1.421359122390123, 43.614690854456896]], ""type"": ""MultiPoint""}",PONTS JUMEAUX,Producteurs,Rue R.C. Brunschvicg,31200,le vendredi,,,,,16h - 20h,,
"43.57678599919194,1.424262997358231","{""coordinates"": [[1.424262997358231, 43.57678599919194]], ""type"": ""MultiPoint""}",OUSTALOUS,Alimentaire,51-53 Route d'Espagne,31100,le samedi,,,,,,07h00 – 14h00,
"43.64031899799583,1.4525110029277877","{""coordinates"": [[1.452511002927788, 43.64031899799583]], ""type"": ""MultiPoint""}",BORDEROUGE,Alimentaire et forain,Place du Carré-de-la-Maourine,31200,le samedi,,,,,,07h00 - 13h30,
"43.620329003776284,1.4350609998922614","{""coordinates"": [[1.435060999892261, 43.620329003776284]], ""type"": ""MultiPoint""}",MINIMES,Alimentaire et forain,Place du Marché aux Cochons,31200,le jeudi,,,,07h00 - 13h30,,,
"43.638220003698954,1.4439579987041755","{""coordinates"": [[1.443957998704176, 43.638220003698954]], ""type"": ""MultiPoint""}",TROIS COCUS,Alimentaire et forain,Place Micoulaud,31200,le mercredi,,,07h00 - 13h30,,,,
"43.601613098144234,1.3701468870416658","{""coordinates"": [[1.370146887041666, 43.601613098144234]], ""type"": ""MultiPoint""}",SAINT MARTIN DU TOUCH,Alimentaire,Place Grimaud,31300,le jeudi,,,,16h30 - 20h00,,,
"43.59449005276687,1.4445752456991168","{""coordinates"": [[1.444575245699117, 43.59449005276687]], ""type"": ""MultiPoint""}",SALIN - MARCHÉ AUX LIVRES,Livres,Place du Salin,31000,le mardi et le vendredi,,07h00 - 18h00,,,07h00 - 18h00,,
"43.608456847378115,1.4455770540142503","{""coordinates"": [[1.44557705401425, 43.608456847378115]], ""type"": ""MultiPoint""}",HERBES AROMATIQUES DES BD,Producteurs,35-37 boulevard de Strasbourg,31000,le dimanche,,,,,,,06h30 – 13h30
"43.581540411507326,1.388135068083786","{""coordinates"": [[1.388135068083786, 43.581540411507326]], ""type"": ""MultiPoint""}",PRADETTES,Alimentaire,Place des Pradettes,31100,le samedi,,,,,,07h00 - 13h30,
