Geo Point,Geo Shape,eq_nom_equipement,eq_gestionnaire,site_web,telephone,acces_metro,acces_bus,numero,lib_off,secteur_postal,ville,secteur,quartier,oid
"43.586978292636374,1.4931285236631011","{""coordinates"": [[1.493128523663101, 43.586978292636374]], ""type"": ""MultiPoint""}",CITE DE L'ESPACE,Structure commerciale,www.cite-espace.com,"0820.377.223 ( 0 ,12€ ttc/min.)",,37,TOUT,AV JEAN GONORD,31500,TOULOUSE CEDEX 5,4,4.3,172
"43.59882619978241,1.4304741837869783","{""coordinates"": [[1.430474183786978, 43.59882619978241]], ""type"": ""MultiPoint""}",MUSEE DE L'AFFICHE DE TOULOUSE - MATOU,Mairie de Toulouse - DGA Culture,www.centreaffiche.toulouse.fr,05 81 91 79 17,Saint-Cyprien République (A),"1, 3, 14, 45, 66",58,ALL CHARLES DE FITTE,31300,TOULOUSE,2,2.1,178
"43.59915424242097,1.4366018036958297","{""coordinates"": [[1.43660180369583, 43.59915424242097]], ""type"": ""MultiPoint""}",MUSEE DE L'HISTOIRE DE LA MEDECINE DE TOULOUSE,Association,www.museemedecine.free.fr,05 61 77 84 25,"Saint-Cyprien-République, Esquirol (A)","2, 10, 12, 14, 78, 80",2,RUE VIGUERIE,31300,TOULOUSE,2,2.1,179
"43.58887550966194,1.4567003573440527","{""coordinates"": [[1.456700357344053, 43.58887550966194]], ""type"": ""MultiPoint""}",MUSEE DE LA RESISTANCE ET DE LA DEPORTATION,Autre institution publique,www.musee-resistance31.fr,05 61 14 80 40,"Esquirol ( A),  François Verdier, Saint-Michel Marcel Langer (B)","2, 10, 78, 80",52,ALL DES DEMOISELLES,31400,TOULOUSE,5,5.3,180
"43.60167852764798,1.4430640834824193","{""coordinates"": [[1.443064083482419, 43.60167852764798]], ""type"": ""MultiPoint""}",MUSEE DES COMPAGNONS,Association,www.compagnons.org,05 62 47 41 77,"Esquirol, Capitole (A)","2, 10, 12, 14, 38, 78, 80",2,RUE TRIPIERE,31000,TOULOUSE,1,1.1,182
"43.607840245336305,1.441121238929545","{""coordinates"": [[1.441121238929545, 43.607840245336305]], ""type"": ""MultiPoint""}",MUSEE SAINT-RAYMOND - MUSEE DES ANTIQUES DE TOULOUSE,Mairie de Toulouse - DGA Culture,www.museesaintraymond.toulouse.fr,05 61 22 31 44,"Capitole (A), Jeanne d'Arc (B)","ncv, 15, 16, 23",TOUT,PL SAINT SERNIN,31000,TOULOUSE,1,1.1,188
"43.57430251289632,1.4769536248003259","{""coordinates"": [[1.476953624800326, 43.57430251289632]], ""type"": ""MultiPoint""}",L'envol des pionniers,,,,,,,,,,,,191
"43.66026336664138,1.3605667914574822","{""coordinates"": [[1.360566791457482, 43.66026336664138]], ""type"": ""MultiPoint""}",Aéroscopia,,,,,,,,,,,,192
"43.59533829837116,1.4429534449891173","{""coordinates"": [[1.442953444989117, 43.59533829837116]], ""type"": ""MultiPoint""}",INSTITUT CATHOLIQUE DE TOULOUSE - ESPACE MUSEOGRAPHIQUE BACCRABERE - SALLE TOLOSA,Autre institution publique,www.ict-toulouse.fr,05 61 36 81 12,Carmes (B),"2, 38",31,RUE DE LA FONDERIE,31000,TOULOUSE,1,1.1,174
"43.600918482033705,1.4295920479196689","{""coordinates"": [[1.429592047919669, 43.600918482033705]], ""type"": ""MultiPoint""}",LES ABATTOIRS - MUSEE D'ART MODERNE ET CONTEMPORAIN - FRAC MIDI-PYRENEES,Structure mixte,www.lesabattoirs.org,05 62 48 58 00,Saint-Cyprien-République (A),"1, 45",76,ALL CHARLES DE FITTE,31300,TOULOUSE,2,2.1,175
"43.59109515131484,1.4584665127804146","{""coordinates"": [[1.458466512780415, 43.59109515131484]], ""type"": ""MultiPoint""}",MUSEE GEORGES-LABIT,Mairie de Toulouse - DGA Culture,www.musees-midi-pyrenees.fr/musees/musee-georges-labit/,05 61 14 65 50,François Verdier (B),"10, 2, 27",TOUT,RUE DU JAPON,31400,TOULOUSE,5,5.3,186
"43.600385476499,1.4419229155272009","{""coordinates"": [[1.441922915527201, 43.600385476499]], ""type"": ""MultiPoint""}",HOTEL D'ASSEZAT - FONDATION BEMBERG,Association,www.fondation-bemberg.fr,05 61 12 06 89,Esquirol (A),"2, 10, 12, 14, 38, 78, 80",TOUT,PL D ASSEZAT,31000,TOULOUSE,1,1.1,173
"43.53381109949167,1.4590213349621348","{""coordinates"": [[1.459021334962135, 43.53381109949167]], ""type"": ""MultiPoint""}",MUSEE DE L'ABEILLE,Association,www.apiculture31.com,06 82 79 68 30,Université Paul Sabatier (B),54,40,CHE DE PECHBUSQUE,31400,TOULOUSE,5,5.2,177
"43.602296667939946,1.443186548287329","{""coordinates"": [[1.443186548287329, 43.602296667939946]], ""type"": ""MultiPoint""}",MUSEE DU VIEUX TOULOUSE,Association,,05 62 27 11 50,"Esquirol, Capitole (A)","2, 10, 12, 14, 38, 78, 80",7,RUE DU MAY,31000,TOULOUSE,1,1.1,185
"43.596916477528275,1.446912628358386","{""coordinates"": [[1.446912628358386, 43.596916477528275]], ""type"": ""MultiPoint""}",MUSEE PAUL-DUPUY - ARTS GRAPHIQUES ET ARTS DECORATIFS,Mairie de Toulouse - DGA Culture,www.musees-midi-pyrenees.fr/musees/musee-paul-dupuy/,05 61 14 65 50,Esquirol (A) Carmes (B),"ncv, 2, 12, 52",13,RUE DE LA PLEAU,31000,TOULOUSE,1,1.1,187
"43.624033332406285,1.4615921805132805","{""coordinates"": [[1.461592180513281, 43.624033332406285]], ""type"": ""MultiPoint""}",ARCHIVES MUNICIPALES TOULOUSE,Mairie de Toulouse - DGA Culture,www.archives.toulouse.fr,05 61 61 63 33,Roseraie (A),"36, 38",2,RUE DES ARCHIVES,31500,TOULOUSE,4,4.1,171
"43.63239357056506,1.4517879628291532","{""coordinates"": [[1.451787962829153, 43.63239357056506]], ""type"": ""MultiPoint""}",LES JARDINS DU MUSEUM - LA MAOURINE,Mairie de Toulouse - DGA Culture,www.museum.toulouse.fr,05 67 73 84 84,Borderouge (B),36,24,AV MAURICE BOURGES MAUNOURY,31200,TOULOUSE,3,3.3,176
"43.59915424242097,1.4366018036958297","{""coordinates"": [[1.43660180369583, 43.59915424242097]], ""type"": ""MultiPoint""}",MUSEE DES INSTRUMENTS DE MEDECINE DES HOPITAUX DE TOULOUSE,Structure commerciale,www.chu-toulouse.fr/le-musee-des-instruments-de,05 61 77 82 72,"Saint-Cyprien-République, Esquirol (A)","2, 10, 12, 14, 78, 80",2,RUE VIGUERIE,31300,TOULOUSE,2,2.1,183
"43.57701597891569,1.4504784293708826","{""coordinates"": [[1.450478429370883, 43.57701597891569]], ""type"": ""MultiPoint""}",MUSEE DES TRANSPORTS,Association,www.musee-midi-pyrenees.fr,05 61 55 02 10,Saint-Agne SNCF (B),"2, 34",93,AV JULES JULIEN,31400,TOULOUSE,5,5.3,184
