Geo Point,Geo Shape,infobulle,nom,adresse,nb_jeux,id_aires_jeux,cloture
" 43.575894643592896,1.3916555158893975","{""coordinates"": [[[[1.391595693599508, 43.575918701872844], [1.391608522976809, 43.57586130919366], [1.391717618079404, 43.57587105617055], [1.391699763492452, 43.57592836990644], [1.391595693599508, 43.575918701872844]]]], ""type"": ""MultiPolygon""}",COUTET RUE ALEX COUTET 3 jeux,COUTET,RUE ALEX COUTET,3,2,
" 43.60530201675867,1.4295765119200952","{""coordinates"": [[[[1.429673640096452, 43.60528152583671], [1.429644435650641, 43.60524366121913], [1.42947500316493, 43.605328169261114], [1.429505658754015, 43.605358743708905], [1.429673640096452, 43.60528152583671]]]], ""type"": ""MultiPolygon""}",BAZACLE 2 IMPASSE DU RAMIER DES CATALANS - AP 2 jeux,BAZACLE 2,IMPASSE DU RAMIER DES CATALANS - AP,2,8,
" 43.62400152158274,1.4372445333565862","{""coordinates"": [[[[1.437188534757311, 43.62395002297152], [1.437185891146745, 43.624053243598205], [1.437296600675002, 43.62405291236502], [1.437307969561634, 43.623952546353976], [1.437188534757311, 43.62395002297152]]]], ""type"": ""MultiPolygon""}",BORDEAUX RUE DE BORDEAUX 5 jeux,BORDEAUX,RUE DE BORDEAUX,5,9,NON
" 43.62407975887659,1.4309739808489899","{""coordinates"": [[[[1.431067768531497, 43.62403801797797], [1.430935295154631, 43.624004235248485], [1.430879431180923, 43.624122271674466], [1.43101446653706, 43.62415426175757], [1.431067768531497, 43.62403801797797]]]], ""type"": ""MultiPolygon""}",BOURBAKI RUE DU GENERAL HOCHE 3 jeux,BOURBAKI,RUE DU GENERAL HOCHE,3,10,NON
" 43.62912434523122,1.4362149493310246","{""coordinates"": [[[[1.436319015241293, 43.62916453890914], [1.436246451411679, 43.62906348831909], [1.436113211916968, 43.62909049382886], [1.436174601525847, 43.62917926732065], [1.436319015241293, 43.62916453890914]]]], ""type"": ""MultiPolygon""}",LA SALADE 2  4 jeux,LA SALADE 2,,4,257,NON
" 43.561270969808454,1.3977008092329142","{""coordinates"": [[[[1.39755829408814, 43.56122498317585], [1.397682293446433, 43.561383879343744], [1.397841120160463, 43.56131754580107], [1.397723394759852, 43.56115873683245], [1.39755829408814, 43.56122498317585]]]], ""type"": ""MultiPolygon""}",TINTORET CHEMIN LE TINTORET 5 jeux,TINTORET,CHEMIN LE TINTORET,5,48,
" 43.56892023990629,1.4033342995166929","{""coordinates"": [[[[1.403306600809943, 43.56899535079206], [1.403402518035509, 43.56898021979672], [1.40345922553631, 43.56892617801709], [1.403418041573604, 43.568867119328964], [1.403347074270135, 43.56884146254791], [1.403232996694859, 43.56887827268225], [1.403216011067031, 43.568951147562494], [1.403306600809943, 43.56899535079206]]]], ""type"": ""MultiPolygon""}",CAMBERT CHEMINEMENT ROBERT CAMBERT 5 jeux,CAMBERT,CHEMINEMENT ROBERT CAMBERT,5,52,NON
" 43.5782700971574,1.386174603422426","{""coordinates"": [[[[1.386142882064201, 43.57820947167054], [1.386087890755758, 43.57829277836239], [1.386208829499994, 43.57833010867686], [1.386260033310869, 43.57824766729177], [1.386142882064201, 43.57820947167054]]]], ""type"": ""MultiPolygon""}",CEDRES 2 31 Chemin des Pradettes 4 jeux,CEDRES 2,31 Chemin des Pradettes,4,53,
" 43.59784374466934,1.424509213089071","{""coordinates"": [[[[1.424475817517437, 43.59779522700141], [1.424450742564516, 43.59788991461677], [1.424508368753025, 43.597898019094856], [1.424523426314207, 43.59785070063131], [1.42458494718644, 43.59785428493646], [1.424590799718685, 43.59782237915235], [1.424533031920098, 43.59781976425318], [1.42453724427131, 43.59780245602529], [1.424475817517437, 43.59779522700141]]]], ""type"": ""MultiPolygon""}",COLL 47 RUE ADOLPHE COLL 3 jeux,COLL,47 RUE ADOLPHE COLL,3,55,NON
" 43.561201746037696,1.3788754584057052","{""coordinates"": [[[[1.378765739307809, 43.56111261497585], [1.378841187927357, 43.5613152875328], [1.378960706247447, 43.561290425177305], [1.378955705988933, 43.561151831732964], [1.378931457070632, 43.561118595859135], [1.378889041296973, 43.561107035395274], [1.378765739307809, 43.56111261497585]]]], ""type"": ""MultiPolygon""}","CTRE ANIMATION ST-SIMON 10, CHE DE LIFFARD, TOULOUSE 5 jeux",CTRE ANIMATION ST-SIMON,"10, CHE DE LIFFARD, TOULOUSE",5,56,
" 43.58834327252906,1.3852245993867518","{""coordinates"": [[[[1.385248886197649, 43.58839902265187], [1.385301504518856, 43.58834214175885], [1.385191345156981, 43.58828753264611], [1.38515228363924, 43.58834460293276], [1.385248886197649, 43.58839902265187]]]], ""type"": ""MultiPolygon""}",ALEMBERT RUE JEAN D ALEMBERT 3 jeux,ALEMBERT,RUE JEAN D ALEMBERT,3,44,GRILLAGE RIGIDE
" 43.56328009455477,1.393853084152222","{""coordinates"": [[[[1.393788548699028, 43.56322599704339], [1.39378696410859, 43.56333380791641], [1.393920150229212, 43.5633347415235], [1.393915519700064, 43.56322410745356], [1.393788548699028, 43.56322599704339]]]], ""type"": ""MultiPolygon""}",LA TOURASSE  6 jeux,LA TOURASSE,,6,70,
" 43.57413201392225,1.4183605730079145","{""coordinates"": [[[[1.418256731842052, 43.5741164511932], [1.418321195610511, 43.57419958052886], [1.418462077144513, 43.57414667491197], [1.418405103832046, 43.57406548470403], [1.418256731842052, 43.5741164511932]]]], ""type"": ""MultiPolygon""}",MERLETTES ALL DE GUYENNE 5 jeux,MERLETTES,ALL DE GUYENNE,5,73,
" 43.56703934090698,1.3710136004163431","{""coordinates"": [[[[1.37097377148427, 43.56711714719159], [1.371105309351567, 43.5670325769057], [1.371038684722056, 43.56696628746012], [1.370932114808239, 43.56703710267295], [1.370932114808239, 43.56703710267295], [1.37097377148427, 43.56711714719159]]]], ""type"": ""MultiPolygon""}",GUILHERMY 20 CHEMIN DE GUILHERMY 2 jeux,GUILHERMY,20 CHEMIN DE GUILHERMY,2,261,NON
" 43.58133449012826,1.39945377957379","{""coordinates"": [[[[1.399309951994415, 43.58132144107439], [1.399379931782245, 43.58143297933155], [1.399508233278175, 43.58138175874994], [1.399508233278175, 43.58138175874994], [1.399603239040346, 43.58134784783056], [1.399519579230261, 43.58123661536422], [1.399309951994415, 43.58132144107439]]]], ""type"": ""MultiPolygon""}",VERGERS 14 CHEMIN DU MIRAIL 7 jeux,VERGERS,14 CHEMIN DU MIRAIL,7,87,
" 43.59436886588917,1.4081055831966853","{""coordinates"": [[[[1.407950046238113, 43.59432381676843], [1.40796627121237, 43.594424561658464], [1.408254906127416, 43.594414349382305], [1.408252314111926, 43.59431423342068], [1.407950046238113, 43.59432381676843]]]], ""type"": ""MultiPolygon""}",BERGOUGNAN RUE ELLA MAILLART 5 jeux,BERGOUGNAN,RUE ELLA MAILLART,5,83,
" 43.58181150622508,1.4425532348800576","{""coordinates"": [[[[1.442496718152113, 43.581771813722796], [1.442549605115718, 43.58186665591547], [1.442606889541325, 43.58183909738571], [1.442564733269186, 43.5817663387592], [1.442496718152113, 43.581771813722796]]]], ""type"": ""MultiPolygon""}",DASTE BAT 17 AVENUE JEAN MOULIN 4 jeux,DASTE BAT 17,AVENUE JEAN MOULIN,4,94,
" 43.594837087461364,1.441959094243382","{""coordinates"": [[[[1.442041213024854, 43.59479662575182], [1.441891835648174, 43.59478729310654], [1.441874492758017, 43.59487569676632], [1.442027577096776, 43.59488781612561], [1.442041213024854, 43.59479662575182]]]], ""type"": ""MultiPolygon""}",PORT-GARAUD PAS DE COMMINGES 4 jeux,PORT-GARAUD,PAS DE COMMINGES,4,111,
" 43.58698991974586,1.4820122353448175","{""coordinates"": [[[[1.482071044475819, 43.587007731768665], [1.482071044475819, 43.587007731768665], [1.482032952347404, 43.586945826519894], [1.482032952347404, 43.586945826519894], [1.481953529430415, 43.586973212578464], [1.481953529430415, 43.586973212578464], [1.481990628502122, 43.58703321431963], [1.481990628502122, 43.58703321431963], [1.482071044475819, 43.587007731768665]]]], ""type"": ""MultiPolygon""}",MONT  AIGOUAL 2 RUE DU MONT AIGOUAL 4 jeux,MONT  AIGOUAL,2 RUE DU MONT AIGOUAL,4,105,NON
" 43.581163497698405,1.4920151793452179","{""coordinates"": [[[[1.49196455291894, 43.58112674665387], [1.491962770942567, 43.58119890407108], [1.492065805832697, 43.581200248729516], [1.492067587687371, 43.581128091310724], [1.49196455291894, 43.58112674665387]]]], ""type"": ""MultiPolygon""}",SARABELLE IMPASSE PIERRE MAURAND 3 jeux,SARABELLE,IMPASSE PIERRE MAURAND,3,117,NON
" 43.579643638526974,1.4590878906745348","{""coordinates"": [[[[1.459012650509425, 43.579643851502375], [1.459080438732796, 43.57969775265721], [1.45916223677437, 43.57964400987823], [1.459096996815103, 43.579589233511534], [1.459012650509425, 43.579643851502375]]]], ""type"": ""MultiPolygon""}",SAOUZELONG RUE VIRGILE 4 jeux,SAOUZELONG,RUE VIRGILE,4,129,
" 43.64203728254111,1.4453667163281179","{""coordinates"": [[[[1.445382616799771, 43.642069564248516], [1.445415232527758, 43.64212299869228], [1.445468615888552, 43.64200309539567], [1.445235864667704, 43.642001794497794], [1.445264980101114, 43.642044217231074], [1.445382616799771, 43.642069564248516]]]], ""type"": ""MultiPolygon""}",JARDIN  BLEU 8 Rue Olympe de Gouge 2 jeux,JARDIN  BLEU,8 Rue Olympe de Gouge,2,141,NON
" 43.63472096064965,1.4511865241864381","{""coordinates"": [[[[1.45122649159328, 43.63486777401586], [1.451254102857448, 43.63462232875739], [1.451107709464837, 43.63464047925104], [1.451127180143476, 43.634765015864225], [1.45122649159328, 43.63486777401586]]]], ""type"": ""MultiPolygon""}",JARDIN DES TONNELLES CHEMIN DE LANUSSE 3 jeux,JARDIN DES TONNELLES,CHEMIN DE LANUSSE,3,142,NON
" 43.56317328699118,1.4047841364717348","{""coordinates"": [[[[1.404689887308942, 43.56314221535138], [1.40472635220947, 43.563237758954656], [1.404875446835991, 43.563206913544], [1.4048441016446, 43.563107785650615], [1.404689887308942, 43.56314221535138]]]], ""type"": ""MultiPolygon""}",LES  MURIERS ALLEES DE BELLEFONTAINE 5 jeux,LES  MURIERS,ALLEES DE BELLEFONTAINE,5,146,
" 43.61461987735042,1.4069093259258294","{""coordinates"": [[[[1.406800481245915, 43.614573599628706], [1.406798144208778, 43.614663123196706], [1.407018170767656, 43.61466615505243], [1.407020507482195, 43.61457663148009], [1.406800481245915, 43.614573599628706]]]], ""type"": ""MultiPolygon""}",SOLEIL D OR 2 Rue Auguste Laffont 5 jeux,SOLEIL D OR 2,Rue Auguste Laffont,5,155,
" 43.58592035106868,1.4491301651583033","{""coordinates"": [[[[1.449127465109359, 43.58588634324545], [1.44909458217223, 43.58594346325844], [1.449132014187358, 43.58595493954876], [1.449166171056363, 43.58589690937545], [1.449127465109359, 43.58588634324545]]]], ""type"": ""MultiPolygon""}",ROBESPIERRE 10 RUE SAINT DENIS 1 jeux,ROBESPIERRE,10 RUE SAINT DENIS,1,158,
" 43.61483698447131,1.422542951100724","{""coordinates"": [[[[1.422473799455655, 43.61478761275943], [1.4224712967473, 43.61488443497326], [1.42261210285811, 43.6148863561591], [1.422614605343184, 43.61478953394228], [1.422473799455655, 43.61478761275943]]]], ""type"": ""MultiPolygon""}",PONTS JUMEAUX 2 50 rue Dayde 6 jeux,PONTS JUMEAUX 2,50 rue Dayde,6,167,NON
" 43.561621047594144,1.414367786297009","{""coordinates"": [[[[1.41433371480734, 43.56168493470206], [1.414271100823267, 43.56157990672328], [1.414393860988078, 43.56154595083719], [1.414464622305428, 43.56167668481165], [1.41433371480734, 43.56168493470206]]]], ""type"": ""MultiPolygon""}",GIRONIS  3 RUE DE GIRONIS 4 jeux,GIRONIS  3,RUE DE GIRONIS,4,194,GRILLAGE RIGIDE
