Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.609103996416295,1.4180870021215695","{""coordinates"": [[1.418087002121569, 43.609103996416295]], ""type"": ""MultiPoint""}",PISCINE CHAPOU,,31000,Toulouse Centre,1.2,,2,GRAND BASSIN 25M/PETIT BASSIN,Equipement isolé,AVENUE OCTAVE LERY,,oui,oui,,
"43.56420200536064,1.398965004173781","{""coordinates"": [[1.398965004173781, 43.56420200536064]], ""type"": ""MultiPoint""}",PISCINE ALBAN MINVILLE,,31100,Toulouse Ouest,6.3,,2,1 GRAND ET 1 PETIT BASSIN,COMPLEXE SPORTIF ALBAN MINVILLE,PL MARTIN LUTHER KING,,oui,oui,,
"43.57461700155001,1.417940002651081","{""coordinates"": [[1.417940002651081, 43.57461700155001]], ""type"": ""MultiPoint""}",PISCINE PAPUS,Complexe sportif Papus-Merlettes,31100,Toulouse Rive Gauche,2.3,,1,,COMPLEXE SPORTIF PAPUS,ALLEES DE GUYENNE,,oui,oui,,
"43.586106001089725,1.4343339981299943","{""coordinates"": [[1.434333998129994, 43.586106001089725]], ""type"": ""MultiPoint""}",PISCINE SPORTIVE CASTEX,,31400,Toulouse Sud Est,5.3,,1,PISCINE HIVER EXTERIEUR,PARC MUNICIPAL DES SPORTS,ALLEES GABRIEL BIENES,,oui,oui,,
"43.56778868130392,1.4534013707503433","{""coordinates"": [[1.453401370750343, 43.56778868130392]], ""type"": ""MultiPoint""}",PISCINE BELLEVUE,,31400,Toulouse Sud Est,5.2,non,4,BASSIN INT / EXT 25M + APPRENT INT / EXT,COMPLEXE SPORTIF BELLEVUE,CHEMIN DE LA SALADE PONSAN,,oui,oui,HIVER / ETE,
"43.60736499775689,1.4547289973837982","{""coordinates"": [[1.454728997383798, 43.60736499775689]], ""type"": ""MultiPoint""}",PISCINE BÂTIMENT B LEO LAGRANGE,,31000,Toulouse Centre,1.3,,2,GRAND BASSIN 50M / PETIT BASSIN 21M,COMPLEXE SPORTIF LEO LAGRANGE,Rue des Sept Troubadours,TOULOUSE,oui,oui,,
"43.58578699485362,1.4354309958527736","{""coordinates"": [[1.435430995852774, 43.58578699485362]], ""type"": ""MultiPoint""}",PISCINE D'ETE ALFRED NAKACHE,,31400,Toulouse Sud Est,5.3,,1,PISCINE EXTERIEUR,PARC MUNICIPAL DES SPORTS,ALLEES GABRIEL BIENES,,oui,,,
"43.616163995574524,1.407376002156055","{""coordinates"": [[1.407376002156055, 43.616163995574524]], ""type"": ""MultiPoint""}",PISCINE JEAN BOITEUX,,31200,Toulouse Nord,3.2,,1,,Equipement isolé,ROUTE DE BLAGNAC,TOULOUSE,oui,oui,,
"43.62368900377917,1.4783094772783365","{""coordinates"": [[1.478309477278337, 43.62368900377917]], ""type"": ""MultiPoint""}",PISCINE  ALEX JANY,COMPLEXE SPORTIF ALEX JANY,31500,Toulouse Est,4.2,non,2,GRAND BASSIN 25 M / PETIT BASSIN LUDIQUE,BASE DE SPORTS ET DE LOISIRS DES ARGOULETS,RUE VERDON,TOULOUSE,oui,oui,,PIS001
"43.56526899522294,1.445323997441353","{""coordinates"": [[1.445323997441353, 43.56526899522294]], ""type"": ""MultiPoint""}",PISCINE DE PECH DAVID,COMPLEXE BARRAN,31400,Toulouse Sud Est,5.2,non,1,,BASE DE SPORTS ET DE LOISIRS DE PECH DAVID,CHEMIN DES CÔTES DE PECH DAVID,,oui,,,
"43.62721199900498,1.4402759984009652","{""coordinates"": [[1.440275998400965, 43.62721199900498]], ""type"": ""MultiPoint""}",PISCINE TOULOUSE LAUTREC,,31200,Toulouse Nord,3.1,non,1,,COMPLEXE SPORTIF TOULOUSE LAUTREC,IMPASSE BARTHE,,oui,oui,,
"43.58523899902801,1.4351809998582263","{""coordinates"": [[1.435180999858226, 43.58523899902801]], ""type"": ""MultiPoint""}",PISCINE D'HIVER ALFRED NAKACHE,,31400,Toulouse Sud Est,5.3,,1,,PARC MUNICIPAL DES SPORTS,ALLEES GABRIEL BIENES,,oui,oui,,
