Geo Point,Geo Shape,lieu_de_vote,adresse,bureaux,detail_emplacement
"43.60706553451973,1.442184971823014","{""coordinates"": [1.442184971823014, 43.60706553451973], ""type"": ""Point""}",École maternelle Sermet,71 rue du Taur,5 à 7,Une série de panneaux face à l'entrée du N°71
"43.60301187767421,1.4507024892695815","{""coordinates"": [1.450702489269581, 43.60301187767421], ""type"": ""Point""}",École élementaire A. Fourtanier,51 rue du rempart Saint Étienne,31 à 34,Une série de panneaux à côté de l'entrée de l'école
"43.589058260653154,1.4513485308573852","{""coordinates"": [1.451348530857385, 43.589058260653154], ""type"": ""Point""}",École élementaire Jean Jaurès,21 avenue Frizac,48 à 53,Une série de panneaux sur la façade de l'école et les grilles
"43.589230812410364,1.4458626184062555","{""coordinates"": [1.445862618406256, 43.589230812410364], ""type"": ""Point""}",École élementaire Pierre Dupont,101 Grande rue Saint Michel,54 à 57,Une série de panneaux devant l’école
"43.54513611463791,1.4528502436396162","{""coordinates"": [1.452850243639616, 43.54513611463791], ""type"": ""Point""}",École élementaire le Pastel,2 chemin d’Escalles,82 à 83A,Une série de panneaux devant l'école
"43.57608969095301,1.4173042624493042","{""coordinates"": [1.417304262449304, 43.57608969095301], ""type"": ""Point""}",École élementaire Maurice Jacquier,7 rue du Poitou,86 à 89,Une série de panneaux au croisement de l'allée de l'Ile de France et de la rue du Poitou (devant poste de refoulement)
"43.595461978641644,1.424412191105687","{""coordinates"": [1.424412191105687, 43.595461978641644], ""type"": ""Point""}",Ecole élementaire Patte d’Oie,44 rue du Tchad,117 à 123,"Une série de panneaux, en continu, sur trottoirs"
"43.60085515721165,1.416341858556345","{""coordinates"": [1.416341858556345, 43.60085515721165], ""type"": ""Point""}",Ecole élementaire Fontaine Bayonne,14 rue Dufaur de Pibrac,129 à 130,"Une série de panneaux, rue Albus, à l'angle de la rue Dufaur de Pibrac"
"43.59760921239334,1.4348881708846115","{""coordinates"": [1.434888170884612, 43.59760921239334], ""type"": ""Point""}",Ecole élementaire Lespinasse,3 rue du Chairedon,141 à 143,Une série de panneaux devant l’école
"43.62017074167116,1.4345262225899005","{""coordinates"": [1.4345262225899, 43.62017074167116], ""type"": ""Point""}",Maison de la citoyenneté Nord,Rue du Général Bourbaki,157 à 160,sur le trottoir devant le collège rue du Général Bourbaki
"43.64840410808597,1.432751788253425","{""coordinates"": [1.432751788253425, 43.64840410808597], ""type"": ""Point""}",École maternelle Lalande,239 avenue de Fronton,183 à 186,Une série de panneaux sur trottoirs
"43.6490966334757,1.4490549862633537","{""coordinates"": [1.449054986263354, 43.6490966334757], ""type"": ""Point""}",Maison de quartier du Grand Selve,Au croisement de la rue Flora Tristan e,"188, 188A",Une série de panneaux sur trottoirs
"43.63666767278651,1.441595618145902","{""coordinates"": [1.441595618145902, 43.63666767278651], ""type"": ""Point""}",École élementaire Ernest Renan,7 chemin d’Audibert,189 à 192A,Une série de panneaux devant la résidence de l'école
"43.596580137499025,1.464347193373566","{""coordinates"": [1.464347193373566, 43.596580137499025], ""type"": ""Point""}",École élementaire Armand Leygue,9 Chemin du Coin de la Moure,222 à 228,Une série de panneaux sur barrières
"43.600659246834596,1.4852174802807123","{""coordinates"": [1.485217480280712, 43.600659246834596], ""type"": ""Point""}",École élementaire Château de l’Hers,8 rue Claudius Rougenet,235 à 238,Une série de panneaux devant l’école
"43.60491942496171,1.4439231132322152","{""coordinates"": [1.443923113232215, 43.60491942496171], ""type"": ""Point""}",Capitole - Salle des commissions,Place du Capitole,1 à 2,"Une série de panneaux, rue Lafayette"
"43.60322260480393,1.4557488339272842","{""coordinates"": [1.455748833927284, 43.60322260480393], ""type"": ""Point""}",École élementaire Michelet,5 boulevard Michelet,35 à 39,Une série de panneaux sur les trottoirs devant l'école
"43.59802426860267,1.4549189731702206","{""coordinates"": [1.454918973170221, 43.59802426860267], ""type"": ""Point""}",École élementaire Calvinhac,8 bis rue Jacques Labatut,40 à 41,Une série de panneaux devant l'école
"43.602880140082334,1.466887415787181","{""coordinates"": [1.466887415787181, 43.602880140082334], ""type"": ""Point""}",Groupe scolaire Bonhoure,20 bis place Marius Pinel,42 à 47,"Une série de panneaux, rue Galilée"
"43.59569644604785,1.4436292015869445","{""coordinates"": [1.443629201586945, 43.59569644604785], ""type"": ""Point""}",École élementaire Fabre,Rue Pierre Brunière,58 à 63,Une série de panneaux sur la façade de l'école
"43.58830423717761,1.4211799953068842","{""coordinates"": [1.421179995306884, 43.58830423717761], ""type"": ""Point""}",Ecole élementaire Etienne Billières,56 rue Jacques Gamelin,124 à 128,Une série de panneaux devant l’école
"43.58127745346048,1.3916196713834392","{""coordinates"": [1.391619671383439, 43.58127745346048], ""type"": ""Point""}",Groupe scolaire Viollet Le Duc,23 rue Viollet Le Duc,134 à 136,Une série de panneaux devant l’école primaire
"43.593983894912746,1.3987106707848704","{""coordinates"": [1.39871067078487, 43.593983894912746], ""type"": ""Point""}",Foyer du 3ème âge,Rue Louison Bobet,137,"Une série de panneaux, rue Louison Bobet"
"43.60819108603405,1.377682091971431","{""coordinates"": [1.377682091971431, 43.60819108603405], ""type"": ""Point""}",Groupe scolaire Littré,2 place Bertier,144 à 146,Une série de panneaux devant l’école primaire
"43.60931111356467,1.421374483310488","{""coordinates"": [1.421374483310488, 43.60931111356467], ""type"": ""Point""}",École élementaire des Amidonniers,123 allée de Brienne,154 à 156,Une série de panneaux devant l’école
"43.6073170149893,1.4302151018266593","{""coordinates"": [1.430215101826659, 43.6073170149893], ""type"": ""Point""}",École élementaire Falguière,2 rue d’Artagnan,167 à 170,Une série de panneaux devant l'école
"43.633162091332814,1.4327637887000535","{""coordinates"": [1.432763788700053, 43.633162091332814], ""type"": ""Point""}",École élementaire Jules Ferry,109 avenue de Fronton,179 à 182A,"Une série de panneaux sur trottoirs, 3 rue Jules Ferry"
"43.62986236714909,1.4491013232371397","{""coordinates"": [1.44910132323714, 43.62986236714909], ""type"": ""Point""}",École élementaire la Maourine,13 avenue Bourges Maunoury,199 à 201,Une série de panneaux devant l’école
"43.60205551522711,1.4389710562482","{""coordinates"": [1.4389710562482, 43.60205551522711], ""type"": ""Point""}",École élementaire Lakanal,17 place de la Daurade,3 à 4,Une série de panneaux face au portail de l'école
"43.615008167297354,1.4558627172643537","{""coordinates"": [1.455862717264354, 43.615008167297354], ""type"": ""Point""}",Espace Bonnefoy Périole,25 rue de Périole,24 à 26,Une série de panneaux côté Périole devant les grilles
"43.58018164026619,1.4623288282976887","{""coordinates"": [1.462328828297689, 43.58018164026619], ""type"": ""Point""}",École élementaire Sauzelong,92 avenue Albert Bedouce,64 à 66,Une série de panneaux devant l'école
"43.559874784153216,1.3782727471461913","{""coordinates"": [1.378272747146191, 43.559874784153216], ""type"": ""Point""}",École élementaire Paul Bert,4 chemin Liffard,107 à 112A,Une série de panneaux devant l'école
"43.57947688241592,1.4100412152511173","{""coordinates"": [1.410041215251117, 43.57947688241592], ""type"": ""Point""}",Ecole élementaire Georges Hyon,1 impasse Bachaga Boualam,131 à 133,Une série de panneaux face à l'école
"43.60348462059936,1.4093189308937257","{""coordinates"": [1.409318930893726, 43.60348462059936], ""type"": ""Point""}",École élementaire des Gais Pinsons,270 rue des fontaines,149 à 153,Une série de panneaux devant l’école
"43.618437364592914,1.3983302728956224","{""coordinates"": [1.398330272895622, 43.618437364592914], ""type"": ""Point""}",Groupe scolaire Château Ancely,4 allée du Vivarais,175 à 178,Une série de panneaux sur trottoirs
"43.63674400284994,1.4640098426738783","{""coordinates"": [1.464009842673878, 43.63674400284994], ""type"": ""Point""}",École élementaire Cuvier,135 route d’Albi,193 à 198A,Une série de panneaux devant la façade de l'école
"43.60992569207711,1.4597224930417836","{""coordinates"": [1.459722493041784, 43.60992569207711], ""type"": ""Point""}",École maternelle Reille,4 bis rue Reille,202 à 205,"Une série de panneaux sur les trottoirs, rue Montcabrier"
"43.626624833071624,1.4680646653147615","{""coordinates"": [1.468064665314762, 43.626624833071624], ""type"": ""Point""}",École élementaire Michoun,49 chemin Michoun,206 à 211,Une série de panneaux devant l’école
"43.57473739590029,1.4243792405952214","{""coordinates"": [1.424379240595221, 43.57473739590029], ""type"": ""Point""}",École élementaire Les Oustalous,65 Route d’Espagne,90,Une série de panneaux devant l'école
"43.61246597759501,1.4484714037462287","{""coordinates"": [1.448471403746229, 43.61246597759501], ""type"": ""Point""}",École élementaire Bayard,60 rue Matabiau,13 à 17,"Une série de panneaux, place Roquelaine"
"43.61678927856214,1.4541077888737728","{""coordinates"": [1.454107788873773, 43.61678927856214], ""type"": ""Point""}",École élementaire Bonnefoy,18 rue du faubourg Bonnefoy,20 à 23,Une série de panneaux devant l'école
"43.62134717462406,1.442927472140916","{""coordinates"": [1.442927472140916, 43.62134717462406], ""type"": ""Point""}",École élementaire Pierre et Marie Curie,36 rue de la Jeunesse,27 à 30,Une série de panneaux devant l'école
