Geo Point,Geo Shape,numero,type,accessibilité,ADRESSE,insee
"43.61944207409428,1.4689823726726066","{""coordinates"": [[1.468982372672607, 43.61944207409428]], ""type"": ""MultiPoint""}",928,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,167 Rue Louis Plana Toulouse,31555
"43.57878712623697,1.411839168413012","{""coordinates"": [[1.411839168413012, 43.57878712623697]], ""type"": ""MultiPoint""}",897,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,53 Rue Paul Lambert Toulouse,31555
"43.59761540733802,1.4307705306364522","{""coordinates"": [[1.430770530636452, 43.59761540733802]], ""type"": ""MultiPoint""}",946,Sanitaire standard,Non accessible aux personnes à mobilité réduite,18 Place Roguet Toulouse,31555
"43.60872524726654,1.450441564465837","{""coordinates"": [[1.450441564465837, 43.60872524726654]], ""type"": ""MultiPoint""}",2789,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,3 Place de Belfort Toulouse,31555
"43.58477082308085,1.4282793492782524","{""coordinates"": [[1.428279349278252, 43.58477082308085]], ""type"": ""MultiPoint""}",6029,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,1 Place de la Croix de Pierre Toulouse,31555
"43.60901028633841,1.4533192825664987","{""coordinates"": [[1.453319282566499, 43.60901028633841]], ""type"": ""MultiPoint""}",7353,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,0075 Allées Jean Jaurès Toulouse,31555
"43.60976340377647,1.4448711187997714","{""coordinates"": [[1.444871118799771, 43.60976340377647]], ""type"": ""MultiPoint""}",9369,Vespasienne,Non accessible aux personnes à mobilité réduite,0002 Rue Joseph Bosc Toulouse,31555
"43.62028337807875,1.4352890107665424","{""coordinates"": [[1.435289010766542, 43.62028337807875]], ""type"": ""MultiPoint""}",6832,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,1 Place du Marché Aux Cochons Toulouse,31555
"43.640670853707704,1.4525052630425188","{""coordinates"": [[1.452505263042519, 43.640670853707704]], ""type"": ""MultiPoint""}",867,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,0037 Boulevard André Netwiller Toulouse,31555
"43.61860983392685,1.456540732287726","{""coordinates"": [[1.456540732287726, 43.61860983392685]], ""type"": ""MultiPoint""}",988,Sanitaire standard,Non accessible aux personnes à mobilité réduite,Place Jean Bories Toulouse,31555
"43.597910404904695,1.4452630319352093","{""coordinates"": [[1.445263031935209, 43.597910404904695]], ""type"": ""MultiPoint""}",1050,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,2B Place des Carmes Toulouse,31555
"43.60829403103936,1.4371561380989228","{""coordinates"": [[1.437156138098923, 43.60829403103936]], ""type"": ""MultiPoint""}",895,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,22 Rue des Puits Creusés Toulouse,31555
"43.60532395605474,1.4488671649196463","{""coordinates"": [[1.448867164919646, 43.60532395605474]], ""type"": ""MultiPoint""}",5992,Sanitaire standard,Non accessible aux personnes à mobilité réduite,81 Boulevard Lazare Carnot Toulouse,31555
"43.59902743889622,1.4303685352561604","{""coordinates"": [[1.43036853525616, 43.59902743889622]], ""type"": ""MultiPoint""}",6032,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,65 Rue Reclusane Toulouse,31555
"43.61134549784548,1.4384056290947016","{""coordinates"": [[1.438405629094702, 43.61134549784548]], ""type"": ""MultiPoint""}",2715,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,1 Boulevard Lascrosses Toulouse,31555
"43.60995286373542,1.4330712614560792","{""coordinates"": [[1.433071261456079, 43.60995286373542]], ""type"": ""MultiPoint""}",6046,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,18B Boulevard Lascrosses Toulouse,31555
"43.58563561324804,1.447585790238492","{""coordinates"": [[1.447585790238492, 43.58563561324804]], ""type"": ""MultiPoint""}",6030,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,11 Grande-Rue Saint Michel Toulouse,31555
"43.604220618586524,1.4449714502879283","{""coordinates"": [[1.444971450287928, 43.604220618586524]], ""type"": ""MultiPoint""}",2370,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,1 Square  Général Charles de Gaulle Toulouse,31555
"43.61877055743728,1.3974217506944888","{""coordinates"": [[1.397421750694489, 43.61877055743728]], ""type"": ""MultiPoint""}",1110,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,264 Avenue de Casselardit Toulouse,31555
