Geo Point,Opérateur de Mobilité,Aménageur,id_borne,nom_borne,numero_rue,libelle_voie,commune,code_postal,code_insee,marque_borne,modele_borne,type_chargement,date_mise_en_service,id_prise,puissance_prise,connecteur_disponible_prise,longitude,latitude,geolocalisation,numero_prise
"43.6696869969476,1.4297020005197654",Révéo,Toulouse Metropole,STATION-FR-M31-P31022-001,AUCAMVILLE - Des Ecoles,,Des Ecoles,Aucamville,31140,31022,CAHORS,City 2,normal,,FR*M31*E31022*001*1,22,"EF,T2,T3",1.429702,43.669687,"43.669687,1.429702",1
"43.68282899936582,1.3180469987398362",Révéo,Toulouse Metropole,STATION-FR-M31-P31032-001,AUSSONNE - Place De La Mairie,,Place De La Mairie,Aussonne,31840,31032,CAHORS,City 2,normal,,FR*M31*E31032*001*2,22,"EF,T2,T3",1.318047,43.682829,"43.682829,1.318047",2
"43.65568299954471,1.3713049972692526",Révéo,Toulouse Metropole,STATION-FR-M31-P31069-001,BLAGNAC - Av. D'Andromède,24,Av. D'Andromède,Blagnac,31700,31069,CAHORS,City 2,normal,,FR*M31*E31069*001*2,22,"EF,T2,T3",1.371305,43.655683,"43.655683,1.371305",2
"43.61635199620393,1.2427474799524856",Révéo,Toulouse Metropole,STATION-FR-M31-P31088-001,BRAX - Place Du Vidalet,,Place Du Vidalet,Brax,31490,31088,CAHORS,City 2,normal,,FR*M31*E31088*001*1,22,"EF,T2,T3",1.242748,43.616334,"43.616334,1.242748",1
"43.72741799715122,1.4113309962038336",Révéo,Toulouse Metropole,STATION-FR-M31-P31091-001,BRUGUIERES - Place De La Republique,,Place De La Republique,Bruguières,31150,31091,CAHORS,City 2,normal,,FR*M31*E31091*001*2,22,"EF,T2,T3",1.411331,43.727418,"43.727418,1.411331",2
"43.69338800032392,1.4279005354887169",Révéo,Toulouse Metropole,STATION-FR-M31-P31116-001,CASTELGINEST - Rue De L'Eglise,,Rue De L'Eglise,Castelginest,31780,31116,CAHORS,City 2,normal,,FR*M31*E31116*001*2,22,"EF,T2,T3",1.427901,43.69337,"43.69337,1.427901",2
"43.71176799466628,1.3934305347413414",Révéo,Toulouse Metropole,STATION-FR-M31-P31293-001,LESPINASSE - Route De L'Hers,,Route De L'Hers,Lespinasse,31150,31293,CAHORS,City 2,normal,,FR*M31*E31293*001*2,22,"EF,T2,T3",1.393431,43.71175,"43.71175,1.393431",2
"43.58510499816417,1.5308009918333605",Révéo,Toulouse Metropole,STATION-FR-M31-P31445-001,QUINT-FONSEGRIVES - Route De Castres,,Route De Castres,Quint-Fonsegrives,31130,31445,CAHORS,City 2,normal,,FR*M31*E31445*001*2,22,"EF,T2,T3",1.530801,43.585105,"43.585105,1.530801",2
"43.66584099528537,1.5042579996724952",Révéo,Toulouse Metropole,STATION-FR-M31-P31488-001,ST JEAN - Rue Des Roses,,Rue Des Roses,Saint-Jean,31240,31488,CAHORS,City 2,normal,,FR*M31*E31488*001*2,22,"EF,T2,T3",1.504258,43.665841,"43.665841,1.504258",2
"43.742647997013975,1.3703279964423105",Révéo,Toulouse Metropole,STATION-FR-M31-P31490-001,ST JORY - Place De La République,,Place De La République,Saint-Jory,31790,31490,CAHORS,City 2,normal,,FR*M31*E31490*001*2,22,"EF,T2,T3",1.370328,43.742648,"43.742648,1.370328",2
"43.55035699989617,1.5377379975279577",Révéo,Toulouse Metropole,STATION-FR-M31-P31506-001,SAINT ORENS - Rue Des Muriers,4,Rue Des Muriers,Saint-Orens-de-Gameville,31650,31506,CAHORS,City 2,normal,,FR*M31*E31506*001*1,22,"EF,T2,T3",1.537738,43.550357,"43.550357,1.537738",1
"43.695965003623584,1.3483020015121676",Révéo,Toulouse Metropole,STATION-FR-M31-P31541-001,SEILH - Allée De L'Europe,,Allée De L'Europe,Seilh,31840,31541,CAHORS,City 2,normal,,FR*M31*E31541*001*1,22,"EF,T2,T3",1.348302,43.695965,"43.695965,1.348302",1
"43.69598300113699,1.348301513762067",Révéo,Toulouse Metropole,STATION-FR-M31-P31541-001,SEILH - Allée De L'Europe,,Allée De L'Europe,Seilh,31840,31541,CAHORS,City 2,normal,,FR*M31*E31541*001*2,22,"EF,T2,T3",1.348302,43.695965,"43.695965,1.348302",2
"43.61009492757311,1.456455155330225",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-001,TOULOUSE - Marengo,2,Boulevard De Marengo,Toulouse,31500,31555,CAHORS,City 2,normal,,FR*M31*E31555*001*5,4,EF,1.456444,43.610111,"43.610111,1.456444",5
"43.61012899924487,1.456443539594451",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-001,TOULOUSE - Marengo,2,Boulevard De Marengo,Toulouse,31500,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*001*8,4,EF,1.456444,43.610111,"43.610111,1.456444",8
"43.56440675362744,1.4896748302399903",Révéo,Toulouse Metropole,STATION-FR-M31-E31555-007,TOULOUSE - Caroline Aigle,,Caroline Aigle,Toulouse,31400,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*007*3,36,COMBO,1.489650607,43.56441044,"43.5644104437,1.4896506071",3
"43.564394366419066,1.4896617536120795",Révéo,Toulouse Metropole,STATION-FR-M31-E31555-007,TOULOUSE - Caroline Aigle,,Caroline Aigle,Toulouse,31400,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*007*4,4,EF,1.489650607,43.56441044,"43.5644104437,1.4896506071",4
"43.60686329371443,1.4509746866597022",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-010,TOULOUSE  - Jean Jaures,50,Jean Jaures,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*010*2,22,"EF,T2,T3",1.450953,43.606872,"43.606872,1.450953",2
"43.58222000119463,1.4142789962111622",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-012,TOULOUSE - Rue Henri Desbals,,Rue Henri Desbals,Toulouse,31100,31555,CAHORS,City 2,normal,,FR*M31*E31555*012*2,22,"EF,T2,T3",1.414279,43.58222,"43.58222,1.414279",2
"43.595480999578676,1.4223320008572446",Révéo,Toulouse Metropole,FR*M31*P31555*014,TOULOUSE - Allée Maurice Sarrault,16,Allée Maurice Sarrault,Toulouse,31300,31555,CAHORS,City 2,normal,,FR*M31*E31555*014*2,22,"EF,T2,T3",1.422332,43.595481,"43.595481,1.422332",2
"43.636277001389374,1.462189998427009",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-016,TOULOUSE - Rue Serge Gainsbourg,,Rue Serge Gainsbourg,Toulouse,31200,31555,CAHORS,City 2,normal,,FR*M31*E31555*016*1,22,"EF,T2,T3",1.46219,43.636277,"43.636277,1.46219",1
