Geo Point,Geo Shape,id,type,nom,plage_horaire,tarifs
"43.61201718737887,1.339440024128155","{""coordinates"": [[[[1.339606602712528, 43.611947568605316], [1.339648875025035, 43.611862966708735], [1.339416000457253, 43.61180153753052], [1.339273445552281, 43.612086805788834], [1.339231172564406, 43.61217140754134], [1.339464048357286, 43.61223283708358], [1.339606602712528, 43.611947568605316]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,RUE GILET - NORD,"Du lundi au samedi : 8h-19h, durée maximale : 1h",Gratuit
"43.6108318465837,1.3395930208977072","{""coordinates"": [[[[1.339721370453129, 43.6106750964432], [1.339723929907414, 43.61058510778174], [1.339476232612923, 43.61058139710875], [1.339464670734832, 43.61098859606073], [1.339462110881422, 43.61107858470334], [1.33970981019259, 43.61108229540589], [1.339721370453129, 43.6106750964432]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,RUE GILET - NORD,"Du lundi au samedi : 8h-19h, durée maximale : 1h",Gratuit
"43.59999607820365,1.4293961961899708","{""coordinates"": [[[[1.429574851556793, 43.59956352627717], [1.428553749463094, 43.60095545282785], [1.428495477117657, 43.601034871876784], [1.428714071246156, 43.601119558329415], [1.429841184442319, 43.59958314184081], [1.429899441268507, 43.59950372190403], [1.429890966034558, 43.59950043793377], [1.430237940437808, 43.59904123047126], [1.430297557782244, 43.59896233294398], [1.43008044413611, 43.598875688927336], [1.429623594128034, 43.599480295226606], [1.429563975406859, 43.59955919239166], [1.429574851556793, 43.59956352627717]]]], ""type"": ""MultiPolygon""}",4,Zone Ceinture centre-Ville,ALL CHARLES DE FITTE,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"1heure = 0.50€, 2h = 1€, 4h = 2€, de 4 à 5h = majoration tarifaire jusqu'à 30€"
"43.59192999736855,1.434292103630304","{""coordinates"": [[[[1.43311752865213, 43.5907592310691], [1.433644403684975, 43.590625386539806], [1.435286741810296, 43.59263889485998], [1.435297673203348, 43.59264394016675], [1.43487902054431, 43.59305050038646], [1.434879854428807, 43.592995263931705], [1.434345727386825, 43.59299100912415], [1.434212061409113, 43.592857538100226], [1.43416067731167, 43.59272402944114], [1.434206002629212, 43.59254852946974], [1.43436290981304, 43.59241419672841], [1.434451508307413, 43.59237790191915], [1.434433068556887, 43.592354119838625], [1.434457370763513, 43.5923333113946], [1.43437983548571, 43.59228546655061], [1.434200666070014, 43.59205440508711], [1.434204023339188, 43.59205292916615], [1.434140815625043, 43.59197720875783], [1.434080988940419, 43.59190005772735], [1.434077584227831, 43.59190145198022], [1.433766355477288, 43.591528603871616], [1.433766994320067, 43.591528324452334], [1.43370231992381, 43.591451881710285], [1.433638284531255, 43.5913751595114], [1.433637645920369, 43.59137542993069], [1.433151429595148, 43.59080067868847], [1.43311752865213, 43.5907592310691]]]], ""type"": ""MultiPolygon""}",2,Zone Faubourgs,Faubourgs,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"1heure=1€, 2h=2€, 3h=4€, 4h=6€, de 4 à 5h= majoration tarifaire jusqu'à 30€"
"43.61044455433063,1.4648618596047212","{""coordinates"": [[[[1.465233423455909, 43.610449487734485], [1.46522895448566, 43.610402535492895], [1.465213340308831, 43.61035684864575], [1.465187041061352, 43.610313837653976], [1.465150854446163, 43.61027479142581], [1.465105890054605, 43.610240912985944], [1.465053522539129, 43.61021321082783], [1.464995328554867, 43.610192543089205], [1.464933064026933, 43.61017953623106], [1.464868651993805, 43.610174575874815], [1.464804021148483, 43.61017782266393], [1.464741156515362, 43.61018916792542], [1.464681962083579, 43.61020827685715], [1.464628224107106, 43.61023457003494], [1.464581598495713, 43.61026723224651], [1.464543472540115, 43.610305291674294], [1.464515027970823, 43.61034757572023], [1.464497114386639, 43.610392817350636], [1.464490299699347, 43.61043961975618], [1.464494755718745, 43.61048657186117], [1.464510382002741, 43.61053224996845], [1.464536680641133, 43.61057527011001], [1.464572867041582, 43.61061431652618], [1.46461781902693, 43.6106481950043], [1.464670199103288, 43.610675897519876], [1.464728393438273, 43.610696565418515], [1.464790646064538, 43.61070957221999], [1.464855071041317, 43.6107145327832], [1.464919690066747, 43.610711285801735], [1.464982567589848, 43.610699940609756], [1.465041762404314, 43.61068083152752], [1.465095488210088, 43.610654537997334], [1.465142126227776, 43.61062187574754], [1.465180252007847, 43.610583816126656], [1.465208696452716, 43.61054152292139], [1.465226596941435, 43.61049629001804], [1.465233423455909, 43.610449487734485]]]], ""type"": ""MultiPolygon""}",3,Faubourgs commerçants,OBSERVATOIRE,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"une 1/2 heure gratuite par demi-journée, 1heure = 1€, 2h = 2€, de 2h à 3h = majoration tarifaire jusqu'à 30€"
"43.67185065324987,1.4491534287352468","{""coordinates"": [[[[1.44952536556132, 43.6718556335682], [1.449520904185488, 43.67180868178932], [1.449505285825256, 43.67176300286089], [1.449478971403143, 43.67171998027713], [1.449442758406831, 43.67168093002232], [1.449397757463967, 43.6716470462455], [1.449345344122609, 43.67161934660297], [1.449287096862218, 43.67159867142903], [1.449224773214724, 43.6715856474089], [1.449160297597954, 43.67158067841461], [1.449095600834522, 43.67158391634891], [1.449032669746754, 43.67159526181012], [1.448973410785095, 43.67161436226422], [1.448919612151492, 43.67164063854295], [1.448872931175309, 43.67167329367568], [1.448834757023491, 43.67171134705646], [1.448806272689646, 43.67175363527342], [1.448788329641344, 43.67179886444013], [1.448781496035244, 43.67184566485336], [1.448785944217678, 43.67189262549292], [1.448801574470089, 43.67193830468236], [1.448827888737431, 43.67198131841753], [1.448864101518373, 43.67202036886027], [1.448909089813412, 43.67205426167263], [1.448961515728297, 43.67208196167431], [1.449019763339942, 43.67210263700831], [1.449082075074166, 43.672115660970135], [1.449146563877003, 43.672120621174095], [1.449211248580394, 43.67211739204486], [1.449274192571663, 43.672106046654925], [1.449333451916928, 43.67208694605039], [1.449387238368093, 43.67206066941763], [1.449433931992114, 43.67202800524937], [1.449472105968254, 43.671989951675535], [1.449500589721892, 43.67194767229756], [1.449518519887848, 43.67190244285686], [1.44952536556132, 43.6718556335682]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,LAUNAGUET,"Du lundi au Samedi : 9h-19h, durée maximale : 1h30",Gratuit
"43.634075624552345,1.394940220511496","{""coordinates"": [[[[1.395311922481649, 43.63408078261677], [1.395307505585637, 43.634033828093784], [1.395291937720402, 43.633988132213766], [1.395265677583678, 43.63394510570332], [1.395229521710112, 43.63390603794142], [1.395184578741858, 43.633872132613085], [1.395132222707671, 43.633844399034], [1.395074029889416, 43.633823696287756], [1.39501175617379, 43.63381065189152], [1.394947324901495, 43.633805652626336], [1.39488266532771, 43.63380886030051], [1.394819763369433, 43.63382016744258], [1.394760524136148, 43.63383924040474], [1.394706735236918, 43.633865500848366], [1.394660054156379, 43.63389813456987], [1.394621869835622, 43.6339361705994], [1.39459336580608, 43.63397843706399], [1.394575393447192, 43.634023667455196], [1.394568522491114, 43.63407046531962], [1.3945729264311, 43.6341174196982], [1.394588506417669, 43.634163106845726], [1.394614765933906, 43.634206142505555], [1.394650921591685, 43.634245210455276], [1.394695852148154, 43.63427911581435], [1.394748220747063, 43.63430684975848], [1.39480641391556, 43.63432755266495], [1.394868675724779, 43.634340596997276], [1.394933119945567, 43.634345596477274], [1.394997767695418, 43.63434238860357], [1.395060682549117, 43.63433108153883], [1.395119922166091, 43.63431200842638], [1.395173698891059, 43.634285747623], [1.395220392383466, 43.634253113870784], [1.395258576529466, 43.6342150776481], [1.395287080445461, 43.634172802024196], [1.395305039694015, 43.63412758035205], [1.395311922481649, 43.63408078261677]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,BLAGNAC CENTRE,"Du lundi au Samedi ap : 8h-18h, durée maximale : 2h",Gratuit
"43.72734283139152,1.4114366689529352","{""coordinates"": [[[[1.411632910974782, 43.72729443530619], [1.41163179153924, 43.727291188239704], [1.411605492289778, 43.727248158148285], [1.411569270566593, 43.72720909689039], [1.411524249676178, 43.72717519912277], [1.41147180602226, 43.727147473930934], [1.411413506122146, 43.72712677997492], [1.411351145946801, 43.72711374501197], [1.411286614659244, 43.72710875502703], [1.411221856921575, 43.72711197172035], [1.411158861663301, 43.72712328734371], [1.411099536822013, 43.727142367992165], [1.411045672589319, 43.727168635095225], [1.410998916360899, 43.72720127407404], [1.41096069617152, 43.72723931430794], [1.410932159589208, 43.7272815922868], [1.410914172070871, 43.72732681460102], [1.410907303142479, 43.727373611763035], [1.410911726419384, 43.727420563840916], [1.410927342284179, 43.72746625615307], [1.410953653792594, 43.727509277566185], [1.410989862890484, 43.72754833884165], [1.411034883759304, 43.727582236811934], [1.411087339997712, 43.727609962366984], [1.411145627840346, 43.72763065631297], [1.411207988500835, 43.727643691383875], [1.411272532757666, 43.72764868158174], [1.411337278654085, 43.7276454646906], [1.411400274419172, 43.72763414897256], [1.411459612054234, 43.727615068344], [1.4115134640941, 43.72758880088296], [1.411560220344271, 43.72755616170152], [1.411598452767127, 43.72751812144475], [1.411626976354154, 43.72747585213437], [1.411644963622024, 43.727430620713356], [1.411651831990208, 43.72738382350867], [1.411647448395876, 43.72733723209006], [1.411827716882723, 43.72741054057974], [1.411918888982241, 43.727292640212674], [1.411970982855769, 43.727312843735774], [1.412080417749576, 43.727355303080586], [1.412197517146879, 43.727196591812415], [1.411928705138538, 43.7270922913784], [1.411882990784814, 43.72708213150508], [1.411835353512705, 43.727085259198844], [1.411792893356832, 43.72710121368527], [1.411761903416523, 43.727127632716225], [1.411671925889363, 43.727243992003594], [1.411632910974782, 43.72729443530619]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,BRUGUIERES,"du lundi au vendredi : 9h-12h et 14h-18h, durée maximale : 1h30",Gratuit
"43.725985800739814,1.4116465527978783","{""coordinates"": [[[[1.411854318222354, 43.72659781809978], [1.411851952510504, 43.72659904594319], [1.411883550588844, 43.726631184210184], [1.411796584652099, 43.726778713797486], [1.411747814710473, 43.726861475582666], [1.411976051965299, 43.72693221888569], [1.412049822613378, 43.72680705827821], [1.412137739168582, 43.72690114609556], [1.412138005127862, 43.7269014198013], [1.412394361586126, 43.72717354425415], [1.412470665570048, 43.72726695051118], [1.412533917336297, 43.72734438833796], [1.412747485357827, 43.72725265011673], [1.412605884182842, 43.72707930270997], [1.412601580344861, 43.727074400656235], [1.412343097341793, 43.72680002401763], [1.412195789067061, 43.726642360317186], [1.412268228479401, 43.726604914770554], [1.412791825624561, 43.72645659025866], [1.412907414720063, 43.72642384049416], [1.412817094995697, 43.72625617401498], [1.412163566366954, 43.726441309120155], [1.412136689707949, 43.726451860105634], [1.412132247932322, 43.72645415773844], [1.412056766116556, 43.72632784217523], [1.41204893389431, 43.726316869390494], [1.411475873751527, 43.72563342064128], [1.41145101975019, 43.72561211412024], [1.411374210450526, 43.72556392620454], [1.410979690869397, 43.72504215967917], [1.41097691463357, 43.725038664822854], [1.410486312113443, 43.7244536894169], [1.410421823194987, 43.7243767824504], [1.410209766306642, 43.724470319537254], [1.410763386819871, 43.725130481360374], [1.411167300731445, 43.72566466521673], [1.411194930932671, 43.72568946664841], [1.411273902086498, 43.72573900762677], [1.411832405856401, 43.72640509997323], [1.411900798958413, 43.72651952587813], [1.411900872968534, 43.72657239561941], [1.411852688071036, 43.72659606736555], [1.411854318222354, 43.72659781809978]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,BRUGUIERES,"du lundi au vendredi : 9h-12h et 14h-18h, durée maximale : 1h30",Gratuit
"43.60446819871385,1.4417427067505393","{""coordinates"": [[[[1.451409237742799, 43.5953840782609], [1.451431594266205, 43.59536068359132], [1.451348963383472, 43.5953279871295], [1.451154295233591, 43.59526117368169], [1.450794733787414, 43.595134516618685], [1.449942207550703, 43.59482387437715], [1.448632427442469, 43.59435952199232], [1.448252278520913, 43.59422894353002], [1.447615618538949, 43.59398752030546], [1.446243964400806, 43.59351890622645], [1.445812757284068, 43.59335039027977], [1.445489932700228, 43.59324065770142], [1.445473698854881, 43.59323513694386], [1.445134641476499, 43.59311989160795], [1.444399099746661, 43.59287955052717], [1.442052821657169, 43.592051216097595], [1.438390341116132, 43.59239229184625], [1.435300175363972, 43.592641516387026], [1.43487902054431, 43.59305050038646], [1.434877122381244, 43.59317527499037], [1.434788740936071, 43.59317456418991], [1.434740147939097, 43.59326692790408], [1.434492072472747, 43.59327634222277], [1.433921385188538, 43.59407726029341], [1.432311322583951, 43.59620033514376], [1.431301881434397, 43.59758804202572], [1.430809097311733, 43.597830106954106], [1.430995470445033, 43.59785768177066], [1.430947708567842, 43.59793999046918], [1.430228672676791, 43.598934849356645], [1.430297557782244, 43.59896233294398], [1.430237940437808, 43.59904123047126], [1.429890966034558, 43.59950043793377], [1.429899441268507, 43.59950372190403], [1.429841184442319, 43.59958314184081], [1.428714071246156, 43.601119558329415], [1.428661906377997, 43.601099350016625], [1.428062168792901, 43.601865589945014], [1.427969363867733, 43.60328635373392], [1.428074164493302, 43.604786918496714], [1.428161698160941, 43.6060325883379], [1.42826135598902, 43.60720785276974], [1.428348620284885, 43.60815296460273], [1.428227857153196, 43.60829464039382], [1.427307000025958, 43.60919783711157], [1.426898716365272, 43.609675808075664], [1.426468236732052, 43.61016146058592], [1.426016308589227, 43.61083861483577], [1.425409540128424, 43.611761430451175], [1.425252614925655, 43.61207719339241], [1.426162326757882, 43.612208727559704], [1.426965413000485, 43.612380673717304], [1.428428910004356, 43.61271847759481], [1.429221724441156, 43.61289526454281], [1.430158474282535, 43.613163789941765], [1.430775136794531, 43.61339255719336], [1.431479101747809, 43.61369138248073], [1.432197225228237, 43.6140513862159], [1.432758088155594, 43.614377025254846], [1.433250269025723, 43.61473577755822], [1.433874136622342, 43.615103450409094], [1.434671862117789, 43.615456729420785], [1.435370304421838, 43.615677801354366], [1.437158087248719, 43.61604332277825], [1.437700312823228, 43.61613260817474], [1.438129841447585, 43.61617171108452], [1.438864206905608, 43.61619440361708], [1.439807708855462, 43.61599687241973], [1.441051510283737, 43.61555466714898], [1.441988786277235, 43.61528873380997], [1.442772560131717, 43.61512671878704], [1.443257772152867, 43.6150937509858], [1.443980774440742, 43.61512573761221], [1.444775245352431, 43.61521609785314], [1.445951868309285, 43.615393564978035], [1.446703346300872, 43.615457290304064], [1.447340570815618, 43.61542024399749], [1.447936639781896, 43.615230430736034], [1.449160601894865, 43.614656565168545], [1.450681043482463, 43.61394056192613], [1.451471815851763, 43.61345516542975], [1.451796789545256, 43.613005648577094], [1.452614092151751, 43.61155656967947], [1.45326307830203, 43.61022593588912], [1.45347727258343, 43.60992798926821], [1.454122445167821, 43.60938192296324], [1.454744538194974, 43.608860291961115], [1.454973342774529, 43.60855194215497], [1.455397022630654, 43.60778254068964], [1.45644358569853, 43.605977214674354], [1.4568904325046, 43.60508187731746], [1.456954613711427, 43.603694638926946], [1.456870613625446, 43.60252181070937], [1.456512096466307, 43.601325808447285], [1.456352249202454, 43.600824521397556], [1.45626483068872, 43.60043555126699], [1.456261605746861, 43.59869039565518], [1.456278752648402, 43.59801770849551], [1.456264385754399, 43.597293142856486], [1.456127483079928, 43.59722321149416], [1.45503867650785, 43.59682333494759], [1.455032593509672, 43.59682631443476], [1.454973409223073, 43.59684540948816], [1.454910543880818, 43.596856758292525], [1.454845938986784, 43.59685999969604], [1.454781529442887, 43.5968550335309], [1.454719293303406, 43.59684201227624], [1.454661115334609, 43.596821348236304], [1.454608751686046, 43.5967936410485], [1.454563815455313, 43.59675975851051], [1.454527643667532, 43.59672070876763], [1.454501358049439, 43.59667768613556], [1.454485742799629, 43.59663200644848], [1.4544850598768, 43.59662473241797], [1.453723728506788, 43.596357388183684], [1.453581166209865, 43.59629592123273], [1.453545363981926, 43.596330335329526], [1.453170233476747, 43.59652047750047], [1.452761030117435, 43.59665224119273], [1.452472035558866, 43.59666099341164], [1.45246779593055, 43.596661125695235], [1.452175307358492, 43.59666453700475], [1.451704498053345, 43.59654343294095], [1.451450385555815, 43.596359270199684], [1.451325013785507, 43.596267215679426], [1.451179376064611, 43.595913532896205], [1.451259408473737, 43.595540890310915], [1.451265961394419, 43.59553403729896], [1.451204954396637, 43.595513171525916], [1.448979495940838, 43.59475232638937], [1.448977478777861, 43.594755180077286], [1.448869395888914, 43.59471468627593], [1.448759357426179, 43.59467706488667], [1.4487612395364, 43.59467416437788], [1.445994361673104, 43.59363752354753], [1.446107853557305, 43.593477519825804], [1.446217932353693, 43.593518763304935], [1.448978882476469, 43.59455317673426], [1.451409237742799, 43.5953840782609]]]], ""type"": ""MultiPolygon""}",1,Zone Centre-Ville,Centre-Ville,Du lundi au samedi de 9h à 20h sauf dimanches et jours fériés et du 1er au 15 août,"1heure = 1.50€, 2h = 3€, de 2h à 2h30 = majoration tarifaire jusqu'à 30€"
