Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.59196871470928,1.4896260373087606","{""coordinates"": [[1.489626037308761, 43.59196871470928]], ""type"": ""MultiPoint""}",BOWL DU CHATEAU DE L HERS,COMPLEXE SPORTIF DU CHÂTEAU DE L'HERS,31500,Toulouse Est,4.3,,1,,COMPLEXE SPORTIF DU CHÂTEAU DE L'HERS,13 CHE DE LIMAYRAC,,oui,,,
"43.561476996477474,1.3795010126514664","{""coordinates"": [[1.379501012651466, 43.561476996477474]], ""type"": ""MultiPoint""}",SKATE PARK SAINT SIMON,COMPLEXE SPORTIF SAINT SIMON,31300,Toulouse Ouest,6.4,oui,4,,COMPLEXE SPORTIF SAINT SIMON,CHEMIN LIFFARD,,,,,
"43.590200965284915,1.4916439807873378","{""coordinates"": [[1.491643980787338, 43.590200965284915]], ""type"": ""MultiPoint""}",SKATE PARK DE LA GRANDE PLAINE,Parc de la Grande Plaine,31500,Toulouse Est,4.3,oui,4,4 MODULES,,,,,,,
"43.61441200084565,1.4816519990064916","{""coordinates"": [[1.481651999006492, 43.61441200084565]], ""type"": ""MultiPoint""}",SKATE PARK DES ARGOULETS,,31500,Toulouse Est,4.2,oui,3,3 MODULES,BASE DE SPORTS ET DE LOISIRS DES ARGOULETS,AV DE L HERS,,,,,
"43.62823999608006,1.4446859924462834","{""coordinates"": [[1.444685992446283, 43.62823999608006]], ""type"": ""MultiPoint""}",SKATE PARK ERNEST RENAN,,31200,Toulouse Nord,3.3,oui,5,,Equipement isolé,RUE ERNEST RENAN,TOULOUSE,,,,
"43.55886700521934,1.4002129963625476","{""coordinates"": [[1.400212996362548, 43.55886700521934]], ""type"": ""MultiPoint""}",SKATE PARK RENE VALMY,COMPLEXE SPORTIF RENE VALMY,31100,Toulouse Ouest,6.3,oui,6,,COMPLEXE SPORTIF RENE VALMY,AVENUE EISENHOWER,,,,,
"43.553840006427784,1.4478609982796453","{""coordinates"": [[1.447860998279645, 43.553840006427784]], ""type"": ""MultiPoint""}",SKATE PARK SORDELO,SITE PECH DAVID,31400,Toulouse Sud Est,5.2,oui,4,,BASE DE SPORTS ET DE LOISIRS DE PECH DAVID,CHEMIN DES CÔTES DE PECH DAVID,,,,,
"43.574328998521715,1.4643639916822628","{""coordinates"": [[1.464363991682263, 43.574328998521715]], ""type"": ""MultiPoint""}",SKATE PARK RANGUEIL,COMPLEXE SPORTIF RANGUEIL,31400,Toulouse Sud Est,5.2,oui,3,,COMPLEXE SPORTIF RANGUEIL,CHEMIN DU CANAL,,,,,
"43.61123600425831,1.4164780096124723","{""coordinates"": [[1.416478009612472, 43.61123600425831]], ""type"": ""MultiPoint""}",SKATE PARK / BOWL PONT JUMEAUX,,31000,Toulouse Nord,3.1,oui,1,SKATE PARK / BOWL,Equipement isolé,PORT DE L EMBOUCHURE,,,,,
"43.58375999927781,1.4839289923785797","{""coordinates"": [[1.48392899237858, 43.58375999927781]], ""type"": ""MultiPoint""}",SKATE PARK LA TERRASSE,CITY STADE LA TERRASSE,31500,Toulouse Sud Est,5.1,oui,1,,Equipement isolé,Impasse Franz Schrader,TOULOUSE,,,,
