Geo Point,Geo Shape,eq_nom_equipement,eq_gestionnaire,eq_horaires,eq_telephone,numero,lib_off,id_secteur_postal,eq_ville,eq_secteur,eq_quartier,eq_site_web
"43.61424414975031,1.474651897622262","{""coordinates"": [[1.474651897622262, 43.61424414975031]], ""type"": ""MultiPoint""}",CENTRE D'ANIMATION SOUPETARD,Mairie de Toulouse - DGA Culture,Accueil : 9h-19h (en continu) Spectacles : horaires variables (maxi 01h du matin). Expos: dans les horaires d'accueil. Vernissages jusqu'à 20h.,05 31 22 99 70,63,CHE DE HEREDIA,31500,TOULOUSE,4,4.2,www.toulouse.fr
"43.60037813215456,1.484041209179632","{""coordinates"": [[1.484041209179632, 43.60037813215456]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER DE L'HERS,Association,,05 61 54 45 80,56,CHE DU CHATEAU DE L HERS,31500,TOULOUSE,4,4.3,www.toulouse.fr
"43.61507425808611,1.396942385934325","{""coordinates"": [[1.396942385934325, 43.61507425808611]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER DES ARENES ROMAINES,Mairie de Toulouse - DGA Culture,,05 61 16 67 42,107,AV DES ARENES ROMAINES,31300,TOULOUSE,6,6.1,www.toulouse.fr
"43.64912520975742,1.4507576387633927","{""coordinates"": [[1.450757638763393, 43.64912520975742]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER DU GRAND SELVE,Mairie de Toulouse - DGA Culture,,05 61 13 40 02,TOUT,ALL DE GRAND SELVE,31200,TOULOUSE,3,3.3,www.toulouse.fr
"43.58714925311715,1.4165750110776403","{""coordinates"": [[1.41657501107764, 43.58714925311715]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER FONTAINE-LESTANG,Association,,05 61 76 18 76,59,RUE VESTREPAIN,31100,TOULOUSE,2,2.3,www.toulouse.fr
"43.614459487795614,1.4488869602500465","{""coordinates"": [[1.448886960250046, 43.614459487795614]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER MATABIAU,Association,,,7,BD MATABIAU,31000,TOULOUSE,1,1.3,
"43.58821799093122,1.3851632006582404","{""coordinates"": [[1.38516320065824, 43.58821799093122]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER RUE JEAN D'ALEMBERT,Association,,,30,RUE JEAN D ALEMBERT,31100,TOULOUSE,6,6.2,
"43.5837161243945,1.4834517561900495","{""coordinates"": [[1.48345175619005, 43.5837161243945]], ""type"": ""MultiPoint""}",CENTRE D'ANIMATION LA TERRASSE,Mairie de Toulouse - DGA Culture,,05 61 54 23 60,15,IMP FRANZ SCHRADER,31500,TOULOUSE,5,5.1,www.toulouse.fr
"43.616852402226506,1.4083573601617272","{""coordinates"": [[1.408357360161727, 43.616852402226506]], ""type"": ""MultiPoint""}",ESPACE JOB,Mairie de Toulouse - DGA Culture,,05 34 43 24 91,105,RTE DE BLAGNAC,31200,TOULOUSE,3,3.2,www.cultures.toulouse.fr
"43.550402011130664,1.4505009060642489","{""coordinates"": [[1.450500906064249, 43.550402011130664]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER DE POUVOURVILLE,Association,,,4,IMP DE SARRANGINES,31400,TOULOUSE,5,5.2,
"43.61066869032478,1.4414627930119763","{""coordinates"": [[1.441462793011976, 43.61066869032478]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER ESCOUSSIERES ARNAUD-BERNARD,Association,,,3,RUE ESCOUSSIERES A BERNARD,31000,TOULOUSE,1,1.1,
"43.57738502495987,1.4386592881470839","{""coordinates"": [[1.438659288147084, 43.57738502495987]], ""type"": ""MultiPoint""}",MJC EMPALOT,Association,Du Lundi au Vendredi : 14h - 20h,05 61 52 40 13,30,ALL HENRI SELLIER,31400,TOULOUSE,5,5.3,www.toulouse.fr
"43.58947388218926,1.479741797463106","{""coordinates"": [[1.479741797463106, 43.58947388218926]], ""type"": ""MultiPoint""}",SALLE DES FETES DE LIMAYRAC,Mairie de Toulouse - DGA Culture,,05 61 54 23 60,22,RUE XAVIER DARASSE,31500,TOULOUSE,4,4.3,http://www.val-de-limayrac.info/info-limayrac/activites-salle.php
"43.56410019489423,1.4137555607178842","{""coordinates"": [[1.413755560717884, 43.56410019489423]], ""type"": ""MultiPoint""}",SALLE LAFOURGUETTE,Mairie de Toulouse - DGA Culture,,05 61 43 60 20,28,RUE DE GIRONIS,31100,TOULOUSE,6,6.4,www.lafuorguette.com
