Geo Point,Geo Shape,id,adresse,lib_off,mot_dir,sens_circulation,commune,code_insee,debut_comptage
"43.59622636851028,1.4471749234417262","{""coordinates"": [[1.447174923441726, 43.59622636851028]], ""type"": ""MultiPoint""}",ETP16_OZENNE_202002,10 rue Ozenne,RUE THEODORE OZENNE,OZENNE (RUE THEODORE OZEN,double sens,Toulouse,31555,2/4/2020
"43.60053266030839,1.4136276656090516","{""coordinates"": [[1.413627665609052, 43.60053266030839]], ""type"": ""MultiPoint""}",ETP25_BRETAGNE_202003,162 avenue de Grande Bretagne,AV DE GRANDE BRETAGNE,BRETAGNE (AV DE GRANDE BR,double sens,Toulouse,31555,3/1/2020
"43.616163562014414,1.3949686772782006","{""coordinates"": [[1.394968677278201, 43.616163562014414]], ""type"": ""MultiPoint""}",ETP28_FLAMBERE_202002,28 chemin de la Flambère,CHE DE LA FLAMBERE,FLAMBERE (CHE DE LA FLAMB,double sens,Toulouse,31555,2/11/2020
"43.659297232500606,1.4348768100109088","{""coordinates"": [[1.434876810010909, 43.659297232500606]], ""type"": ""MultiPoint""}",ETP38_BENITE_202002,69 chemin de Croix Bénite,CHE DE CROIX BENITE,BENITE (CHE DE CROIX BENI,double sens,Toulouse,31555,2/10/2020
"43.58407474429434,1.3921979774107955","{""coordinates"": [[1.392197977410796, 43.58407474429434]], ""type"": ""MultiPoint""}",ETP43_BAYLET_202002,Face au 60 rue Jean Baylet,AV JEAN BAYLET,BAYLET (AV JEAN BAYLET),double sens,Toulouse,31555,2/11/2020
"43.55137787559836,1.3786597018986049","{""coordinates"": [[1.378659701898605, 43.55137787559836]], ""type"": ""MultiPoint""}",ETP51_TUCAUT_202001,127 Chemin de Tucaud,CHE DE TUCAUT,TUCAUT (CHE DE TUCAUT),double sens,Toulouse,31555,1/23/2020
"43.616733631332615,1.4575956692583614","{""coordinates"": [[1.457595669258361, 43.616733631332615]], ""type"": ""MultiPoint""}",ETP57_PERIOLE_202002,55 bis rue de Périole,RUE DE PERIOLE,PERIOLE (RUE DE PERIOLE),double sens,Toulouse,31555,2/13/2020
"43.62848027180126,1.470858734453868","{""coordinates"": [[1.470858734453868, 43.62848027180126]], ""type"": ""MultiPoint""}",ETP60_MICHOUN_202002,174 Chemin Michoun,CHE MICHOUN,MICHOUN (CHE MICHOUN),double sens,Toulouse,31555,2/17/2020
"43.56914562546634,1.5138076819380017","{""coordinates"": [[1.513807681938002, 43.56914562546634]], ""type"": ""MultiPoint""}",ETP67_CAYRAS_202003,46 chemin de Cayras,CHE DE CAYRAS,CAYRAS (CHE DE CAYRAS),double sens,Toulouse,31555,3/12/2020
"43.622807126440044,1.4623592229470375","{""coordinates"": [[1.462359222947037, 43.622807126440044]], ""type"": ""MultiPoint""}",ETP57_LAVAUR _202110,82 avenue de Lavaur,AV DE LAVAUR,LAVAUR (AV DE LAVAUR),double sens,Toulouse,31555,10/4/2021
