Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.64872131006969,1.4167856962786591","{""coordinates"": [[1.416785696278659, 43.64872131006969]], ""type"": ""MultiPoint""}",PISTE D'ATHLETISME DE SESQIERES,,31200,Toulouse Nord,3.2,,4,PISTE  D'ENTRAINEMENT /AIRES DE SAUT /PISTE D'ATHLETISME/ AIRES DE LANCER,BASE DE SPORTS ET DE LOISIRS DE SESQUIERES,,,oui,oui,,
"43.62727400297488,1.470786003919586","{""coordinates"": [[1.470786003919586, 43.62727400297488]], ""type"": ""MultiPoint""}",STADE AMOUROUX,,31500,Toulouse Est,4.2,,2,1 TERRAIN FOOT HERBE / 1 TERRAIN FOOT / 1 TERRAIN SYNTHETIQUE,COMPLEXE SPORTIF AMOUROUX,RUE D'ARLES,,oui,oui,,
"43.59125799955841,1.3894089983290951","{""coordinates"": [[1.389408998329095, 43.59125799955841]], ""type"": ""MultiPoint""}",STADE LARDENNE,Complexe sportif de Lardenne,31100,Toulouse Ouest,6.2,non,4,TERRAIN HONNEUR AURELIEN FEUILLET + ANNEXE 1 SYNTHE + ANNEXE 2  +1  FOOT A 7,COMPLEXE SPORTIF LARDENNE,AVENUE DE LARDENNE,,oui,oui,,
"43.583278025541034,1.4340432336838245","{""coordinates"": [[1.434043233683824, 43.583278025541034]], ""type"": ""MultiPoint""}",PARC DES SPORTS STADIUM,,31400,Toulouse Sud Est,5.3,,7,STADIUM + 5 TERRAINS FOOT + AIRE DES GARDIENS,PARC MUNICIPAL DES SPORTS,ALLEES GABRIEL BIENES,,oui,oui,STADIUM MUNICIPAL,
"43.57091000264029,1.4819500061867728","{""coordinates"": [[1.481950006186773, 43.57091000264029]], ""type"": ""MultiPoint""}",STADE DE MONTAUDRAN,Complexe sportif de Montaudran aerospace,31400,Toulouse Sud Est,5.1,,1,,COMPLEXE MONTAUDRAN,CHE CARROSSE,TOULOUSE,oui,oui,,
"43.563041997469064,1.4475810077821627","{""coordinates"": [[1.447581007782163, 43.563041997469064]], ""type"": ""MultiPoint""}",TERRAIN DE FOOTBALL HONNEUR ROBERT BARRAN,STADE ROBERT BARRAN,31400,Toulouse Sud Est,5.2,non,1,HERBE,BASE DE SPORTS ET DE LOISIRS DE PECH DAVID,112 CHE DES COTES DE PECH DAVID,,,,COMPLEXE ROBERT BARRAN,
"43.55062599939433,1.4497300032842462","{""coordinates"": [[1.449730003284246, 43.55062599939433]], ""type"": ""MultiPoint""}",TERRAIN DE FOOTBALL HONNEUR POUVOURVILLE,COMPLEXE SPORTIF POUVOURVILLE,31400,Toulouse Sud Est,5.2,non,1,,COMPLEXE SPORTIF POUVOURVILLE,RUE DE FONDEVILLE,,,,,
"43.57376292330301,1.3480828347624045","{""coordinates"": [[1.348082834762405, 43.57376292330301]], ""type"": ""MultiPoint""}",TERRAINS DE FOOTBALL LA RAMEE,,31170,,,non,2,Terrain de football synthétique/Terrain de football  2foot à 8 annexe 4,BASE DE SPORTS ET DE LOISIRS DE LA RAMEE,,,oui,oui,,
"43.625203997510546,1.4354469944921613","{""coordinates"": [[1.435446994492161, 43.625203997510546]], ""type"": ""MultiPoint""}",STADE ARNAUNE,COMPLEXE SPORTIF DES MINIMES,31200,Toulouse Nord,3.1,oui,3,1 TERRAIN SYNTHETIQUE/1 TTERRAIN RUGBY /PISTE ATHLETISME DROITE  ARNAUNE 80 m,COMPLEXE SPORTIF DES MINIMES,AVENUE FREDERIC ESTEBE,,oui,,Terrain de rugby honneur,
"43.578180998534336,1.4156569978084914","{""coordinates"": [[1.415656997808491, 43.578180998534336]], ""type"": ""MultiPoint""}",TERRAIN DE FOOTBALL DE LA FAOURETTE,STADE MICHEL MONNERIS,31100,Toulouse Rive Gauche,2.3,,2,1 TERRAIN DE FOOT/1 PISTE ATLHETISME,COMPLEXE SPORTIF DE LA FAOURETTE,RUE PAUL LAMBERT,,oui,oui,,
"43.58835499537619,1.4931640025753599","{""coordinates"": [[1.49316400257536, 43.58835499537619]], ""type"": ""MultiPoint""}",TERRAIN DE FOOTBALL GRANDE PLAINE,COMPLEXE SPORTIF GRANDE PLAINE,31500,Toulouse Est,4.3,,2,TERRAIN DE FOOTBALL / Terrain Stabilisé,COMPLEXE SPORTIF GRANDE PLAINE,AVENUE JEAN GONOD,,,,,
"43.5932130013837,1.4901440029466164","{""coordinates"": [[1.490144002946616, 43.5932130013837]], ""type"": ""MultiPoint""}",TERRAIN DE FOOTBALL DU CHATEAU DE L'HERS,COMPLEXE SPORTIF DU CHÂTEAU DE L'HERS,31500,Toulouse Est,4.3,non,1,SYNTHTIQUE,COMPLEXE SPORTIF DU CHÂTEAU DE L'HERS,CHEMIN DE LIMAYRAC,,oui,oui,,
"43.58721899741689,1.3970270036684618","{""coordinates"": [[1.397027003668462, 43.58721899741689]], ""type"": ""MultiPoint""}",STADE MARCEL CERDAN,COMPLEXE SPORTIF MARCEL CERDAN,31100,Toulouse Ouest,6.2,,2,1 HERBE/1STABILISE,COMPLEXE SPORTIF MARCEL CERDAN,CHEMIN DE LA CEPIERE,,,oui,,
"43.596116535669815,1.468985926505629","{""coordinates"": [[1.468985926505629, 43.596116535669815]], ""type"": ""MultiPoint""}",TERRAIN DE SPORT SERGENT VIGNE,Stade Sergent Vigné,31500,Toulouse Est,4.3,,1,,,CHEMIN DE LAFILAIRE,,oui,oui,,
