Geo Point,Geo Shape,no,suffixe,lib_voie,motdir,commune,insee,nb_places,annee_creation,coord_x,coord_y
"43.654778316323885,1.3602133973353854","{""coordinates"": [[1.360213397335385, 43.654778316323885]], ""type"": ""MultiPoint""}",,,AV D AEROCONSTELLATION,AEROCONSTELLATION (AV D AEROCONSTELLATION),BLAGNAC,31069,3,0,1.360263,43.654882
"43.61526607227303,1.4336704005121386","{""coordinates"": [[1.433670400512139, 43.61526607227303]], ""type"": ""MultiPoint""}",23,,BD DE L EMBOUCHURE,EMBOUCHURE (BD DE L EMBOUCHURE),TOULOUSE,31555,1,2007,1.43367,43.615266
"43.59785366958067,1.4315269664412629","{""coordinates"": [[1.431526966441263, 43.59785366958067]], ""type"": ""MultiPoint""}",3,,PL INTERIEURE ST CYPRIEN,CYPRIEN (PL INTERIEURE ST CYPRIEN),TOULOUSE,31555,3,2014,1.431527,43.597854
"43.62700558461146,1.4332583514033326","{""coordinates"": [[1.433258351403333, 43.62700558461146]], ""type"": ""MultiPoint""}",3,,METRO BARRIERE DE PARIS,UNIS (AV DES ETATS UNIS),TOULOUSE,31555,7,2007,1.433258,43.627006
"43.59749875794617,1.4455029592184199","{""coordinates"": [[1.44550295921842, 43.59749875794617]], ""type"": ""MultiPoint""}",1,,PL DES CARMES,CARMES (PL DES CARMES),TOULOUSE,31555,3,2007,1.445503,43.597499
"43.58432799041854,1.437572833569463","{""coordinates"": [[1.437572833569463, 43.58432799041854]], ""type"": ""MultiPoint""}",,,ENTREE  STADIUM,(VA VA007692),TOULOUSE,31555,8,0,1.437573,43.584328
"43.608147912163076,1.4460215017947025","{""coordinates"": [[1.446021501794702, 43.608147912163076]], ""type"": ""MultiPoint""}",33,,BD DE STRASBOURG,STRASBOURG (BD DE STRASBOURG),TOULOUSE,31555,3,2007,1.446022,43.608148
"43.593510251142554,1.4187135854809434","{""coordinates"": [[1.418713585480943, 43.593510251142554]], ""type"": ""MultiPoint""}",5,,METRO ARENES,NADAL (PL AGAPITO NADAL),TOULOUSE,31555,4,2014,1.418714,43.59351
"43.604721349625535,1.4477372186192783","{""coordinates"": [[1.447737218619278, 43.604721349625535]], ""type"": ""MultiPoint""}",2,,PL DU PDT THOMAS WILSON,WILSON (PL DU PDT THOMAS WILSON),TOULOUSE,31555,12,2007,1.447737,43.604721
"43.60498141102415,1.4470289098003188","{""coordinates"": [[1.447028909800319, 43.60498141102415]], ""type"": ""MultiPoint""}",13,,PL DU PDT THOMAS WILSON,WILSON (PL DU PDT THOMAS WILSON),TOULOUSE,31555,10,2007,1.447029,43.604981
"43.61218073878442,1.4528510960261687","{""coordinates"": [[1.452851096026169, 43.61218073878442]], ""type"": ""MultiPoint""}",64,,GARE SNCF   MATABIAU,BONREPOS (BD DE BONREPOS),TOULOUSE,31555,20,0,1.452851,43.612181
