Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.57426599340508,1.465289002814096","{""coordinates"": [[1.465289002814096, 43.57426599340508]], ""type"": ""MultiPoint""}",COURT DE TENNIS RANGUEIL,COSEC de Rangueil,31400,Toulouse Sud Est,5.2,,2,EXTERIEUR,COMPLEXE SPORTIF RANGUEIL,CHEMIN DU CANAL,,oui,oui,,
"43.558899580901794,1.401264689465285","{""coordinates"": [[1.401264689465285, 43.558899580901794]], ""type"": ""MultiPoint""}",COURT DE TENNIS RENE VALMY,COMPLEXE SPORTIF RENE VALMY,31100,Toulouse Ouest,6.3,,4,EXTERIEUR,,,,,,,
"43.61317400258242,1.4161449938698605","{""coordinates"": [[1.41614499386986, 43.61317400258242]], ""type"": ""MultiPoint""}",TENNIS MUNICIPALE DES PONTS JUMEAUX,COMPLEXE SPORTIF DES PONTS-JUMEAUX,31200,Toulouse Nord,3.2,,6,3 COURTS INTERIEURS/ 3 EXTERIEURS / CLUB HOUSE,COMPLEXE SPORTIF DES PONTS-JUMEAUX,RUE DES SPORTS,,oui,oui,,
"43.642688006918306,1.4353299930070742","{""coordinates"": [[1.435329993007074, 43.642688006918306]], ""type"": ""MultiPoint""}",TENNIS CHEMIN DU SEMINAIRE,,31200,Toulouse Nord,3.2,,1,exterieur,Equipement isolé,CHEMIN DU SEMINAIRE,,oui,oui,,
"43.57759999790962,1.4693890012665043","{""coordinates"": [[1.469389001266504, 43.57759999790962]], ""type"": ""MultiPoint""}",COURT DE TENNIS STRUXIANO,,31400,Toulouse Sud Est,5.1,,3,EXTERIEUR,COMPLEXE SPORTIF STRUXIANO,AVENUE DE LESPINET,,oui,oui,,
"43.58093000166317,1.4301350001370765","{""coordinates"": [[1.430135000137077, 43.58093000166317]], ""type"": ""MultiPoint""}",COURTS DE TENNIS DANIEL FAUCHER,Stade Inter-universitaire Daniel FAUCHER,31400,Toulouse Sud Est,5.3,non,2,EXTERIEUR,COMPLEXE SPORTIF DANIEL FAUCHER,7 ALL DU PR CAMILLE SOULA,,oui,,,
"43.623018994892035,1.478955998619916","{""coordinates"": [[1.478955998619916, 43.623018994892035]], ""type"": ""MultiPoint""}",COURTS DE TENNIS DES ARGOULETS,,31500,Toulouse Est,4.2,non,7,3 COUVERTS / 4 EXTERIEURS,BASE DE SPORTS ET DE LOISIRS DES ARGOULETS,RUE DINETARD,,oui,oui,,
"43.581340999350914,1.4022939981047917","{""coordinates"": [[1.402293998104792, 43.581340999350914]], ""type"": ""MultiPoint""}",COURT DE TENNIS DU MIRAIL,Complexe sportif du Mirail,31100,Toulouse Ouest,6.3,oui,4,EXTERIEUR,COMPLEXE SPORTIF DU MIRAIL,RUE FERDINAND LAULANIE,,,,,
"43.58503599331025,1.4338259923407872","{""coordinates"": [[1.433825992340787, 43.58503599331025]], ""type"": ""MultiPoint""}",TENNIS NAKACHE,,31400,Toulouse Sud Est,5.3,,2,EXTERIEUR,PARC MUNICIPAL DES SPORTS,ALLEES GABRIEL BIENES,,oui,,,
"43.568953460637765,1.3407127141639121","{""coordinates"": [[1.340712714163912, 43.568953460637765]], ""type"": ""MultiPoint""}",COURTS DE TENNIS DE LA RAMEE,,31170,,,non,4,GAZON SYNTHETIQUE,BASE DE SPORTS ET DE LOISIRS DE LA RAMEE,,,,,,
"43.56817200367165,1.4539069982323611","{""coordinates"": [[1.453906998232361, 43.56817200367165]], ""type"": ""MultiPoint""}",COURT DE TENNIS EXTERIEUR BELLEVUE,,31400,Toulouse Sud Est,5.2,,2,,COMPLEXE SPORTIF BELLEVUE,CHEMIN DE LA SALADE PONSAN,,,,,
"43.65582799800521,1.417194992761612","{""coordinates"": [[1.417194992761612, 43.65582799800521]], ""type"": ""MultiPoint""}",COURTS DE TENNIS  SESQIERES,,31200,Toulouse Nord,3.2,,10,6 COURTS INTERIEUR/4 COURTS EXTERIEUR,BASE DE SPORTS ET DE LOISIRS DE SESQUIERES,CHEMIN DU PONT DE RUPE,,oui,oui,,
