Geo Point,Geo Shape,nom_equipement,gestionnaire,telephone,site_web,acces_metro,acces_bus,x,y,numero,lib_off,id_secteur_postal,ville,secteur,quartier,jauge_salle_de_spectacle,oid
"43.62399026034344,1.438656466667182","{""coordinates"": [[1.438656466667182, 43.62399026034344]], ""type"": ""MultiPoint""}",CENTRE CULTUREL - THEATRE DES MAZADES,Mairie de Toulouse - DGA Culture,05 31 22 98 00,www.toulouse.fr,Minimes - Claude Nougaro - Barrière de Paris (B),"27, 41, 29",1573993,2270491,10,AV DES MAZADES,31200,TOULOUSE,3,3.1,550 / 56 pl,301
"43.565320343382325,1.479043026052642","{""coordinates"": [[1.479043026052642, 43.565320343382325]], ""type"": ""MultiPoint""}",CENTRE CULTUREL LEONARD DE VINCI DE L'ENAC - THEATRE DE POCHE,Association,05 62 17 45 00,www.culture-enac.com,Faculté de Pharmacie (B),"51, 68, 108",1577134,2263914,7,AV EDOUARD BELIN,31400,TOULOUSE,5,5.2,200 pl,306
"43.6482273897219,1.432891185117107","{""coordinates"": [[1.432891185117107, 43.6482273897219]], ""type"": ""MultiPoint""}",CENTRE D'ANIMATION LALANDE,Mairie de Toulouse - DGA Culture,05 61 47 37 55,www.toulouse.fr,La Vache (B),"60, 69",1573578,2273192,239,AV DE FRONTON,31200,TOULOUSE,3,3.2,200 pl,307
"43.61139548276987,1.446635554704432","{""coordinates"": [[1.446635554704432, 43.61139548276987]], ""type"": ""MultiPoint""}",CICC - SAMBA RESILLE,Association,05 34 41 62 16,www.samba-resille.org,Jeanne d’Arc (B),"38, 42, 44",1574611,2269080,38,RUE ROQUELAINE,31000,TOULOUSE,1,1.3,150 pl,314
"43.59616432164077,1.42739017050071","{""coordinates"": [[1.42739017050071, 43.59616432164077]], ""type"": ""MultiPoint""}",ESPACE ROGUET - MJC ROGUET,Autre institution publique,05 62 86 01 67,www.haute-garonne.fr,"Saint-Cyprien-République, Patte d'Oie (A)","14, 45, 66 (Arrêt Roguet)",1573026,2267417,9,RUE DE GASCOGNE,31300,TOULOUSE,2,2.1,150 pl,319
"43.60793864263856,1.456721500332304","{""coordinates"": [[1.456721500332304, 43.60793864263856]], ""type"": ""MultiPoint""}",THEATRE DU CHIEN BLANC,Association,05 62 16 24 59,www.letheatreduchienblanc.fr,Marengo SNCF (A),"23, 27, 37",1575418,2268681,25,RUE DU GEN JEAN COMPANS,31500,TOULOUSE,4,4.2,40 pl,343
"43.59697347881074,1.433277875733747","{""coordinates"": [[1.433277875733747, 43.59697347881074]], ""type"": ""MultiPoint""}",THEATRE DU PONT NEUF,Association,05 62 21 51 78,www.theatredupontneuf.fr,Saint-Cyprien-République (A),"1, 2, 3, 12, 14, 52, 53, 66, 78, 79, 80",1573503,2267498,8,PL BENOIT ARZAC,31300,TOULOUSE,2,2.1,50 pl,347
"43.606277051670716,1.455660919571028","{""coordinates"": [[1.455660919571028, 43.606277051670716]], ""type"": ""MultiPoint""}",THEATRE LES 3 T,Structure commerciale,06 10 02 63 70,www.3tcafetheatre.com,Jean Jaurès (B),,1575329,2268498,40,RUE GABRIEL PERI,31000,TOULOUSE,1,1.3,250 /135 /135 pl,351
"43.60832542550349,1.444607529170136","{""coordinates"": [[1.444607529170136, 43.60832542550349]], ""type"": ""MultiPoint""}",CENTRE CULTUREL BELLEGARDE,Mairie de Toulouse - DGA Culture,05 62 27 44 88,www.toulouse.fr,Jeanne-D'Arc (B),"ncv, 15, 16, 23, 29, 38, 42, 44, 45, 70",1574441,2268742,17,RUE BELLEGARDE,31000,TOULOUSE,1,1.1,80 pl assises,303
"43.56167305551263,1.378994128328354","{""coordinates"": [[1.378994128328354, 43.56167305551263]], ""type"": ""MultiPoint""}",CENTRE D'ANIMATION SAINT SIMON,Mairie de Toulouse - DGA Culture,05 31 22 96 81,www.toulouse.fr,Bass-Combo (A),"87, 53, 48 + 10mns à pieds (arrêts Charpy/chemin Tucaut/ Guilhermy)",1569045,2263660,10,CHE DE LIFFARD,31100,TOULOUSE,6,6.4,120 places,309
