Sequence,Type,Année,Tour,Département,Commune,Code canton,Code circonscription,Numéro du bureau,Indicatif,Nombre d'inscrits,Nombre d'abstentions,Nombre de votants,Nombre de votants d'après les feuilles d'émargement,Nombre de bulletins blancs,Nombre de bulletins nuls,Nombre d'exprimés,Nombre de candidats,Sigle du candidat,Nombre de voix du candidat,Geo Shape,NOM,ADRESSE,geo_point_2d
118,PR,2022,2,31,555,15,4,113,I,844,220,624,624,61,13,550,2,Le Pen,88,"{""coordinates"": [[[1.4313469352, 43.595744532], [1.42826944, 43.5946228777], [1.4279168057, 43.5951262245], [1.4271004287, 43.5971245141], [1.4282399645, 43.5973323526], [1.4282900855, 43.5975583535], [1.4294961165, 43.5977757438], [1.4295061618, 43.597943811], [1.4298182092, 43.5980072198], [1.4306585805, 43.5981303638], [1.4308575778, 43.5978345407], [1.4314793385, 43.596897635], [1.4319004939, 43.5963126178], [1.4336739097, 43.5938299685], [1.4343608831, 43.5930462587], [1.4338214812, 43.5930684799], [1.4310884202, 43.5934591707], [1.429769896, 43.5937920592], [1.4309730421, 43.594715653], [1.4314847347, 43.5955739378], [1.4313469352, 43.595744532]]], ""type"": ""Polygon""}",École élémentaire Molière,36 rue Sainte-Lucie,"43.595623141331835,1.4304614251181442"
118,PR,2022,2,31,555,15,4,113,I,844,220,624,624,61,13,550,2,Macron,462,"{""coordinates"": [[[1.4313469352, 43.595744532], [1.42826944, 43.5946228777], [1.4279168057, 43.5951262245], [1.4271004287, 43.5971245141], [1.4282399645, 43.5973323526], [1.4282900855, 43.5975583535], [1.4294961165, 43.5977757438], [1.4295061618, 43.597943811], [1.4298182092, 43.5980072198], [1.4306585805, 43.5981303638], [1.4308575778, 43.5978345407], [1.4314793385, 43.596897635], [1.4319004939, 43.5963126178], [1.4336739097, 43.5938299685], [1.4343608831, 43.5930462587], [1.4338214812, 43.5930684799], [1.4310884202, 43.5934591707], [1.429769896, 43.5937920592], [1.4309730421, 43.594715653], [1.4314847347, 43.5955739378], [1.4313469352, 43.595744532]]], ""type"": ""Polygon""}",École élémentaire Molière,36 rue Sainte-Lucie,"43.595623141331835,1.4304614251181442"
119,PR,2022,2,31,555,15,4,114,I,903,244,659,659,49,14,596,2,Le Pen,131,"{""coordinates"": [[[1.433688841, 43.5891090332], [1.432024099, 43.5896119652], [1.4278440327, 43.5906665352], [1.427426731, 43.5896896217], [1.4270592358, 43.5895466384], [1.4251252754, 43.5899530624], [1.4222608362, 43.5894919033], [1.4218751185, 43.5894348547], [1.4226599267, 43.5898660064], [1.4248406834, 43.591031249], [1.4265629886, 43.5918579161], [1.4266757364, 43.5919194648], [1.42791289, 43.5926726281], [1.4285147215, 43.5930448114], [1.4286773469, 43.5930194626], [1.4293408841, 43.5923872491], [1.4299559857, 43.5921882472], [1.4303934749, 43.5919871126], [1.4333270627, 43.5914163851], [1.4340649584, 43.5922889228], [1.4345653145, 43.5922560133], [1.4360614563, 43.5920192165], [1.4340584484, 43.5895632231], [1.433688841, 43.5891090332]]], ""type"": ""Polygon""}",École élémentaire Molière,36 rue Sainte-Lucie,"43.590922827710116,1.4298118363020484"
119,PR,2022,2,31,555,15,4,114,I,903,244,659,659,49,14,596,2,Macron,465,"{""coordinates"": [[[1.433688841, 43.5891090332], [1.432024099, 43.5896119652], [1.4278440327, 43.5906665352], [1.427426731, 43.5896896217], [1.4270592358, 43.5895466384], [1.4251252754, 43.5899530624], [1.4222608362, 43.5894919033], [1.4218751185, 43.5894348547], [1.4226599267, 43.5898660064], [1.4248406834, 43.591031249], [1.4265629886, 43.5918579161], [1.4266757364, 43.5919194648], [1.42791289, 43.5926726281], [1.4285147215, 43.5930448114], [1.4286773469, 43.5930194626], [1.4293408841, 43.5923872491], [1.4299559857, 43.5921882472], [1.4303934749, 43.5919871126], [1.4333270627, 43.5914163851], [1.4340649584, 43.5922889228], [1.4345653145, 43.5922560133], [1.4360614563, 43.5920192165], [1.4340584484, 43.5895632231], [1.433688841, 43.5891090332]]], ""type"": ""Polygon""}",École élémentaire Molière,36 rue Sainte-Lucie,"43.590922827710116,1.4298118363020484"
120,PR,2022,2,31,555,15,4,115,I,1154,322,832,832,58,37,737,2,Le Pen,113,"{""coordinates"": [[[1.43004321, 43.5846341395], [1.4292007427, 43.5850676667], [1.428486312, 43.5853301922], [1.4277918011, 43.5856494999], [1.4233678461, 43.5884279628], [1.4218751185, 43.5894348547], [1.4222608362, 43.5894919033], [1.4251252754, 43.5899530624], [1.4270592358, 43.5895466384], [1.427426731, 43.5896896217], [1.4278440327, 43.5906665352], [1.432024099, 43.5896119652], [1.433688841, 43.5891090332], [1.4304094329, 43.5850897459], [1.43004321, 43.5846341395]]], ""type"": ""Polygon""}",École élémentaire Molière,36 rue Sainte-Lucie,"43.58805051277253,1.4284036347827345"
120,PR,2022,2,31,555,15,4,115,I,1154,322,832,832,58,37,737,2,Macron,624,"{""coordinates"": [[[1.43004321, 43.5846341395], [1.4292007427, 43.5850676667], [1.428486312, 43.5853301922], [1.4277918011, 43.5856494999], [1.4233678461, 43.5884279628], [1.4218751185, 43.5894348547], [1.4222608362, 43.5894919033], [1.4251252754, 43.5899530624], [1.4270592358, 43.5895466384], [1.427426731, 43.5896896217], [1.4278440327, 43.5906665352], [1.432024099, 43.5896119652], [1.433688841, 43.5891090332], [1.4304094329, 43.5850897459], [1.43004321, 43.5846341395]]], ""type"": ""Polygon""}",École élémentaire Molière,36 rue Sainte-Lucie,"43.58805051277253,1.4284036347827345"
121,PR,2022,2,31,555,15,4,116,I,914,211,703,703,47,14,642,2,Le Pen,100,"{""coordinates"": [[[1.4272377315, 43.5942408744], [1.42826944, 43.5946228777], [1.4313469352, 43.595744532], [1.4314847347, 43.5955739378], [1.4309730421, 43.594715653], [1.429769896, 43.5937920592], [1.4310884202, 43.5934591707], [1.4338214812, 43.5930684799], [1.4343608831, 43.5930462587], [1.434613378, 43.5927581685], [1.4353479448, 43.5926484144], [1.4364595194, 43.5925442212], [1.4364319483, 43.5924736043], [1.4360614563, 43.5920192165], [1.4345653145, 43.5922560133], [1.4340649584, 43.5922889228], [1.4333270627, 43.5914163851], [1.4303934749, 43.5919871126], [1.4299559857, 43.5921882472], [1.4293408841, 43.5923872491], [1.4286773469, 43.5930194626], [1.4285147215, 43.5930448114], [1.4272377315, 43.5942408744]]], ""type"": ""Polygon""}",École élémentaire Molière,36 rue Sainte-Lucie,"43.593207064630406,1.43113045601551"
121,PR,2022,2,31,555,15,4,116,I,914,211,703,703,47,14,642,2,Macron,542,"{""coordinates"": [[[1.4272377315, 43.5942408744], [1.42826944, 43.5946228777], [1.4313469352, 43.595744532], [1.4314847347, 43.5955739378], [1.4309730421, 43.594715653], [1.429769896, 43.5937920592], [1.4310884202, 43.5934591707], [1.4338214812, 43.5930684799], [1.4343608831, 43.5930462587], [1.434613378, 43.5927581685], [1.4353479448, 43.5926484144], [1.4364595194, 43.5925442212], [1.4364319483, 43.5924736043], [1.4360614563, 43.5920192165], [1.4345653145, 43.5922560133], [1.4340649584, 43.5922889228], [1.4333270627, 43.5914163851], [1.4303934749, 43.5919871126], [1.4299559857, 43.5921882472], [1.4293408841, 43.5923872491], [1.4286773469, 43.5930194626], [1.4285147215, 43.5930448114], [1.4272377315, 43.5942408744]]], ""type"": ""Polygon""}",École élémentaire Molière,36 rue Sainte-Lucie,"43.593207064630406,1.43113045601551"
122,PR,2022,2,31,555,15,4,117,I,1423,455,968,968,62,24,882,2,Le Pen,177,"{""coordinates"": [[[1.4093248122, 43.594372872], [1.4099971361, 43.5959827134], [1.4112575221, 43.5960389795], [1.4125593536, 43.5960243649], [1.4138042568, 43.5959190885], [1.4155737316, 43.5959651256], [1.416233908, 43.5959450348], [1.4178508311, 43.5962744386], [1.4188059252, 43.5965470885], [1.4192372217, 43.5966403999], [1.4194348771, 43.596619893], [1.4193163202, 43.596108576], [1.4188916639, 43.5959933664], [1.4190665011, 43.5955830202], [1.4191878029, 43.5953907419], [1.4190086732, 43.5943813088], [1.4192694718, 43.5940865104], [1.415451755, 43.5935681607], [1.4114566554, 43.5930355445], [1.4104776848, 43.5932137266], [1.4093263619, 43.5934234534], [1.4079666805, 43.5937277342], [1.4078559314, 43.5941196932], [1.4093380915, 43.5940918705], [1.4093248122, 43.594372872]]], ""type"": ""Polygon""}",École élémentaire Patte d'Oie,44 rue du Tchad,"43.59472499763646,1.4139948144961658"
122,PR,2022,2,31,555,15,4,117,I,1423,455,968,968,62,24,882,2,Macron,705,"{""coordinates"": [[[1.4093248122, 43.594372872], [1.4099971361, 43.5959827134], [1.4112575221, 43.5960389795], [1.4125593536, 43.5960243649], [1.4138042568, 43.5959190885], [1.4155737316, 43.5959651256], [1.416233908, 43.5959450348], [1.4178508311, 43.5962744386], [1.4188059252, 43.5965470885], [1.4192372217, 43.5966403999], [1.4194348771, 43.596619893], [1.4193163202, 43.596108576], [1.4188916639, 43.5959933664], [1.4190665011, 43.5955830202], [1.4191878029, 43.5953907419], [1.4190086732, 43.5943813088], [1.4192694718, 43.5940865104], [1.415451755, 43.5935681607], [1.4114566554, 43.5930355445], [1.4104776848, 43.5932137266], [1.4093263619, 43.5934234534], [1.4079666805, 43.5937277342], [1.4078559314, 43.5941196932], [1.4093380915, 43.5940918705], [1.4093248122, 43.594372872]]], ""type"": ""Polygon""}",École élémentaire Patte d'Oie,44 rue du Tchad,"43.59472499763646,1.4139948144961658"
123,PR,2022,2,31,555,15,4,118,I,1053,264,789,789,79,19,691,2,Le Pen,130,"{""coordinates"": [[[1.421443026, 43.5979873507], [1.4213215184, 43.5988755167], [1.421164169, 43.60038063], [1.4212746639, 43.6005153263], [1.42403366, 43.6005792333], [1.42458587, 43.600478194], [1.4257665334, 43.6001808725], [1.4261911223, 43.6000739948], [1.4276053557, 43.5995113779], [1.4282901915, 43.5992742751], [1.4283465182, 43.5992549783], [1.4289327935, 43.5992017883], [1.4290349794, 43.5991150383], [1.4289465262, 43.5987923659], [1.4287184562, 43.5987021999], [1.4282476018, 43.5987359828], [1.4282306517, 43.5988299678], [1.4278779027, 43.5987653764], [1.4268900751, 43.5985809895], [1.4268587265, 43.5986486318], [1.4265378137, 43.5985999573], [1.4259445615, 43.5984573802], [1.425407364, 43.5983220111], [1.4246153201, 43.5981341373], [1.4240745772, 43.5979923687], [1.4232168406, 43.5978203177], [1.421528722, 43.5974569519], [1.421443026, 43.5979873507]]], ""type"": ""Polygon""}",École élémentaire Patte d'Oie,44 rue du Tchad,"43.59920046820529,1.4241416077312998"
123,PR,2022,2,31,555,15,4,118,I,1053,264,789,789,79,19,691,2,Macron,561,"{""coordinates"": [[[1.421443026, 43.5979873507], [1.4213215184, 43.5988755167], [1.421164169, 43.60038063], [1.4212746639, 43.6005153263], [1.42403366, 43.6005792333], [1.42458587, 43.600478194], [1.4257665334, 43.6001808725], [1.4261911223, 43.6000739948], [1.4276053557, 43.5995113779], [1.4282901915, 43.5992742751], [1.4283465182, 43.5992549783], [1.4289327935, 43.5992017883], [1.4290349794, 43.5991150383], [1.4289465262, 43.5987923659], [1.4287184562, 43.5987021999], [1.4282476018, 43.5987359828], [1.4282306517, 43.5988299678], [1.4278779027, 43.5987653764], [1.4268900751, 43.5985809895], [1.4268587265, 43.5986486318], [1.4265378137, 43.5985999573], [1.4259445615, 43.5984573802], [1.425407364, 43.5983220111], [1.4246153201, 43.5981341373], [1.4240745772, 43.5979923687], [1.4232168406, 43.5978203177], [1.421528722, 43.5974569519], [1.421443026, 43.5979873507]]], ""type"": ""Polygon""}",École élémentaire Patte d'Oie,44 rue du Tchad,"43.59920046820529,1.4241416077312998"
