Geo Point,Geo Shape,infobulle,nom,ligne,type,en_service,couvert,etiquette,commune
" 43.663455662666536,1.3626061337303137","{""coordinates"": [[1.362606133730314, 43.663455662666536]], ""type"": ""MultiPoint""}",AEROCONSTELLATION ligne T1,AEROCONSTELLATION,T1,Tramway,2010,Aérien,Aéroconstellation,BLAGNAC
" 43.660255189615214,1.369507336439405","{""coordinates"": [[1.369507336439405, 43.660255189615214]], ""type"": ""MultiPoint""}",BEAUZELLE - AEROSCOPIA ligne T1,BEAUZELLE - AEROSCOPIA,T1,Tramway,2010,Aérien,Beauzelle-Aéroscopia,BEAUZELLE
" 43.61822059103342,1.3969099619687118","{""coordinates"": [[1.396909961968712, 43.61822059103342]], ""type"": ""MultiPoint""}",ANCELY ligne T1,ANCELY,T1,Tramway,2010,Aérien,Ancely,TOULOUSE
" 43.603126586094255,1.4076763957332084","{""coordinates"": [[1.407676395733208, 43.603126586094255]], ""type"": ""MultiPoint""}",CARTOUCHERIE ligne T1,CARTOUCHERIE,T1,Tramway,2010,Aérien,Cartoucherie,TOULOUSE
" 43.589689991356686,1.4215974945139402","{""coordinates"": [[1.42159749451394, 43.589689991356686]], ""type"": ""MultiPoint""}",DEODAT DE SEVERAC ligne T1,DEODAT DE SEVERAC,T1,Tramway,2013,Aérien,Déodat de Séverac,TOULOUSE
" 43.59262534961578,1.4354993824731772","{""coordinates"": [[1.435499382473177, 43.59262534961578]], ""type"": ""MultiPoint""}",FER A CHEVAL ligne T1,FER A CHEVAL,T1,Tramway,2013,Aérien,Fer à cheval,TOULOUSE
" 43.63431428636159,1.391288330359896","{""coordinates"": [[1.391288330359896, 43.63431428636159]], ""type"": ""MultiPoint""}",PASTEUR MAIRIE DE BLAGNAC ligne T1,PASTEUR MAIRIE DE BLAGNAC,T1,Tramway,2010,Aérien,Pasteur-Mairie de Blagnac,BLAGNAC
" 43.631340281441915,1.3743750581131364","{""coordinates"": [[1.374375058113136, 43.631340281441915]], ""type"": ""MultiPoint""}",AEROPORT ligne T2,AEROPORT,T2,Tramway,2015,Aérien,Aéroport,BLAGNAC
" 43.64475416792954,1.3774639261644892","{""coordinates"": [[1.377463926164489, 43.64475416792954]], ""type"": ""MultiPoint""}",GRAND NOBLE ligne T1,GRAND NOBLE,T1,Tramway,2010,Aérien,Grand Noble,BLAGNAC
" 43.6405078070973,1.382557079617307","{""coordinates"": [[1.382557079617307, 43.6405078070973]], ""type"": ""MultiPoint""}",PATINOIRE BARRADELS ligne T1,PATINOIRE BARRADELS,T1,Tramway,2010,Aérien,Patinoire-Barradels,BLAGNAC
" 43.62548540468708,1.39347888666162","{""coordinates"": [[1.39347888666162, 43.62548540468708]], ""type"": ""MultiPoint""}",SERVANTY AIRBUS ligne T1,SERVANTY AIRBUS,T1,Tramway,2010,Aérien,Servanty-Airbus,BLAGNAC
" 43.62438397117871,1.3867617200650457","{""coordinates"": [[1.386761720065046, 43.62438397117871]], ""type"": ""MultiPoint""}",NADOT ligne T2,NADOT,T2,Tramway,2015,Aérien,Nadot,BLAGNAC
" 43.65482367920982,1.3735825835308706","{""coordinates"": [[1.373582583530871, 43.65482367920982]], ""type"": ""MultiPoint""}",ANDROMEDE LYCEE ligne T1,ANDROMEDE LYCEE,T1,Tramway,2010,Aérien,Andromède-Lycée,BLAGNAC
" 43.59282790485847,1.417940312953697","{""coordinates"": [[1.417940312953697, 43.59282790485847]], ""type"": ""MultiPoint""}",ARENES ligne T1,ARENES,T1,Tramway,2010,Aérien,Arènes,TOULOUSE
" 43.585646453587096,1.4278135142246084","{""coordinates"": [[1.427813514224608, 43.585646453587096]], ""type"": ""MultiPoint""}",CROIX DE PIERRE ligne T1,CROIX DE PIERRE,T1,Tramway,2013,Aérien,Croix de Pierre,TOULOUSE
" 43.58930245604961,1.4317803032231584","{""coordinates"": [[1.431780303223158, 43.58930245604961]], ""type"": ""MultiPoint""}",AVENUE DE MURET - MARCEL CAVAILLE ligne T1,AVENUE DE MURET - MARCEL CAVAILLE,T1,Tramway,2013,Aérien,Avenue de Muret-Marcel Cavaillé,TOULOUSE
" 43.59220355060631,1.440423260842911","{""coordinates"": [[1.440423260842911, 43.59220355060631]], ""type"": ""MultiPoint""}",ILE DU RAMIER ligne T1,ILE DU RAMIER,T1,Tramway,2013,Aérien,Ile du Ramier,TOULOUSE
" 43.59274455079651,1.4440361084473996","{""coordinates"": [[1.4440361084474, 43.59274455079651]], ""type"": ""MultiPoint""}",PALAIS DE JUSTICE ligne T1,PALAIS DE JUSTICE,T1,Tramway,2013,Aérien,Palais de justice,TOULOUSE
" 43.64853137753266,1.3756419764627723","{""coordinates"": [[1.375641976462772, 43.64853137753266]], ""type"": ""MultiPoint""}",PLACE GEORGES BRASSENS ligne T1,PLACE GEORGES BRASSENS,T1,Tramway,2010,Aérien,Place Georges Brassens,BLAGNAC
" 43.63624393541036,1.3853418084615463","{""coordinates"": [[1.385341808461546, 43.63624393541036]], ""type"": ""MultiPoint""}",ODYSSUD RITOURET ligne T1,ODYSSUD RITOURET,T1,Tramway,2010,Aérien,Odyssud-Ritouret,BLAGNAC
" 43.636750435060165,1.3900623695839838","{""coordinates"": [[1.390062369583984, 43.636750435060165]], ""type"": ""MultiPoint""}",PLACE DU RELAIS ligne T1,PLACE DU RELAIS,T1,Tramway,2010,Aérien,Place du Relais,BLAGNAC
" 43.63086502410009,1.391736611373856","{""coordinates"": [[1.391736611373856, 43.63086502410009]], ""type"": ""MultiPoint""}",GUYENNE BERRY ligne T1,GUYENNE BERRY,T1,Tramway,2010,Aérien,Guyenne-Berry,BLAGNAC
