Geo Point,Geo Shape,infobulle,site,annee_installation,zone_emission,disponibilite,adresse,commune
" 43.59773055374661,1.4313333366620296","{""coordinates"": [[1.43133333666203, 43.59773055374661]], ""type"": ""MultiPoint""}",Site Saint-Cyprien Adresse : PL INTERIEURE SAINT CYPRIEN Année installation : 2015 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Saint-Cyprien,2015,extérieur,24h/24h (avec garantie de service),PL INTERIEURE SAINT CYPRIEN,TOULOUSE
" 43.60050099748338,1.4456539927188097","{""coordinates"": [[1.44565399271881, 43.60050099748338]], ""type"": ""MultiPoint""}",Site Esquirol/Rue de Metz Adresse : 30 RUE DE METZ Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Esquirol/Rue de Metz,2016,extérieur,24h/24h (avec garantie de service),30 RUE DE METZ,TOULOUSE
" 43.61126944162825,1.438763892493415","{""coordinates"": [[1.438763892493415, 43.61126944162825]], ""type"": ""MultiPoint""}",Site Arnaud Bernard Adresse : place arnaud Bernard Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Arnaud Bernard,2016,extérieur,24h/24h (avec garantie de service),place arnaud Bernard,TOULOUSE
" 43.56735832832568,1.4006000038890507","{""coordinates"": [[1.400600003889051, 43.56735832832568]], ""type"": ""MultiPoint""}",Site Bibliothèque Grand M Adresse : 37 av Reynerie Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Bibliothèque Grand M,2016,intérieur bâtiment,24h/24h (sans garantie de service),37 av Reynerie,TOULOUSE
" 43.60036110826673,1.4438166669575652","{""coordinates"": [[1.443816666957565, 43.60036110826673]], ""type"": ""MultiPoint""}",Site Esquirol 2 Adresse : 1 place Esquirol Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Esquirol 2,2016,extérieur,24h/24h (avec garantie de service),1 place Esquirol,TOULOUSE
" 43.57974444294124,1.4416750033365398","{""coordinates"": [[1.44167500333654, 43.57974444294124]], ""type"": ""MultiPoint""}",Site Empalot Adresse : 19 rue de Cannes Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Empalot,2016,extérieur,24h/24h (avec garantie de service),19 rue de Cannes,TOULOUSE
" 43.57058055561597,1.4026750010406583","{""coordinates"": [[1.402675001040658, 43.57058055561597]], ""type"": ""MultiPoint""}",Site Mairie Reynerie Adresse : Place André ABBAL Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Mairie Reynerie,2015,intérieur bâtiment,24h/24h (sans garantie de service),Place André ABBAL,TOULOUSE
" 43.611211111122664,1.4560416689623363","{""coordinates"": [[1.456041668962336, 43.611211111122664]], ""type"": ""MultiPoint""}",Site Toulouse Métropole - Marengo Adresse : 6 Rue René Leduc Année installation : 2014 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Toulouse Métropole - Marengo,2014,intérieur bâtiment,24h/24h (sans garantie de service),6 Rue René Leduc,TOULOUSE
" 43.636422218227885,1.4629499948615652","{""coordinates"": [[1.462949994861565, 43.636422218227885]], ""type"": ""MultiPoint""}",Site Restaurant Senior Croix Daurade Adresse : 5 rue Francis Lopez Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Restaurant Senior Croix Daurade,2016,intérieur bâtiment,24h/24h (sans garantie de service),5 rue Francis Lopez,TOULOUSE
" 43.604824993718104,1.4442249988899039","{""coordinates"": [[1.444224998889904, 43.604824993718104]], ""type"": ""MultiPoint""}",Site Hotel de Ville - Capitole Adresse : place du Capitole Année installation : 2014 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Hotel de Ville - Capitole,2014,intérieur bâtiment,24h/24h (sans garantie de service),place du Capitole,TOULOUSE
